fnid,pre_home_distance,post_home_distance,LU_Business,LU_City_Road,LU_Consumption,LU_Culture,LU_Industry,LU_Medical,LU_Park_&_Scenery,LU_Public,LU_Residence,LU_Science_&_Education,LU_Special,LU_Transportation,LU_Wild
21832.0,1.4142135623730951,58.82176467941097,0.4448610353871874,1.2258717436077307,0.0327924826550845,0.0,0.7748605249220957,0.0,0.1695267897075721,0.0074942485643625,1.2299818242565004,0.224894909123001,0.0,0.0,0.2294703616415237
11494.0,34.0,91.26883367283708,0.4448610353871874,1.2258717436077307,0.0327924826550845,0.0,0.7748605249220957,0.0,0.1695267897075721,0.0074942485643625,1.2299818242565004,0.224894909123001,0.0,0.0,0.2294703616415237
8283.0,42.95346318982906,99.98499887483122,0.4647796788267095,2.0210121355496447,0.0,0.0180835193519478,0.3272222263947439,0.0,0.0,0.0721698948317297,1.7599976117582,0.6199873438597803,0.0,0.0,0.0383403595453441
19697.0,10.63014581273465,67.80117993073571,0.0,0.5830180152344635,0.1829330701697832,0.1131502258907389,0.756419795761292,0.0,0.1695267897075721,0.3726945984640478,1.2276823778119852,0.1828642149926438,0.0,0.0,0.352264486656682
0.0,83.00602387778854,134.84806264830058,0.4448610353871874,0.9805785620214816,0.0,0.0,0.0297030111299416,0.0,0.0,0.0074942485643625,1.1001981493237176,0.1772473289255168,0.0,0.0,0.0240995617020592
6854.0,46.238512086787566,102.95630140987,0.8233174351769322,0.7736309747987284,0.2602847867099848,0.130646571764347,0.4803563800646012,0.3874589592062878,0.088246451308392,0.1975298589439481,2.1961383095334073,0.43892534518977305,0.0,0.0,0.0903973499859591
20144.0,98.18350166906862,141.315250415516,0.8233174351769322,0.7736309747987284,0.2602847867099848,0.130646571764347,0.4803563800646012,0.3874589592062878,0.088246451308392,0.1975298589439481,2.1961383095334073,0.43892534518977305,0.0,0.0,0.0903973499859591
13276.0,28.178005607210743,85.44003745317531,0.0,0.738489138752275,0.7445632219363935,0.0,0.8171768540853788,0.0526886297941021,0.30233839986541033,1.89689439880012e-05,1.282278159210719,0.1789488581656459,0.0,0.0,0.2649770666245141
19679.0,12.206555615733702,58.69412236331676,0.7782732532038746,0.5791361579366152,0.1778879876653164,0.0,0.0167090339704957,0.0,0.0,3.669110082138109,1.0347818154996162,0.0,0.0,0.0,0.1558065044990993
9361.0,43.829214001622255,101.25709851659784,0.0,0.7467197802951742,0.0792476804740806,0.0,0.6863910057935524,0.0,0.0,3.6272680324573283,0.1759803842112152,0.0,0.0,0.0,0.1775092334956494
