coords,reward
"(113.8594877, 22.57118435)",0.7786216139793396
"(113.8719434, 22.58630867)",0.7570421695709229
"(113.8850759, 22.55772043)",1.373241662979126
"(113.9113038, 22.57464149)",0.6057426333427429
"(113.9143601, 22.54110415)",0.960959255695343
"(113.9290353, 22.54641042)",0.2711121439933777
"(113.9482093, 22.64197098)",-0.8543847799301147
"(113.9515039, 22.58253306)",0.7518109679222107
"(113.9552379, 22.58950796)",0.11083824932575226
"(113.9675074, 22.65265293)",-0.745389997959137
"(113.974963, 22.62746997)",-0.6940289735794067
"(113.9752834, 22.69752747)",-0.4577479660511017
"(113.9778665, 22.63606236)",-0.45719748735427856
"(113.9807812, 22.73243144)",-0.0630524754524231
"(113.9809225, 22.68565797)",-0.8946111798286438
"(113.9841389, 22.67423889)",-0.7907459139823914
"(113.9880927, 22.72954615)",-0.08185800164937973
"(113.9898212, 22.54196643)",-0.5752791166305542
"(113.9900335, 22.68397956)",-0.9935138821601868
"(113.9904579, 22.64226492)",-0.48675984144210815
"(113.9916493, 22.64737741)",-0.4838936924934387
"(113.9916718, 22.58784857)",-0.05240499973297119
"(113.9932062, 22.52654266)",0.8243972659111023
"(113.9932346, 22.6527139)",-0.5208263397216797
"(113.9963046, 22.70992704)",-0.44520673155784607
"(113.9970331, 22.67117824)",-0.7929199934005737
"(113.9992792, 22.65421715)",-0.5244287848472595
"(114.0005952, 22.73264238)",-0.33274030685424805
"(114.0007128, 22.66430697)",-0.525433361530304
"(114.001633, 22.72922333)",-0.23045562207698822
"(114.0023106, 22.72848698)",-0.21900631487369537
"(114.0028643, 22.6404759)",-0.3178515136241913
"(114.0038738, 22.6508556)",-0.5263128280639648
"(114.0050955, 22.65370331)",-0.15199759602546692
"(114.0051044, 22.66179899)",-0.2656037211418152
"(114.0079145, 22.63527954)",0.18705332279205322
"(114.0088245, 22.62611097)",-0.24147719144821167
"(114.0093786, 22.74123652)",-0.46380990743637085
"(114.0095287, 22.6636055)",0.013308113440871239
"(114.0097406, 22.62735548)",0.027809010818600655
"(114.0104678, 22.64405655)",-0.07678735256195068
"(114.0105245, 22.68673743)",-0.6051186323165894
"(114.0107444, 22.58362918)",0.33302071690559387
"(114.0108309, 22.54178088)",0.184343159198761
"(114.0109276, 22.67354122)",-0.07405678182840347
"(114.0116695, 22.67959989)",-0.20067735016345978
"(114.0122189, 22.54090218)",0.16609936952590942
"(114.0125738, 22.63974572)",0.47314998507499695
"(114.0125816, 22.74428378)",-0.4227754771709442
"(114.0129655, 22.6333271)",0.07181339710950851
"(114.0152225, 22.54178126)",-0.09804752469062805
"(114.0156159, 22.71523458)",-0.054687194526195526
"(114.0172972, 22.53973493)",-0.20358017086982727
"(114.0177962, 22.65813706)",0.6566786766052246
"(114.0191581, 22.70979537)",0.0689566358923912
"(114.0196606, 22.67939899)",-0.07759199291467667
"(114.0196737, 22.53584398)",-0.18934354186058044
"(114.0211747, 22.53290247)",-0.365963876247406
"(114.0217604, 22.54041173)",-0.270527184009552
"(114.0217876, 22.63359962)",1.3495466709136963
"(114.0222383, 22.66002478)",0.27807632088661194
"(114.0224686, 22.62320619)",0.6073998808860779
"(114.022621, 22.61387692)",-0.7536697387695312
"(114.0227316, 22.61054866)",-0.0006255102343857288
"(114.0240834, 22.53816394)",-0.42893165349960327
"(114.0248884, 22.53279072)",0.08723430335521698
"(114.026536, 22.68663879)",0.15054066479206085
"(114.0266018, 22.55981714)",-0.20257583260536194
"(114.026909, 22.5599943)",-0.1969972401857376
"(114.0269337, 22.72900138)",-0.1344059556722641
"(114.0271428, 22.66031449)",0.6886169910430908
"(114.0276358, 22.61077502)",0.13681663572788239
"(114.0291938, 22.6364176)",1.449920415878296
"(114.0294882, 22.6692569)",-0.07650823891162872
"(114.0302852, 22.66413469)",0.7332753539085388
"(114.0304343, 22.67274015)",0.028112733736634254
"(114.0314727, 22.63714576)",1.6388229131698608
"(114.0317088, 22.56856529)",0.35832908749580383
"(114.0317806, 22.65763881)",0.6547412872314453
"(114.0325766, 22.6123815)",0.033426862210035324
"(114.0338301, 22.62154859)",0.7108072638511658
"(114.0338878, 22.73632377)",-0.46297162771224976
"(114.0339463, 22.62156879)",0.7064964771270752
"(114.0347085, 22.62274715)",0.4526880383491516
"(114.0349265, 22.62162272)",0.4229458272457123
"(114.0349844, 22.67008987)",0.35767701268196106
"(114.0355503, 22.62157138)",0.38954633474349976
"(114.036094, 22.59893691)",0.0031617942731827497
"(114.0363092, 22.67903137)",0.1025075763463974
"(114.0363543, 22.62261513)",0.34931838512420654
"(114.0366516, 22.62371269)",0.3543536365032196
"(114.0372277, 22.63537502)",1.1682499647140503
"(114.0376982, 22.52254873)",0.919485330581665
"(114.0390005, 22.69092237)",0.5759050846099854
"(114.0391629, 22.63853355)",0.9373873472213745
"(114.0392924, 22.58664928)",-0.23289984464645386
"(114.0406, 22.5194424)",0.7588062882423401
"(114.0409647, 22.54612907)",0.2564142346382141
"(114.0413582, 22.55723654)",0.10336406528949738
"(114.0413855, 22.628737)",0.5958753228187561
"(114.0413882, 22.52028712)",0.8061631321907043
"(114.0415019, 22.64998348)",1.0498720407485962
"(114.0417411, 22.54571917)",0.27254265546798706
"(114.0417761, 22.60685774)",0.14283812046051025
"(114.041782, 22.54470908)",0.32662147283554077
"(114.0419996, 22.55773674)",0.10671262443065643
"(114.0430627, 22.58486859)",-0.21012167632579803
"(114.0430646, 22.60251323)",0.038199521601200104
"(114.0442841, 22.53432027)",0.1522590070962906
"(114.0452903, 22.63662499)",-0.23246988654136658
"(114.045876, 22.5143401)",1.0052999258041382
"(114.046373, 22.68957855)",0.4550683796405792
"(114.0464934, 22.72022167)",0.18632778525352478
"(114.0468398, 22.51469163)",1.0651850700378418
"(114.0479733, 22.57137386)",0.10597886145114899
"(114.0486586, 22.69956665)",0.1668018400669098
"(114.0486799, 22.54109032)",0.05046233534812927
"(114.0487427, 22.54177583)",0.0387573279440403
"(114.0489863, 22.65975291)",0.9225972294807434
"(114.049183, 22.57131673)",0.1854752004146576
"(114.0497216, 22.51951151)",0.5945524573326111
"(114.0509822, 22.6227766)",0.18284375965595245
"(114.0509963, 22.72573809)",0.5087490677833557
"(114.0514231, 22.58979683)",-0.11292966455221176
"(114.0514251, 22.58965066)",-0.11273153871297836
"(114.0515208, 22.7167044)",0.48519062995910645
"(114.0516123, 22.51876998)",0.6255658864974976
"(114.0521102, 22.5808111)",0.18609493970870972
"(114.0530941, 22.50982578)",0.3583967983722687
"(114.0538225, 22.55148272)",-0.14081698656082153
"(114.0540381, 22.64435626)",0.42630845308303833
"(114.0541752, 22.70541753)",-0.12153047323226929
"(114.0548507, 22.52616471)",0.7980405688285828
"(114.0548562, 22.57462491)",-0.24672414362430573
"(114.0560063, 22.68438607)",0.1947374790906906
"(114.057181, 22.56515233)",0.37980151176452637
"(114.0577737, 22.52965924)",0.4307430386543274
"(114.0579903, 22.5615864)",0.6240757703781128
"(114.0585478, 22.52980878)",0.4233086407184601
"(114.0586881, 22.5254791)",0.4798787534236908
"(114.0588198, 22.53132747)",0.3374391198158264
"(114.0589339, 22.54367903)",-0.16334743797779083
