who,date,seiqd,mode,poi_o,poi_d,org_chess_x,org_chess_y,dst_chess_x,dst_chess_y,lambda_o,phi_o,lambda_d,phi_d,migrt,pre_chess_x,pre_chess_y,post_chess_x,post_chess_y,home_distance,trip_distance,weekend,pre_home_distance,post_home_distance,LU_Business,LU_City_Road,LU_Consumption,LU_Culture,LU_Industry,LU_Medical,LU_Park_&_Scenery,LU_Public,LU_Residence,LU_Science_&_Education,LU_Special,LU_Transportation,LU_Wild,trip_routelen
39317715,20190101,1,1.0,0.0,38.0,25.0,138.0,54.0,155.0,113.81193333179624,22.75534615080377,113.8818298674367,22.79102876746685,20190515,24.0,139.0,37.0,138.0,34.0,33.61547262794322,False,34.0,24.04163056034261,0.0,0.2196582791246016,0.082128410965303,0.0473183102387634,3.273077630480569e-05,0.0,0.0,0.0072984207852165,0.1781927935662055,0.3159451606662112,0.0,0.0,0.3801322392828353,9947.778
39317715,20190101,2,1.0,38.0,18.0,54.0,155.0,75.0,126.0,113.8818298674367,22.79102876746685,113.93330418626677,22.72803422870031,20190515,24.0,139.0,37.0,138.0,52.630789467763066,35.805027579936315,False,52.630789467763066,39.84971769034255,0.0,0.3408274420325474,0.0,0.0,0.0,0.0,0.0,0.0060831219466983,0.0,0.0,0.0,0.0,0.4378335919222758,10203.438999999997
39317715,20190101,3,,18.0,63.0,75.0,126.0,73.0,126.0,113.93330418626677,22.72803422870031,113.92904338128032,22.72714916870662,20190515,24.0,139.0,37.0,138.0,50.695167422546305,2.0,False,50.695167422546305,37.94733192202055,0.0,0.344253784543096,0.05265407036266924,0.0,0.7429123355137509,0.0,0.0,0.005842479595503249,0.0,0.0,0.0,0.03363759593789844,0.22242707733930525,154.348
39317715,20190102,1,1.0,63.0,0.0,73.0,126.0,25.0,138.0,113.92904338128032,22.72714916870662,113.81193333179624,22.75534615080377,20190515,24.0,139.0,37.0,138.0,1.4142135623730951,49.47726750741192,False,1.4142135623730951,12.0,0.0,0.2347342024143704,0.4722794279474355,0.0934987982325919,1.208792059543608,0.0077861141062983,0.0,0.0,0.0,0.0,0.0,0.0,0.0628562196999868,14046.666
39317715,20190102,2,1.0,0.0,15.0,25.0,138.0,22.0,129.0,113.81193333179624,22.75534615080377,113.80491426266748,22.73502846556105,20190515,24.0,139.0,37.0,138.0,10.198039027185567,9.486832980505138,False,10.198039027185567,17.4928556845359,0.1487931584360002,0.420307630981843,0.2739976805356457,0.0,0.1591177602593175,0.0,0.0,0.2670349434512433,0.2635471356754877,0.188512980282643,0.0,0.0,0.2264841215937512,2537.071
39317715,20190102,3,1.0,15.0,0.0,22.0,129.0,25.0,138.0,113.80491426266748,22.73502846556105,113.81193333179624,22.75534615080377,20190515,24.0,139.0,37.0,138.0,1.4142135623730951,9.486832980505138,False,1.4142135623730951,12.0,0.0,0.2347342024143704,0.4722794279474355,0.0934987982325919,1.208792059543608,0.0077861141062983,0.0,0.0,0.0,0.0,0.0,0.0,0.0628562196999868,2537.071
39317715,20190102,4,,0.0,21.0,25.0,138.0,75.0,35.0,113.81193333179624,22.75534615080377,113.93311619995468,22.526788821946745,20190515,24.0,139.0,37.0,138.0,115.83177456984762,114.49454135459908,False,115.83177456984762,109.78615577567146,0.34953168694744613,0.6896144458793119,0.0,0.0,1.1341649731955075,0.0,0.0,0.0,0.0,0.10044998273524755,0.0,0.0,0.0021527562450788513,31766.306
39317715,20190103,1,1.0,21.0,13.0,75.0,35.0,130.0,33.0,113.93311619995468,22.526788821946745,114.06678727766877,22.52241390423489,20190515,24.0,139.0,37.0,138.0,149.90663761154806,55.03635162326805,False,149.90663761154806,140.2640367307315,0.0,0.2099924789897592,0.0,0.0,0.0,0.0,0.0,2.323875839239184,0.4519790169069222,0.0,0.9714346029140796,0.0,0.0,15297.924000000005
39317715,20190103,2,1.0,13.0,70.0,130.0,33.0,80.0,144.0,114.06678727766877,22.52241390423489,113.94572078169728,22.76771000944799,20190515,24.0,139.0,37.0,138.0,56.22277118748239,121.74152947946727,False,56.22277118748239,43.41658669218482,0.0,0.4598601866853024,0.0328372567923279,0.0,0.312922329873799,0.0,0.0078207462267293,0.2067783918219155,0.0,0.0,0.0,0.0,0.2947780874184585,34487.174
39317715,20190103,3,,70.0,18.0,80.0,144.0,75.0,126.0,113.94572078169728,22.76771000944799,113.93330418626677,22.72803422870031,20190515,24.0,139.0,37.0,138.0,52.630789467763066,18.681541692269406,False,52.630789467763066,39.84971769034255,0.0,0.3408274420325474,0.0,0.0,0.0,0.0,0.0,0.0060831219466983,0.0,0.0,0.0,0.0,0.4378335919222758,5186.498
39317715,20190104,1,1.0,18.0,13.0,75.0,126.0,130.0,33.0,113.93330418626677,22.72803422870031,114.06678727766877,22.52241390423489,20190515,24.0,139.0,37.0,138.0,149.90663761154806,108.04628637764463,False,149.90663761154806,140.2640367307315,0.0,0.2099924789897592,0.0,0.0,0.0,0.0,0.0,2.323875839239184,0.4519790169069222,0.0,0.9714346029140796,0.0,0.0,31977.186000000005
39317715,20190104,2,1.0,13.0,43.0,130.0,33.0,72.0,86.0,114.06678727766877,22.52241390423489,113.92673833680792,22.638203317872712,20190515,24.0,139.0,37.0,138.0,71.50524456289902,78.56844150166147,False,71.50524456289902,62.68173577685928,0.0,0.5281312282475685,0.2013603775527474,0.0,1.0314089409089064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0884578214929246,23529.009
39317715,20190104,3,1.0,43.0,23.0,72.0,86.0,123.0,40.0,113.92673833680792,22.638203317872712,114.051621308072,22.538012458488016,20190515,24.0,139.0,37.0,138.0,140.0071426749364,68.6804193347711,False,140.0071426749364,130.38404810405297,1.6684877049395284,0.9440495185372588,0.891274946638873,0.0,0.0,0.0,0.0,0.2673293411043482,0.0084937765002502,0.0,0.0,0.0,0.0,20803.838999999985
39317715,20190104,4,2.0,23.0,65.0,123.0,40.0,202.0,132.0,114.051621308072,22.538012458488016,114.24262786741564,22.74057937056481,20190515,24.0,139.0,37.0,138.0,178.13758727455584,121.26417442921878,False,178.13758727455584,165.10905486980417,0.0,0.4829681045245644,0.0,0.0,0.0890989727127097,0.0,0.2309391104783153,0.0,1.4109176172656963,0.0,0.0,0.0,0.1068164583599214,34365.40800000001
