who,date,seiqd,mode,poi_o,poi_d,org_chess_x,org_chess_y,dst_chess_x,dst_chess_y,lambda_o,phi_o,lambda_d,phi_d,migrt,pre_chess_x,pre_chess_y,post_chess_x,post_chess_y,home_distance,trip_distance,weekend,pre_home_distance,post_home_distance,LU_Business,LU_City_Road,LU_Consumption,LU_Culture,LU_Industry,LU_Medical,LU_Park_&_Scenery,LU_Public,LU_Residence,LU_Science_&_Education,LU_Special,LU_Transportation,LU_Wild,trip_routelen,stime,etime
36384703,20190107,3,1,0,15,116,78,82,60,114.0338301,22.62154859,113.9515039,22.58253306,20190706,117,78,147,39,39.35733731,38.47076812,FALSE,39.35733731,68.30812543,0.133105188,0.860812524,0.361241095,0,0.2288225,0,0,0.042228038,0.655819074,0.043347724,0,0,0.073881658,11056.067,2019/1/7 19:40,2019/1/7 20:24
36384703,20190107,4,-1,15,0,82,60,116,78,113.9515039,22.58253306,114.0338301,22.62154859,20190706,117,78,147,39,1,38.47076812,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,11056.067,2019/1/7 20:25,2019/1/7 20:36
36384703,20190108,1,1,0,1,116,78,119,43,114.0338301,22.62154859,114.041782,22.54470908,20190706,117,78,147,39,35.05709629,35.12833614,FALSE,35.05709629,28.28427125,0.330412522,0.90523294,0,0,0,0,0.061616154,0.625118162,0.874632989,0.087017693,0,0,0.027380078,11424.598,2019/1/8 8:30,2019/1/8 9:02
36384703,20190108,2,1,1,0,119,43,116,78,114.041782,22.54470908,114.0338301,22.62154859,20190706,117,78,147,39,1,35.12833614,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,11424.598,2019/1/8 10:56,2019/1/8 11:32
36384703,20190108,3,4,0,15,116,78,82,60,114.0338301,22.62154859,113.9515039,22.58253306,20190706,117,78,147,39,39.35733731,38.47076812,FALSE,39.35733731,68.30812543,0.133105188,0.860812524,0.361241095,0,0.2288225,0,0,0.042228038,0.655819074,0.043347724,0,0,0.073881658,11056.067,2019/1/8 19:25,2019/1/8 19:39
36384703,20190109,1,1,15,0,82,60,116,78,113.9515039,22.58253306,114.0338301,22.62154859,20190706,117,78,147,39,1,38.47076812,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,11056.067,2019/1/9 1:53,2019/1/9 2:01
36384703,20190109,2,1,0,7,116,78,129,48,114.0338301,22.62154859,114.0643988,22.55403194,20190706,117,78,147,39,32.31098884,32.69556545,FALSE,32.31098884,20.1246118,0,0.265583936,0,0,0,0,0,0.074001991,1.96630037,0.777020052,0,0,0.002856882,8885.289,2019/1/9 10:57,2019/1/9 11:06
36384703,20190109,3,1,7,0,129,48,116,78,114.0643988,22.55403194,114.0338301,22.62154859,20190706,117,78,147,39,1,32.69556545,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,8885.289,2019/1/9 12:19,2019/1/9 13:34
36384703,20190110,1,1,0,1,116,78,119,43,114.0338301,22.62154859,114.041782,22.54470908,20190706,117,78,147,39,35.05709629,35.12833614,FALSE,35.05709629,28.28427125,0.330412522,0.90523294,0,0,0,0,0.061616154,0.625118162,0.874632989,0.087017693,0,0,0.027380078,11424.598,2019/1/10 8:33,2019/1/10 8:56
36384703,20190110,2,1,1,4,119,43,124,60,114.041782,22.54470908,114.0521102,22.5808111,20190706,117,78,147,39,19.31320792,17.72004515,FALSE,19.31320792,31.144823,0.175872737,0.765085833,0.774322169,0,0,0,0,0.00527131,0,2.76E-06,0,0,0.231347969,5599.659,2019/1/10 10:39,2019/1/10 11:50
36384703,20190110,3,1,4,0,124,60,116,78,114.0521102,22.5808111,114.0338301,22.62154859,20190706,117,78,147,39,1,19.6977156,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,8178.378,2019/1/10 12:56,2019/1/10 12:59
36384703,20190111,1,1,0,1,116,78,119,43,114.0338301,22.62154859,114.041782,22.54470908,20190706,117,78,147,39,35.05709629,35.12833614,FALSE,35.05709629,28.28427125,0.330412522,0.90523294,0,0,0,0,0.061616154,0.625118162,0.874632989,0.087017693,0,0,0.027380078,11424.598,2019/1/11 8:23,2019/1/11 9:08
36384703,20190111,2,1,1,0,119,43,116,78,114.041782,22.54470908,114.0338301,22.62154859,20190706,117,78,147,39,1,35.12833614,FALSE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,11424.598,2019/1/11 10:56,2019/1/11 11:21
36384703,20190112,1,4,0,2,116,78,126,37,114.0338301,22.62154859,114.0585478,22.52980878,20190706,117,78,147,39,41.97618372,42.20189569,TRUE,41.97618372,21.09502311,0,0.957168232,0,0.30722302,0,0,0,0,0.405851079,0.044179975,0,0,0.185311777,11897.829,2019/1/12 10:50,2019/1/12 11:05
36384703,20190112,2,-1,2,0,126,37,116,78,114.0585478,22.52980878,114.0338301,22.62154859,20190706,117,78,147,39,1,42.20189569,TRUE,1,49.81967483,0.036672474,0.271246987,0.035707864,0,0.089712594,0,0,0,0.64323565,0.326028452,0,0.241541002,0.23705086,11897.829,2019/1/12 11:06,2019/1/12 11:31
36384703,20190112,3,4,0,2,116,78,126,37,114.0338301,22.62154859,114.0585478,22.52980878,20190706,117,78,147,39,41.97618372,42.20189569,TRUE,41.97618372,21.09502311,0,0.957168232,0,0.30722302,0,0,0,0,0.405851079,0.044179975,0,0,0.185311777,11897.829,2019/1/12 13:27,2019/1/12 13:54
36384703,20190112,4,1,2,6,126,37,123,32,114.0585478,22.52980878,114.0516123,22.51876998,20190706,117,78,147,39,46.38965402,5.830951895,TRUE,46.38965402,25,0,0.795462862,0,0,0,0,0.010440185,0,0.254657447,0.099173032,1.566646105,0.002649472,0.120902122,1990.532,2019/1/12 15:39,2019/1/12 15:41
