who,date,seiqd,mode,poi_o,poi_d,org_chess_x,org_chess_y,dst_chess_x,dst_chess_y,lambda_o,phi_o,lambda_d,phi_d,migrt,pre_chess_x,pre_chess_y,post_chess_x,post_chess_y,home_distance,trip_distance,weekend,pre_home_distance,post_home_distance,LU_Business,LU_City_Road,LU_Consumption,LU_Culture,LU_Industry,LU_Medical,LU_Park_&_Scenery,LU_Public,LU_Residence,LU_Science_&_Education,LU_Special,LU_Transportation,LU_Wild,trip_routelen
68492654,20190101,1,1.0,27.0,0.0,91.0,58.0,102.0,66.0,113.9729113864314,22.576864398507205,113.99982424622245,22.59555520879481,20190601,101.0,66.0,80.0,60.0,1.0,13.601470508735444,False,1.0,22.80350850198276,0.0,0.6497973116691423,0.0,0.0,0.6252486535866798,0.0,0.0,0.0,0.0,0.0,0.0677835278907159,0.4231517389962893,0.1350239456658357,5665.904
68492654,20190101,2,1.0,0.0,4.0,102.0,66.0,80.0,25.0,113.99982424622245,22.59555520879481,113.94629208525562,22.50455859608714,20190601,101.0,66.0,80.0,60.0,46.06517122512408,46.52956049652737,False,46.06517122512408,35.0,0.0,0.3094922168146781,0.0,0.0,0.0,0.0,0.0,2.388633503824305,0.0864911869220329,0.0,0.0,0.0,0.1303750360457447,14290.649
68492654,20190101,3,1.0,4.0,0.0,80.0,25.0,102.0,66.0,113.94629208525562,22.50455859608714,113.99982424622245,22.59555520879481,20190601,101.0,66.0,80.0,60.0,1.0,46.52956049652737,False,1.0,22.80350850198276,0.0,0.6497973116691423,0.0,0.0,0.6252486535866798,0.0,0.0,0.0,0.0,0.0,0.0677835278907159,0.4231517389962893,0.1350239456658357,14290.649
68492654,20190102,1,1.0,0.0,1.0,102.0,66.0,77.0,45.0,113.99982424622245,22.59555520879481,113.938029739073,22.54712507894029,20190601,101.0,66.0,80.0,60.0,31.89043743820395,32.64965543462902,False,31.89043743820395,15.297058540778355,0.573288184124484,0.792801719085136,0.0,0.0038265030424497,0.8928039551667547,0.020401902821545,0.0425949032883004,0.0,0.0057656449397215,0.0,0.0,0.0,0.028166942778438,10256.788000000002
68492654,20190102,2,1.0,1.0,0.0,77.0,45.0,102.0,66.0,113.938029739073,22.54712507894029,113.99982424622245,22.59555520879481,20190601,101.0,66.0,80.0,60.0,1.0,32.64965543462902,False,1.0,22.80350850198276,0.0,0.6497973116691423,0.0,0.0,0.6252486535866798,0.0,0.0,0.0,0.0,0.0,0.0677835278907159,0.4231517389962893,0.1350239456658357,10256.788
68492654,20190102,3,1.0,0.0,30.0,102.0,66.0,76.0,113.0,113.99982424622245,22.59555520879481,113.93511829974724,22.69901872528857,20190601,101.0,66.0,80.0,60.0,53.23532661682466,53.71219600798314,False,53.23532661682466,53.150729063673246,0.0,0.2792721751683863,0.0272381726537064,0.0,0.9549394408319748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1871737995402801,18047.919
68492654,20190102,4,-1.0,30.0,0.0,76.0,113.0,102.0,66.0,113.93511829974724,22.69901872528857,113.99982424622245,22.59555520879481,20190601,101.0,66.0,80.0,60.0,1.0,53.71219600798314,False,1.0,22.80350850198276,0.0,0.6497973116691423,0.0,0.0,0.6252486535866798,0.0,0.0,0.0,0.0,0.0,0.0677835278907159,0.4231517389962893,0.1350239456658357,18047.919
68492654,20190103,1,1.0,0.0,1.0,102.0,66.0,77.0,45.0,113.99982424622245,22.59555520879481,113.938029739073,22.54712507894029,20190601,101.0,66.0,80.0,60.0,31.89043743820395,32.64965543462902,False,31.89043743820395,15.297058540778355,0.573288184124484,0.792801719085136,0.0,0.0038265030424497,0.8928039551667547,0.020401902821545,0.0425949032883004,0.0,0.0057656449397215,0.0,0.0,0.0,0.028166942778438,10256.788000000002
68492654,20190103,2,1.0,1.0,0.0,77.0,45.0,102.0,66.0,113.938029739073,22.54712507894029,113.99982424622245,22.59555520879481,20190601,101.0,66.0,80.0,60.0,1.0,32.64965543462902,False,1.0,22.80350850198276,0.0,0.6497973116691423,0.0,0.0,0.6252486535866798,0.0,0.0,0.0,0.0,0.0,0.0677835278907159,0.4231517389962893,0.1350239456658357,10256.788
68492654,20190104,1,1.0,0.0,1.0,102.0,66.0,77.0,45.0,113.99982424622245,22.59555520879481,113.938029739073,22.54712507894029,20190601,101.0,66.0,80.0,60.0,31.89043743820395,32.64965543462902,False,31.89043743820395,15.297058540778355,0.573288184124484,0.792801719085136,0.0,0.0038265030424497,0.8928039551667547,0.020401902821545,0.0425949032883004,0.0,0.0057656449397215,0.0,0.0,0.0,0.028166942778438,10256.788000000002
68492654,20190104,2,1.0,1.0,0.0,77.0,45.0,102.0,66.0,113.938029739073,22.54712507894029,113.99982424622245,22.59555520879481,20190601,101.0,66.0,80.0,60.0,1.0,32.64965543462902,False,1.0,22.80350850198276,0.0,0.6497973116691423,0.0,0.0,0.6252486535866798,0.0,0.0,0.0,0.0,0.0,0.0677835278907159,0.4231517389962893,0.1350239456658357,10256.788
68492654,20190105,1,1.0,0.0,11.0,102.0,66.0,78.0,61.0,113.99982424622245,22.59555520879481,113.94060400262764,22.58454577955075,20190601,101.0,66.0,80.0,60.0,23.53720459187964,24.515301344262525,True,23.53720459187964,2.23606797749979,0.0,0.6915013102418253,0.0,0.0,0.1428621077303132,0.0,0.0,0.141231335335373,0.8820730811721316,0.0,0.0,0.0,0.14477977867931,6637.528999999999
