fnid,LU_Business,LU_Green,LU_Industry,LU_Public,LU_Residence,subway,density,intersections,road_density,rent
20039,0.355469113086444,0.058369802909358,0.203401184744721,0.0929759096962,1.417755563520672,1.0,85.84775948777778,62.419753086666674,35.70943209888889,3.031054530666667
14373,0.951263113125063,0.355971145051555,0.0,0.150385094043881,0.815581117540471,1.0,8.686180163555555,30.61728394888889,37.79160493888889,9.455972222666666
18259,0.050704681307656,0.078590982361139,0.011102239535747,1.761821733922429,0.499649769773774,1.0,9.781517361333334,44.44444444444444,26.54123456888889,13.558750007222224
16192,0.412547793067553,0.227369170116424,0.0,0.46215953273361,0.622306786071607,1.0,4.211163325666667,96.79012346777778,38.41343209888888,11.337602844444444
22544,0.373076539846477,0.03958619047528,0.165041461425112,0.293678262464435,1.269950214647364,0.0,37.00141815111111,37.92592592444444,41.83585185111112,3.156102904333333
21107,0.13762785271568,0.001656022121867,0.329786287961302,0.043574178947371,1.460743509680423,1.0,48.229508674444446,20.74074074,30.707753085555552,4.203522619
25026,0.647278846235271,0.01146777568635,0.429810053243332,0.241405132795757,0.776176462328137,1.0,62.32831821111111,19.358024691444445,25.185580246666667,1.475371668333333
19327,0.168936245728768,0.095836461004668,0.08538543637635,0.452275980779976,1.150678067883306,1.0,56.95648952444444,58.074074072222224,35.03348148333333,4.220843602444444
13981,1.817843881880418,0.317052138343166,0.0,0.074576889243989,0.099074003023305,1.0,0.0,1.382716049555555,2.747851851888889,12.510288182222222
13302,0.936344594003785,0.005121230969589,0.0,0.02263339309539,0.136310728564375,1.0,0.447954024222222,11.456790122444444,17.31219753,15.436957138222224
14010,0.533709192853622,0.02103997544284,0.0,0.241365486699819,1.300481997278516,1.0,34.12474122333333,30.22222222111111,21.308049383333334,12.775326674333334
14374,1.246359325534306,0.390809536364791,0.0,0.239011822618975,0.576075451469674,1.0,8.187063086555556,35.555555554444446,38.73738271555556,7.453467589777778
14371,1.261679372666291,0.197919149235007,0.0,0.038658443622224,0.720299538395862,1.0,8.145092085,69.33333332444445,35.82755555666667,11.896401250333334
