coords,"(114.04693474611668, 22.540002295852275)","(113.9227697112878, 22.49217987724736)","(113.80356636123383, 22.69090196114182)","(113.806094118615, 22.608489914234635)","(113.9251320057314, 22.509396993056807)","(113.92563814717566, 22.499490578823)","(114.02117517887034, 22.566801444941515)","(113.85876360443186, 22.581259339236134)","(113.91779346227996, 22.52269386428252)","(114.05353233492136, 22.54364328906836)","(113.92912167809294, 22.497878461560926)","(113.92166887378023, 22.54272433986609)","(113.93012715045802, 22.5854377256304)","(113.89681327667849, 22.55895081970364)","(113.94614918290752, 22.50752506883701)","(113.92340134855672, 22.547838421042226)","(114.0501515575046, 22.55092800091292)","(113.92652566791946, 22.57339049449254)","(113.90012121377042, 22.56440234596206)","(113.92224983518896, 22.541425009465723)","(113.9209526904422, 22.519832996379805)","(113.95050315614996, 22.592666995595845)","(113.92185580797926, 22.531672656073045)","(113.94954926958331, 22.593125533267497)","(114.09987740224462, 22.55862945839605)","(113.92630913037836, 22.50516191638483)","(113.92554866697613, 22.49387546938467)","(113.93498570445516, 22.52175252781645)","(113.94316221799896, 22.505988284131483)","(113.8358804275415, 22.602846828993243)","(114.0488978197159, 22.71087739476002)","(113.92464415190864, 22.495690220455803)","(113.92218773803936, 22.53729237913093)","(113.91928439640076, 22.491246857098268)","(113.91899340854864, 22.53151856340875)","(113.90266437173422, 22.57103934276284)","(113.9278666598202, 22.576836504884977)","(113.90238367149696, 22.570555626317283)","(114.21448664326958, 22.625520634437432)","(114.15541306236037, 22.62647499010826)","(113.9022229919812, 22.53947935311595)","(113.9015942174005, 22.571386789598705)","(113.92336421331702, 22.494662221579897)","(114.16007862509652, 22.6343931526042)","(114.01101620405794, 22.557524315075128)","(113.90400705889012, 22.57209189068621)","(113.91980076423798, 22.53584783557758)","(113.88354916924268, 22.575260706140764)","(113.86394142985549, 22.6083432672588)","(114.11020849547278, 22.59479912042845)","(113.80083898677545, 22.69025184371544)","(113.79698184192694, 22.67294814226082)","(113.922922365528, 22.49274232891489)","(113.8839390306092, 22.573499571878827)","(113.90468922044644, 22.52458160145202)","(113.81118963446688, 22.71152037485446)","(113.79774013808972, 22.676302140573235)","(113.90140627594926, 22.56081731864961)","(113.9228147337774, 22.53661850363504)","(113.91208989699992, 22.6452923782916)","(113.88300586544976, 22.58562945206341)","(114.11858402141446, 22.551149668582035)","(114.40342775759994, 22.75752918760972)","(113.81792801616244, 22.73909396967996)","(113.92440619892236, 22.51653283646181)","(113.80685593527964, 22.689117790364875)","(113.80383567881978, 22.694381531168883)","(113.92067421160084, 22.63896226031564)","(113.92963531985092, 22.58526587263269)","(113.89034325731022, 22.588759923269595)","(113.91319223484469, 22.4978785926037)","(113.892255566299, 22.53991973545198)","(113.9140268062863, 22.53426418533256)","(113.91937803592886, 22.52819581992984)","(113.94211778612132, 22.50092296681268)","(113.80756354438893, 22.69243242656404)","(113.84657517531204, 22.60093561218349)","(113.8745967732099, 22.56089353229325)","(113.9236191037818, 22.547219884857284)","(114.11875155839356, 22.556180064290512)","(113.96613232544132, 22.52338990440122)","(113.90785134725428, 22.57461377939649)","(113.7984545795984, 22.687766256627945)","(113.88448606450368, 22.587761921174668)","(114.03520463103412, 22.51921755149129)","(113.8080141891376, 22.69437247816994)","(113.77155126284892, 22.67639841965641)","(113.92856639533, 22.585614114940903)","(113.88288330367332, 22.584707613242863)","(113.94255663054965, 22.5418685691059)","(113.91092740367104, 22.53137022222053)","(113.9246627181329, 22.560614477205466)","(113.90304432857408, 22.57083705992409)","(113.79895554589974, 22.67002781975252)","(113.86711044675866, 22.581720273324983)","(113.91380199677894, 22.52950577881648)","(113.81220867492476, 22.69171278348757)","(113.93010821550216, 22.58103330109768)","(113.86217747391308, 22.620536663669785)","(113.787202884941, 22.70781840778824)","(113.88428769528484, 22.59311858474874)","(113.94630768345353, 22.59428386994332)","(114.121585315972, 22.5718004372024)","(113.94190375622978, 22.57762146087218)","(113.91931046608696, 22.52379949723722)","(113.84475396863044, 22.62243264083828)","(113.88183428666048, 22.58382089117693)","(113.88247799071604, 22.571539914543767)","(113.84312994463517, 22.58968804064139)","(113.867296889157, 22.813240987396306)","(114.08654250847071, 22.55688993850308)","(113.81981155421732, 22.674296914959008)","(113.89385583383638, 22.570381868465148)","(113.86391670627869, 22.62356676335052)","(114.36537140469406, 22.75027732854598)","(114.03258017340312, 22.518835225050434)","(113.7636001347737, 22.72988978944929)","(113.86659428816216, 22.58134020026288)","(113.8150073934701, 22.67642124110698)","(113.93145888991178, 22.578848067899514)","(113.961348863182, 22.56614097538303)","(114.059828635191, 22.55692679284818)","(113.91149043362827, 22.55031513055191)","(113.91793134499132, 22.521306733839328)","(113.92474488582464, 22.54902832461472)","(113.87474010382866, 22.595008505464588)","(113.92858732646752, 22.497886317194585)","(114.14738262385522, 22.62282166401146)","(113.84714603807237, 22.57080712156915)","(113.92366541253956, 22.49031818591481)","(113.90736846998614, 22.584919578327888)","(113.92548846160952, 22.50011042823694)","(113.7723344254874, 22.68737798494879)","(113.83322105799826, 22.73261450604596)","(113.92151829851616, 22.54250486324521)","(113.92929765548104, 22.56674971426652)","(113.8855563381032, 22.58338778990331)","(113.92491544451951, 22.546594915393136)","(113.9199180705112, 22.532779942101413)","(113.9358865757457, 22.49015576662666)","(113.79435539359328, 22.68217113485571)","(113.81329833274668, 22.71163275331357)","(113.91133875899128, 22.531498055807084)","(113.9060216403065, 22.566474454650844)","(113.88413314186084, 22.587466287225133)","(113.93464599946716, 22.51865957436213)","(113.8210823761027, 22.749753392782647)","(113.92658920679084, 22.492458862027146)","(113.85355712542966, 22.66182489877292)","(113.88510845002376, 22.58947059796849)","(113.89619219511088, 22.56195301430272)","(113.9288019566342, 22.58296667651562)","(113.87483008598684, 22.55571806422992)","(113.87822146372534, 22.595780185853)","(113.92042670727112, 22.491413103835583)","(113.92392189050732, 22.511208007475243)","(113.96495524828326, 22.53415067655107)","(113.93376121122374, 22.49405012886638)","(113.92120213056955, 22.54274247433163)","(113.9264224304794, 22.494702765882828)","(113.78317612389604, 22.72112859582333)","(113.85121218758688, 22.57789737549889)","(113.9257133208641, 22.49904801076604)","(113.8577241213036, 22.570969357083783)","(113.94635535775788, 22.50871004611025)","(113.86233085822712, 22.60693104670113)","(114.06902312553083, 22.523806070931325)","(114.49990221379645, 22.54893734564464)","(113.94571331747716, 22.52330004273926)","(113.87698404889056, 22.57912414562788)","(113.9330638512782, 22.495724485531586)","(113.92047466594128, 22.544876414936937)","(113.7978084771704, 22.67796389424912)","(113.90948937514612, 22.48887518802972)","(113.9112970710738, 22.511976928895443)","(113.83767185158216, 22.624341266166127)","(113.92631012301244, 22.567845340105382)","(113.7995415821282, 22.687435975246444)","(113.88453539267744, 22.547765267102395)","(113.92305428222826, 22.49292534483256)","(113.81018381420004, 22.70623937238828)","(113.83908742873312, 22.683928243539707)","(114.54846422651664, 22.56122294530019)","(113.9270937650141, 22.551110989411416)","(113.80370559943276, 22.687836631059508)","(113.8464747588942, 22.676005611414727)","(113.92917065609052, 22.503574030879285)","(113.87339173849706, 22.59661564432261)","(113.8774394389855, 22.56625517429714)","(113.92896046356675, 22.58151673069305)","(113.88310153146348, 22.58623698054205)","(113.87235359274077, 22.572455224968497)","(113.92218046914108, 22.55294107113472)","(113.79736131602444, 22.672106361667964)","(113.93510217899644, 22.526906019842286)","(113.87855566357037, 22.59216790486995)","(113.90989511060286, 22.580147211848672)","(113.93894760673626, 22.5081553618812)","(113.87020960892772, 22.558296893756623)","(113.8433983618851, 22.600071130428564)","(113.92259592110987, 22.49125603173196)","(113.87015437333862, 22.59605393906024)","(113.80312923828562, 22.6933928308706)","(113.82901079596748, 22.64045885550324)","(113.9174113969783, 22.51132708318565)","(113.8237800329128, 22.68099936027544)","(113.80166244724734, 22.68988754163503)","(113.91989942007548, 22.491960686132167)","(113.87433931137282, 22.566276087113)","(113.9176267384469, 22.546137278208786)","(113.92919325708384, 22.579346228088763)","(113.89732510089706, 22.58208937726691)","(113.88748437986968, 22.586240821816176)","(113.93170404942028, 22.51515419347029)","(113.79422761138744, 22.68182655677045)","(113.92801189600554, 22.58222055640631)","(113.9253577079628, 22.516232859817617)","(113.89374666645298, 22.59040512458577)","(114.23780014450274, 22.738075058159986)","(113.90779509495395, 22.56886403032578)","(113.83309839612107, 22.695279679644056)","(113.7959787892288, 22.67718626497924)","(114.04983029611104, 22.551869775455)","(114.07229404002798, 22.530781669223945)","(114.0693542705338, 22.51770420768841)","(113.92367270147987, 22.532537701271604)","(114.48847853085512, 22.523815654853145)","(113.85903005379473, 22.58150820922977)","(113.8830452791676, 22.586145643716485)","(113.84972633612948, 22.578707593380017)","(113.84971705017225, 22.579096711859044)","(113.8497258765175, 22.57870884303717)",no action
"(113.7636001347737, 22.72988978944929)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.77155126284892, 22.67639841965641)",0.43099475,0.17005192,0.19759102,0,0,0.1005673,-0.21235502,0.4305675,0,0.41621503,-0.16893487,0,-0.6660949,0.12670964,0.21447507,-0.23835123,0,0.0001513036,-1.5417671,0,1.1329893,-0.48472697,0.22309458,0.24479656,0.6671496,0,0,0,-0.1516857,0.20155802,0.013155419,-0.94694316,-0.68991315,-0.8614434,-0.783516,-0.30356717,0,0.80032384,0.14214097,0,0.122164436,0,0,0,-0.2829141,0,0,0,0.050616268,0,-0.3771362,0.5233396,0.43900982,0,0,0,0,0.6685703,0.101245984,0,-0.16886677,2.0176673,-0.20374164,0,0,0.31616005,0.08708543,0,0.71908545,-0.1641422,0,0,0.9052632,-0.18092434,0.77895,0,0,-1.555423,0,0.77578586,-0.5573107,-0.9088221,0,0.37717152,0.116792545,0,0.15565065,0,0.92741716,-0.08852361,0,0.21093026,0,-0.1493918,-0.75779635,-0.37841636,0,0.29896852,-0.74192876,0,-1.2158039,0.36377943,-0.54048806,-0.41386852,-0.84668857,0.09774937,0.38360712,0,1.1938006,-0.24950764,0,-0.5126755,0.23248251,-0.6819128,0.29760742,0.965575,0,0,-0.5607138,1.0137876,-0.1863262,0.4571312,1.9514705,0,-0.6528919,1.4726634,0.5781775,0,0.24429075,-0.5514892,1.1901227,-0.12448606,-0.20303346,0,0.5300085,0.48852536,-0.046050854,-1.5152097,-1.0203483,1.2448332,0,0,-0.6061236,-1.9350265,-0.024323719,0.8079794,-0.3644725,0,0.43280432,-1.532653,-0.7977423,0.35366902,0,-0.55230814,0.66908365,1.0253149,0.1672718,-0.49212098,-0.6782007,0,0.13780096,0,-1.0044749,-1.9392926,0,-1.5934149,0,0.38594177,0,-0.03740382,0,0.35409027,-0.2878636,0.67640954,0.9148201,0,0.41978756,0,0,0.80832756,0,0,0.5415534,0,-0.28874275,0,0.43240127,-0.6870468,-0.45480517,-0.73350793,-0.9936818,0.678313,0.98275435,0,1.0387064,-0.29357833,0.017106,0,0,-0.449169,0.53533524,0,0,1.2045132,-0.4290709,1.6300822,0,0,0.08483255,0,0,-0.9237493,0,0,0,0.5126302,0,-1.1395812,0,1.2559823,-0.6897688,-0.16680223,1.450498,0,0.08762064,0.02670121,0.41099766,0.38428122,-0.2728755,-0.9626296,0.37885156,-0.44071808,-1.0078254
"(113.7723344254874, 22.68737798494879)",0.54707205,0.09130539,0.24981593,0,0,0.13402323,-0.15250522,0.49531984,0,0.18004158,-0.07874595,0,-0.59787005,0.17291215,0.20983082,-0.28027636,0,-0.08400792,-1.5621178,0,1.0833095,-0.5837011,0.18984358,0.26160064,0.6911267,0,0,0,-0.20735134,0.020251958,0.10851975,-1.0249143,-0.72842664,-0.8063654,-0.8086882,-0.35147035,0,0.7981506,0.2701689,0,0.021014968,0,0,0,-0.49233943,0,0,0,0.065433025,0,-0.46499026,0.4947373,0.26254186,0,0,0,0,0.6818099,0.16548134,0,-0.25821432,1.9822059,-0.3140108,0,0,0.34320307,0.07540477,0,0.76327103,-0.15946536,0,0,0.8919908,0.02442075,0.8994148,0,0,-1.4929515,0,0.929731,-0.38644826,-1.0580581,0,0.38869405,0.040501866,0,0.12876222,0,0.98427325,-0.17496526,0,0.27491626,0,-0.07712596,-0.67265505,-0.5308192,0,0.0947032,-0.7159156,0,-1.2039652,0.42941836,-0.60277337,-0.27208468,-1.0144124,0.008215385,0.39714026,0,1.2635587,-0.26297262,0,-0.45269188,0.49734554,-0.7039064,0.27427304,0.9104522,0,0,-0.60057396,0.9215083,-0.26459253,0.42826128,1.6868894,0,-0.73111105,1.4650074,0.59738064,0,0.06899281,-0.5251127,1.0249205,-0.05359793,-0.17477204,0,0.5641906,0.48714772,0.18906115,-1.2123432,-1.0422293,1.3974675,0,0,-0.48107007,-1.8829358,0.060290888,0.7301912,-0.2556202,0,0.48816705,-1.468785,-0.669568,0.25188258,0,-0.42951378,0.6909842,0.8490554,0.16641472,-0.4129939,-0.6491749,0,0.12923369,0,-0.8775093,-1.8922763,0,-1.5432885,0,0.35672113,0,-0.027955454,0,0.51567054,-0.22955701,0.6712477,0.7887286,0,0.3358455,0,0,1.0078833,0,0,0.45285898,0,-0.41269168,0,0.38773388,-0.74594593,-0.50726175,-0.75802445,-1.1019404,0.62841284,1.1281128,0,1.1037877,-0.27618396,-0.1652742,0,0,-0.5896401,0.44741768,0,0,1.257597,-0.42081597,1.6232859,0,0,0.15967903,0,0,-0.9492773,0,0,0,0.31915835,0,-1.1486962,0,1.2295921,-0.6987748,-0.06836158,1.6667852,0,0.15007056,0.01263207,0.33027756,0.21632946,-0.32234654,-0.9195364,0.38145635,-0.405134,-1.0175849
"(113.78317612389604, 22.72112859582333)",0.9287923,0.12893154,-0.3605687,0,0,-0.39548448,-0.41083622,0.7527181,0,1.0142833,-0.4830437,0,-0.5305929,-0.4029707,0.72162986,0.02244373,0,-0.15692642,-1.7939464,0,0.7576806,0.48199487,0.1507926,-0.58598953,0.55768895,0,0,0,-0.39709255,-0.69862753,0.725822,-0.12373982,-0.5483101,-0.2726164,-0.8973307,0.57765734,0,0.99163365,-0.34407127,0,0.505823,0,0,0,-0.17614926,0,0,0,-0.054095592,0,0.09326438,-0.12052623,-0.22260861,0,0,0,0,1.3306453,-0.85893613,0,0.25819796,2.0100436,-0.5002223,0,0,-0.16414808,-0.60701,0,1.171776,-0.8009958,0,0,0.86465734,0.8619622,0.29685995,0,0,-1.186376,0,0.55513084,-0.10095845,-0.632695,0,0.24933413,0.40181422,0,0.08514038,0,0.18248437,0.87060744,0,0.67856383,0,-0.26374695,-0.8500845,0.03530996,0,-0.21877593,-0.98369473,0,-1.1158593,0.4299308,-0.31773803,-0.005795656,-0.047322825,0.85711324,0.5601267,0,0.8389024,0.25402012,0,-0.40362337,-0.12592946,-0.4875656,-0.7578286,0.096296124,0,0,-1.0768542,1.0795554,0.039111882,-0.3725611,1.8954011,0,-0.88890696,1.2469754,0.5210223,0,0.045714032,-0.034289412,1.411752,-0.47675768,-0.123350576,0,0.045375727,-0.031860895,-0.22344185,-0.9970592,-0.40046936,0.5578157,0,0,0.4647172,-2.1606421,-0.39697504,1.151643,-0.5507714,0,0.41938195,-1.343066,-0.64746267,-0.41364434,0,-1.3427255,0.6464606,1.09508,0.5544427,-0.47375417,-0.5100295,0,0.5991937,0,-0.15981695,-1.9306195,0,-1.4257357,0,0.34135854,0,0.61131597,0,0.17204721,-0.019155147,0.9363139,0.77158684,0,2.0983684,0,0,-0.03577727,0,0,-0.28640172,0,0.17655128,0,-0.040421568,-0.9102268,-0.14320366,-1.3734796,-1.6895915,0.93991476,0.3163003,0,-0.5517014,-0.34193552,0.42705244,0,0,0.4997569,0.55405957,0,0,1.1767269,-0.885864,1.7892632,0,0,0.47079742,0,0,-0.4250562,0,0,0,0.45327953,0,-0.9704941,0,1.193188,-0.17525138,0.020578265,0.8872419,0,0.09342224,0.07744956,0.5349371,-0.053271547,-0.24787895,-0.43449548,0.16072865,-0.9917148,-0.33386567
"(113.787202884941, 22.70781840778824)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.79422761138744, 22.68182655677045)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.79435539359328, 22.68217113485571)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.7959787892288, 22.67718626497924)",0.38359937,-0.31524256,-0.40492862,0,0,-0.59852934,-0.73559994,0.41985595,0,-1.0944369,0.49709982,0,-0.32309875,0.6934862,0.009011856,-0.38853025,0,0.13832653,-1.5289782,0,0.89331025,-0.6381051,0.25099754,0.79298997,0.64232224,0,0,0,-0.3664477,-0.14168362,0.93117774,-0.7177118,-0.71506506,0.020182237,-1.1073347,-0.8099766,0,0.41778728,0.6494397,0,0.26190627,0,0,0,-1.4508574,0,0,0,0.006709654,0,-0.11497342,0.43939757,-0.14595078,0,0,0,0,0.4138434,0.6352993,0,0.557555,1.3566452,-1.253918,0,0,0.56836563,-0.22265376,0,0.7507444,-0.3937316,0,0,1.3722159,0.90965766,0.679771,0,0,-1.5319127,0,1.0802268,-0.07087258,-1.6059128,0,-0.07779068,0.38215566,0,0.62769747,0,1.0859718,-0.08271156,0,0.84984654,0,0.6525293,0.1379596,-0.8898942,0,-0.1557701,-0.35953552,0,-1.192253,0.15067315,-0.3411212,-0.19891644,-0.82404995,-0.3852986,-0.19546787,0,0.82322496,-0.11699809,0,-0.93762225,0.84586984,-0.8041105,0.67401415,0.3641993,0,0,-0.9172617,0.5712483,-1.0033805,0.0919224,0.87002236,0,-0.17610595,1.4834993,0.7381871,0,-0.48839712,-0.42523572,0.6664793,-0.9507624,-0.67309195,0,0.093707755,0.21261862,-0.24703918,-1.1192807,-0.7274607,1.6721904,0,0,0.24900104,-1.4220029,0.25635606,0.48292637,-0.43016854,0,0.06901543,-1.4808954,-0.88737273,-0.5726091,0,0.5693428,0.8579934,0.26032838,0.46664995,0.33655882,-0.4726585,0,0.29282987,0,-0.39983118,-1.5726202,0,-1.1243143,0,-0.5344662,0,-0.093850955,0,1.2878069,-0.26060605,0.6209119,0.09406095,0,0.18489337,0,0,0.6679013,0,0,0.58498114,0,-0.5444246,0,0.025408156,-0.48029467,-0.8699875,-1.4398823,-1.2122539,-0.13539442,1.068129,0,0.26577935,-0.1282325,-1.0890307,0,0,-0.3439294,-0.09490727,0,0,1.1247873,-0.46796462,1.225169,0,0,0.5920329,0,0,-0.42022526,0,0,0,-0.5725753,0,-1.251139,0,1.3352107,-0.6030596,0.7271897,2.5423074,0,0.29523855,0.37817398,-0.38331157,-0.44298047,-0.27278683,-0.100177154,-0.12227864,-0.38643083,-0.60769314
"(113.79698184192694, 22.67294814226082)",0.4326491,-0.47386363,-0.6788934,0,0,-0.7940664,-0.67276645,0.58868533,0,-1.5499763,0.98587114,0,-0.29315034,0.7867551,-0.1380116,-0.30551243,0,0.31219625,-1.3154174,0,0.6621943,-0.5948123,0.102025606,0.81624734,0.6537404,0,0,0,-0.32844493,-0.41031447,1.2417511,-0.59737474,-0.58751285,0.3553748,-0.87986034,-0.8294396,0,0.24191986,0.80392104,0,0.20110035,0,0,0,-1.6857821,0,0,0,0.13489221,0,0.052603737,0.32180643,-0.5228073,0,0,0,0,0.3017925,0.5355255,0,0.6504168,0.86551875,-1.5153446,0,0,0.6869305,-0.5084463,0,0.65619206,-0.39509407,0,0,1.468579,1.0699513,0.7593859,0,0,-1.2221271,0,0.98594224,0.23522475,-1.81268,0,-0.3049553,0.28015277,0,0.72858644,0,1.1400179,0.019420186,0,0.9367871,0,0.7148311,0.70959467,-1.0725721,0,-0.4715842,-0.082439944,0,-0.87661725,0.18821783,-0.24893561,0.067700766,-0.6560343,-0.5516979,-0.36706814,0,0.62620413,-0.17388855,0,-0.80313534,1.0584003,-0.53864884,0.73843765,0.06216368,0,0,-1.0702641,0.40571922,-1.140506,0.015473246,0.22512454,0,0.10258542,1.2701766,0.81972504,0,-0.7988615,-0.40433705,0.32848248,-1.0609028,-0.59505165,0,-0.1447748,0.04675749,-0.18928982,-0.6350242,-0.45717713,1.6239419,0,0,0.7217114,-0.9768211,0.3707323,0.25577343,-0.20014738,0,-0.10759868,-1.2608461,-0.64886826,-0.90864944,0,0.85737544,0.7904689,-0.31060213,0.54383636,0.6856876,-0.24996853,0,0.33681345,0,-0.034689564,-1.2169598,0,-0.57749975,0,-0.78860253,0,-0.0002818443,0,1.4824167,-0.2667676,0.4894159,-0.24589853,0,0.03666313,0,0,0.52559423,0,0,0.37323633,0,-0.81862897,0,0.097885795,-0.33126268,-1.0463852,-1.6132512,-1.3442283,-0.33943686,1.0346446,0,0.027200261,-0.012009471,-1.6254498,0,0,-0.42599806,-0.2958949,0,0,0.8321661,-0.44525218,1.0508195,0,0,0.76340747,0,0,-0.11493331,0,0,0,-0.8302579,0,-1.1439004,0,1.1519591,-0.44634867,1.2069249,2.4492333,0,0.42991492,0.47019118,-0.8431285,-0.82531613,-0.19777314,0.22876233,-0.2430412,-0.022509111,-0.5285919
"(113.79736131602444, 22.672106361667964)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
