coords,"(114.04693474611668, 22.540002295852275)","(113.9227697112878, 22.49217987724736)","(113.80356636123383, 22.69090196114182)","(113.806094118615, 22.608489914234635)","(113.9251320057314, 22.509396993056807)","(113.92563814717566, 22.499490578823)","(114.02117517887034, 22.566801444941515)","(113.85876360443186, 22.581259339236134)","(113.91779346227996, 22.52269386428252)","(114.05353233492136, 22.54364328906836)","(113.92912167809294, 22.497878461560926)","(113.92166887378023, 22.54272433986609)","(113.93012715045802, 22.5854377256304)","(113.89681327667849, 22.55895081970364)","(113.94614918290752, 22.50752506883701)","(113.92340134855672, 22.547838421042226)","(114.0501515575046, 22.55092800091292)","(113.92652566791946, 22.57339049449254)","(113.90012121377042, 22.56440234596206)","(113.92224983518896, 22.541425009465723)","(113.9209526904422, 22.519832996379805)","(113.95050315614996, 22.592666995595845)","(113.92185580797926, 22.531672656073045)","(113.94954926958331, 22.593125533267497)","(114.09987740224462, 22.55862945839605)","(113.92630913037836, 22.50516191638483)","(113.92554866697613, 22.49387546938467)","(113.93498570445516, 22.52175252781645)","(113.94316221799896, 22.505988284131483)","(113.8358804275415, 22.602846828993243)","(114.0488978197159, 22.71087739476002)","(113.92464415190864, 22.495690220455803)","(113.92218773803936, 22.53729237913093)","(113.91928439640076, 22.491246857098268)","(113.91899340854864, 22.53151856340875)","(113.90266437173422, 22.57103934276284)","(113.9278666598202, 22.576836504884977)","(113.90238367149696, 22.570555626317283)","(114.21448664326958, 22.625520634437432)","(114.15541306236037, 22.62647499010826)","(113.9022229919812, 22.53947935311595)","(113.9015942174005, 22.571386789598705)","(113.92336421331702, 22.494662221579897)","(114.16007862509652, 22.6343931526042)","(114.01101620405794, 22.557524315075128)","(113.90400705889012, 22.57209189068621)","(113.91980076423798, 22.53584783557758)","(113.88354916924268, 22.575260706140764)","(113.86394142985549, 22.6083432672588)","(114.11020849547278, 22.59479912042845)","(113.80083898677545, 22.69025184371544)","(113.79698184192694, 22.67294814226082)","(113.922922365528, 22.49274232891489)","(113.8839390306092, 22.573499571878827)","(113.90468922044644, 22.52458160145202)","(113.81118963446688, 22.71152037485446)","(113.79774013808972, 22.676302140573235)","(113.90140627594926, 22.56081731864961)","(113.9228147337774, 22.53661850363504)","(113.91208989699992, 22.6452923782916)","(113.88300586544976, 22.58562945206341)","(114.11858402141446, 22.551149668582035)","(114.40342775759994, 22.75752918760972)","(113.81792801616244, 22.73909396967996)","(113.92440619892236, 22.51653283646181)","(113.80685593527964, 22.689117790364875)","(113.80383567881978, 22.694381531168883)","(113.92067421160084, 22.63896226031564)","(113.92963531985092, 22.58526587263269)","(113.89034325731022, 22.588759923269595)","(113.91319223484469, 22.4978785926037)","(113.892255566299, 22.53991973545198)","(113.9140268062863, 22.53426418533256)","(113.91937803592886, 22.52819581992984)","(113.94211778612132, 22.50092296681268)","(113.80756354438893, 22.69243242656404)","(113.84657517531204, 22.60093561218349)","(113.8745967732099, 22.56089353229325)","(113.9236191037818, 22.547219884857284)","(114.11875155839356, 22.556180064290512)","(113.96613232544132, 22.52338990440122)","(113.90785134725428, 22.57461377939649)","(113.7984545795984, 22.687766256627945)","(113.88448606450368, 22.587761921174668)","(114.03520463103412, 22.51921755149129)","(113.8080141891376, 22.69437247816994)","(113.77155126284892, 22.67639841965641)","(113.92856639533, 22.585614114940903)","(113.88288330367332, 22.584707613242863)","(113.94255663054965, 22.5418685691059)","(113.91092740367104, 22.53137022222053)","(113.9246627181329, 22.560614477205466)","(113.90304432857408, 22.57083705992409)","(113.79895554589974, 22.67002781975252)","(113.86711044675866, 22.581720273324983)","(113.91380199677894, 22.52950577881648)","(113.81220867492476, 22.69171278348757)","(113.93010821550216, 22.58103330109768)","(113.86217747391308, 22.620536663669785)","(113.787202884941, 22.70781840778824)","(113.88428769528484, 22.59311858474874)","(113.94630768345353, 22.59428386994332)","(114.121585315972, 22.5718004372024)","(113.94190375622978, 22.57762146087218)","(113.91931046608696, 22.52379949723722)","(113.84475396863044, 22.62243264083828)","(113.88183428666048, 22.58382089117693)","(113.88247799071604, 22.571539914543767)","(113.84312994463517, 22.58968804064139)","(113.867296889157, 22.813240987396306)","(114.08654250847071, 22.55688993850308)","(113.81981155421732, 22.674296914959008)","(113.89385583383638, 22.570381868465148)","(113.86391670627869, 22.62356676335052)","(114.36537140469406, 22.75027732854598)","(114.03258017340312, 22.518835225050434)","(113.7636001347737, 22.72988978944929)","(113.86659428816216, 22.58134020026288)","(113.8150073934701, 22.67642124110698)","(113.93145888991178, 22.578848067899514)","(113.961348863182, 22.56614097538303)","(114.059828635191, 22.55692679284818)","(113.91149043362827, 22.55031513055191)","(113.91793134499132, 22.521306733839328)","(113.92474488582464, 22.54902832461472)","(113.87474010382866, 22.595008505464588)","(113.92858732646752, 22.497886317194585)","(114.14738262385522, 22.62282166401146)","(113.84714603807237, 22.57080712156915)","(113.92366541253956, 22.49031818591481)","(113.90736846998614, 22.584919578327888)","(113.92548846160952, 22.50011042823694)","(113.7723344254874, 22.68737798494879)","(113.83322105799826, 22.73261450604596)","(113.92151829851616, 22.54250486324521)","(113.92929765548104, 22.56674971426652)","(113.8855563381032, 22.58338778990331)","(113.92491544451951, 22.546594915393136)","(113.9199180705112, 22.532779942101413)","(113.9358865757457, 22.49015576662666)","(113.79435539359328, 22.68217113485571)","(113.81329833274668, 22.71163275331357)","(113.91133875899128, 22.531498055807084)","(113.9060216403065, 22.566474454650844)","(113.88413314186084, 22.587466287225133)","(113.93464599946716, 22.51865957436213)","(113.8210823761027, 22.749753392782647)","(113.92658920679084, 22.492458862027146)","(113.85355712542966, 22.66182489877292)","(113.88510845002376, 22.58947059796849)","(113.89619219511088, 22.56195301430272)","(113.9288019566342, 22.58296667651562)","(113.87483008598684, 22.55571806422992)","(113.87822146372534, 22.595780185853)","(113.92042670727112, 22.491413103835583)","(113.92392189050732, 22.511208007475243)","(113.96495524828326, 22.53415067655107)","(113.93376121122374, 22.49405012886638)","(113.92120213056955, 22.54274247433163)","(113.9264224304794, 22.494702765882828)","(113.78317612389604, 22.72112859582333)","(113.85121218758688, 22.57789737549889)","(113.9257133208641, 22.49904801076604)","(113.8577241213036, 22.570969357083783)","(113.94635535775788, 22.50871004611025)","(113.86233085822712, 22.60693104670113)","(114.06902312553083, 22.523806070931325)","(114.49990221379645, 22.54893734564464)","(113.94571331747716, 22.52330004273926)","(113.87698404889056, 22.57912414562788)","(113.9330638512782, 22.495724485531586)","(113.92047466594128, 22.544876414936937)","(113.7978084771704, 22.67796389424912)","(113.90948937514612, 22.48887518802972)","(113.9112970710738, 22.511976928895443)","(113.83767185158216, 22.624341266166127)","(113.92631012301244, 22.567845340105382)","(113.7995415821282, 22.687435975246444)","(113.88453539267744, 22.547765267102395)","(113.92305428222826, 22.49292534483256)","(113.81018381420004, 22.70623937238828)","(113.83908742873312, 22.683928243539707)","(114.54846422651664, 22.56122294530019)","(113.9270937650141, 22.551110989411416)","(113.80370559943276, 22.687836631059508)","(113.8464747588942, 22.676005611414727)","(113.92917065609052, 22.503574030879285)","(113.87339173849706, 22.59661564432261)","(113.8774394389855, 22.56625517429714)","(113.92896046356675, 22.58151673069305)","(113.88310153146348, 22.58623698054205)","(113.87235359274077, 22.572455224968497)","(113.92218046914108, 22.55294107113472)","(113.79736131602444, 22.672106361667964)","(113.93510217899644, 22.526906019842286)","(113.87855566357037, 22.59216790486995)","(113.90989511060286, 22.580147211848672)","(113.93894760673626, 22.5081553618812)","(113.87020960892772, 22.558296893756623)","(113.8433983618851, 22.600071130428564)","(113.92259592110987, 22.49125603173196)","(113.87015437333862, 22.59605393906024)","(113.80312923828562, 22.6933928308706)","(113.82901079596748, 22.64045885550324)","(113.9174113969783, 22.51132708318565)","(113.8237800329128, 22.68099936027544)","(113.80166244724734, 22.68988754163503)","(113.91989942007548, 22.491960686132167)","(113.87433931137282, 22.566276087113)","(113.9176267384469, 22.546137278208786)","(113.92919325708384, 22.579346228088763)","(113.89732510089706, 22.58208937726691)","(113.88748437986968, 22.586240821816176)","(113.93170404942028, 22.51515419347029)","(113.79422761138744, 22.68182655677045)","(113.92801189600554, 22.58222055640631)","(113.9253577079628, 22.516232859817617)","(113.89374666645298, 22.59040512458577)","(114.23780014450274, 22.738075058159986)","(113.90779509495395, 22.56886403032578)","(113.83309839612107, 22.695279679644056)","(113.7959787892288, 22.67718626497924)","(114.04983029611104, 22.551869775455)","(114.07229404002798, 22.530781669223945)","(114.0693542705338, 22.51770420768841)","(113.92367270147987, 22.532537701271604)","(114.48847853085512, 22.523815654853145)","(113.85903005379473, 22.58150820922977)","(113.8830452791676, 22.586145643716485)","(113.84972633612948, 22.578707593380017)","(113.84971705017225, 22.579096711859044)","(113.8497258765175, 22.57870884303717)",no action
"(113.7636001347737, 22.72988978944929)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.77155126284892, 22.67639841965641)",0.46812737,0.23081966,0.23267359,0,0,0.143247,-0.14141956,0.4792487,0,0.50135845,-0.21272992,0,-0.6526522,0.04167221,0.22877985,-0.2214558,0,-0.038121942,-1.5453285,0,1.1000004,-0.39692,0.1977836,0.18311118,0.62384045,0,0,0,-0.14496431,0.14139104,-0.016941115,-0.90617335,-0.702869,-0.8845193,-0.75754726,-0.21586859,0,0.83675146,0.09250236,0,0.07402441,0,0,0,-0.21620846,0,0,0,0.056969434,0,-0.41303164,0.49088752,0.4459245,0,0,0,0,0.6995386,0.012563221,0,-0.2215968,2.0012317,-0.12649709,0,0,0.2730806,0.10658355,0,0.73573565,-0.14982548,0,0,0.83560616,-0.19330174,0.79499775,0,0,-1.5021346,0,0.75491846,-0.5053936,-0.8737817,0,0.41722643,0.10858734,0,0.09391791,0,0.8476473,-0.07548801,0,0.1898305,0,-0.19495372,-0.7799444,-0.37469947,0,0.24284309,-0.80044436,0,-1.1632634,0.38525063,-0.5256767,-0.3746755,-0.83438027,0.13456571,0.43549553,0,1.2172964,-0.24106345,0,-0.42569447,0.21525612,-0.6694388,0.20600045,0.95876896,0,0,-0.5769844,1.041074,-0.10220621,0.46885586,1.948823,0,-0.70995426,1.408235,0.55017775,0,0.24372503,-0.54085356,1.1762284,-0.050982203,-0.14058238,0,0.56021076,0.4864483,0.027672444,-1.4512058,-1.0094652,1.1709343,0,0,-0.5899233,-1.9325653,-0.052509937,0.8371952,-0.3261832,0,0.4590624,-1.4864143,-0.7217472,0.3672805,0,-0.6368003,0.6151701,1.024744,0.1588855,-0.5646962,-0.67715913,0,0.14570093,0,-0.99966544,-1.9399089,0,-1.5824668,0,0.47075048,0,0.004420487,0,0.27632448,-0.24924336,0.6838139,0.9135772,0,0.49364617,0,0,0.81699336,0,0,0.4892308,0,-0.30004466,0,0.44767374,-0.7175487,-0.4041811,-0.6974084,-0.982407,0.7615163,0.9722609,0,1.0375922,-0.29246277,0.09065059,0,0,-0.46582472,0.54362637,0,0,1.2047036,-0.41179338,1.6488562,0,0,0.056628577,0,0,-0.9323354,0,0,0,0.5462827,0,-1.1203225,0,1.228321,-0.67502636,-0.18521716,1.3733456,0,0.085205145,-0.026006943,0.4541931,0.37477452,-0.28619474,-0.97968566,0.41708428,-0.44545126,-1.0173987
"(113.7723344254874, 22.68737798494879)",0.5818965,0.14258838,0.27659616,0,0,0.16536437,-0.08499944,0.53106177,0,0.26402766,-0.12375937,0,-0.5845247,0.09270689,0.23164526,-0.26236427,0,-0.12364933,-1.5644648,0,1.0569292,-0.50232244,0.16800544,0.20188062,0.65297055,0,0,0,-0.2032124,-0.045794662,0.084553376,-0.9876984,-0.7302912,-0.8236051,-0.7798233,-0.25445488,0,0.8383535,0.21942288,0,-0.016579047,0,0,0,-0.43031567,0,0,0,0.06755853,0,-0.49877024,0.46173167,0.2614728,0,0,0,0,0.7204765,0.07543736,0,-0.314951,1.9762973,-0.24904498,0,0,0.29631004,0.08487651,0,0.7785406,-0.15587844,0,0,0.826407,0.01640075,0.9180257,0,0,-1.440235,0,0.90994716,-0.34573603,-1.018485,0,0.42294335,0.029471308,0,0.07360214,0,0.91272414,-0.14993384,0,0.2475088,0,-0.12321747,-0.702624,-0.51585954,0,0.040851947,-0.7643189,0,-1.1624771,0.45454767,-0.58712065,-0.23676735,-1.0013242,0.046325866,0.44468838,0,1.2829485,-0.24616852,0,-0.36979586,0.4770774,-0.6875371,0.17902261,0.8968236,0,0,-0.61265284,0.9447513,-0.18528724,0.43021882,1.6837833,0,-0.7873555,1.4070818,0.56777805,0,0.07051477,-0.50434756,1.0121497,0.01643515,-0.11342573,0,0.588449,0.48307773,0.25384584,-1.145752,-1.0272055,1.3238206,0,0,-0.4635459,-1.8839389,0.03285509,0.7581955,-0.22096714,0,0.5173239,-1.4328173,-0.59878516,0.26283142,0,-0.5167124,0.64512014,0.84191346,0.15956524,-0.48031658,-0.6435099,0,0.13962185,0,-0.8681065,-1.891108,0,-1.5308685,0,0.43410024,0,0.018552143,0,0.43906435,-0.19231,0.6853634,0.79747224,0,0.41299814,0,0,1.0156173,0,0,0.39790127,0,-0.41852,0,0.39756387,-0.7800327,-0.45882985,-0.72005576,-1.0956364,0.70517915,1.1143383,0,1.0917757,-0.27617705,-0.08992353,0,0,-0.59719926,0.46191543,0,0,1.2584074,-0.40889353,1.6399246,0,0,0.13510887,0,0,-0.9559994,0,0,0,0.35153204,0,-1.1291882,0,1.2069248,-0.6792043,-0.08574723,1.5888082,0,0.14521573,-0.037564047,0.37660673,0.211914,-0.32940018,-0.9260617,0.41307142,-0.41792664,-1.0220866
"(113.78317612389604, 22.72112859582333)",0.9682082,0.20591275,-0.25379524,0,0,-0.25318477,-0.27311617,0.8534225,0,1.1229756,-0.51257396,0,-0.5639644,-0.5289944,0.72279793,0.038484287,0,-0.17989172,-1.7706374,0,0.72437817,0.5559248,0.13563168,-0.64693975,0.5317472,0,0,0,-0.3854752,-0.70770985,0.655728,-0.08711847,-0.5493979,-0.35035035,-0.83418524,0.5923122,0,0.9754172,-0.3674701,0,0.44727346,0,0,0,-0.0740205,0,0,0,-0.048207253,0,0.07286162,-0.122170195,-0.1749927,0,0,0,0,1.2899374,-0.9201265,0,0.19071156,1.9670726,-0.36190236,0,0,-0.17166357,-0.5297378,0,1.1913875,-0.7477025,0,0,0.7945054,0.7975683,0.37858415,0,0,-1.1580408,0,0.5398286,-3.2564625e-05,-0.57504296,0,0.29579097,0.3595111,0,0.033031825,0,0.07453786,0.8249927,0,0.65175116,0,-0.3407728,-0.81946915,0.008746836,0,-0.28944787,-1.0664277,0,-1.006981,0.4477175,-0.35839,0.06059925,-0.031104635,0.87773955,0.64228654,0,0.8306767,0.2011069,0,-0.28636202,-0.15958263,-0.4438475,-0.78552306,0.14939104,0,0,-1.1287774,1.1007677,0.14330703,-0.30873743,1.9289131,0,-0.958631,1.1806048,0.5370973,0,0.08077896,-0.09620299,1.4281504,-0.32910636,-0.021497699,0,0.11579105,-0.047827173,-0.12338641,-0.9323242,-0.43966702,0.46028748,0,0,0.46658635,-2.1533198,-0.4368582,1.163205,-0.4366735,0,0.42953148,-1.2609293,-0.53097063,-0.35975373,0,-1.4357004,0.56544363,1.1183027,0.49785128,-0.5472872,-0.5279251,0,0.5969144,0,-0.21084677,-1.9383532,0,-1.3873975,0,0.43886477,0,0.6134927,0,0.0814091,0.04560531,0.88411665,0.73350877,0,2.118391,0,0,0.019816663,0,0,-0.36985233,0,0.1353007,0,0.038934283,-0.91624856,-0.03981102,-1.2963234,-1.6281534,1.0608116,0.31958225,0,-0.4852876,-0.31737405,0.47746298,0,0,0.4535794,0.5954127,0,0,1.1896648,-0.8694998,1.8280022,0,0,0.44615316,0,0,-0.4221078,0,0,0,0.507436,0,-0.93601805,0,1.1543535,-0.2088771,-0.006566394,0.8032936,0,0.16118863,0.07727229,0.5584451,-0.049298972,-0.30907872,-0.5052654,0.2269232,-0.9462755,-0.3460904
"(113.787202884941, 22.70781840778824)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.79422761138744, 22.68182655677045)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.79435539359328, 22.68217113485571)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.7959787892288, 22.67718626497924)",0.45882332,-0.1502113,-0.3005713,0,0,-0.5305363,-0.67407775,0.51747656,0,-0.9129797,0.3421758,0,-0.28550646,0.5534625,-0.048635807,-0.37909672,0,0.06543751,-1.6110301,0,0.88512504,-0.48567703,0.18825269,0.715083,0.52389234,0,0,0,-0.347959,-0.044455644,0.84441715,-0.6768192,-0.8617743,-0.055348687,-1.1292751,-0.7263235,0,0.46476385,0.6131375,0,0.10636627,0,0,0,-1.352434,0,0,0,0.054797962,0,-0.22959056,0.47220892,-0.04556736,0,0,0,0,0.4651233,0.5670467,0,0.47538036,1.4049038,-1.0381424,0,0,0.49232027,-0.110825695,0,0.816892,-0.3592418,0,0,1.231858,0.7819975,0.7304866,0,0,-1.6154416,0,1.1259779,0.0033334624,-1.6329789,0,0.027459204,0.4479884,0,0.553032,0,0.97520775,-0.11826005,0,0.8386736,0,0.6370006,-0.009369584,-0.91946846,0,-0.22369087,-0.5377474,0,-1.1386235,0.16102523,-0.3250495,-0.24139652,-0.84308654,-0.33094978,-0.073124886,0,0.8935629,-0.09252633,0,-0.8586156,0.7657643,-0.8618158,0.5979633,0.47283316,0,0,-0.90868837,0.67780304,-0.8700276,0.11442719,0.98847866,0,-0.29221252,1.4003295,0.7069711,0,-0.40180916,-0.48048228,0.66815805,-0.8250387,-0.60348195,0,0.2601452,0.32750627,-0.13101834,-1.1738563,-0.7522909,1.5561419,0,0,0.16869672,-1.5092648,0.25748414,0.5531819,-0.43002224,0,0.13012034,-1.4987394,-0.84148175,-0.5262321,0,0.50782704,0.8067155,0.4177943,0.4574044,0.10478528,-0.5126087,0,0.28687337,0,-0.5180139,-1.6052259,0,-1.2666035,0,-0.33152172,0,-0.10059358,0,1.1559508,-0.20953171,0.662057,0.14100829,0,0.3044518,0,0,0.7250814,0,0,0.56511086,0,-0.53386974,0,0.06433664,-0.50725704,-0.77390844,-1.3797663,-1.1354684,0.07037291,1.1064155,0,0.37787253,-0.13416716,-0.91846585,0,0,-0.44806528,-0.08489302,0,0,1.1693356,-0.45271322,1.264076,0,0,0.5079517,0,0,-0.5149897,0,0,0,-0.55318135,0,-1.2636396,0,1.2870656,-0.6551764,0.6344625,2.4999557,0,0.25269362,0.29395604,-0.26155472,-0.36565232,-0.33724076,-0.22253278,-0.021767791,-0.45968473,-0.6726727
"(113.79698184192694, 22.67294814226082)",0.5312146,-0.31652334,-0.53543216,0,0,-0.683375,-0.60575056,0.7542204,0,-1.3620273,0.8426465,0,-0.28753924,0.64821064,-0.19187026,-0.30310223,0,0.25224194,-1.4160287,0,0.6528552,-0.46652502,0.06548508,0.729372,0.5644943,0,0,0,-0.31388313,-0.30574843,1.1635752,-0.5709953,-0.76547825,0.25387615,-0.94871694,-0.8171675,0,0.27888608,0.7879947,0,0.059128843,0,0,0,-1.5908225,0,0,0,0.20047945,0,-0.043410435,0.3483541,-0.41114995,0,0,0,0,0.33881634,0.4981033,0,0.6009218,0.9388321,-1.2918334,0,0,0.6450164,-0.37744224,0,0.7534864,-0.34457058,0,0,1.3671485,0.9793548,0.79635686,0,0,-1.3400633,0,1.0589648,0.3477995,-1.8654376,0,-0.18439957,0.3505693,0,0.65024704,0,1.0148468,-0.05694928,0,0.9935259,0,0.7007296,0.59043604,-1.1521021,0,-0.5247291,-0.2843658,0,-0.8261672,0.1680356,-0.29326633,0.0587242,-0.6962922,-0.49831653,-0.22231784,0,0.70529807,-0.18669863,0,-0.74827623,1.0061641,-0.6317461,0.6995508,0.20049697,0,0,-1.1030647,0.5164217,-1.0217774,0.07033968,0.39675015,0,-0.028874848,1.2294283,0.82950175,0,-0.7196809,-0.5026344,0.38387185,-0.9407144,-0.5516418,0,0.0339353,0.14404422,-0.055494707,-0.73192334,-0.51357335,1.5586708,0,0,0.6521544,-1.1070845,0.35120854,0.33468416,-0.19143823,0,-0.06403843,-1.261092,-0.6191748,-0.85604334,0,0.77929944,0.7356024,-0.10433983,0.5295732,0.47496766,-0.32407728,0,0.3302733,0,-0.16690375,-1.2959913,0,-0.7708943,0,-0.5985188,0,-0.019836143,0,1.3828768,-0.21168298,0.4916784,-0.24493724,0,0.15325853,0,0,0.5844506,0,0,0.3580318,0,-0.7990442,0,0.13661185,-0.35480514,-0.9434266,-1.5969607,-1.3152921,-0.13011126,1.1175247,0,0.15610439,-0.036212623,-1.4797825,0,0,-0.51637065,-0.29602456,0,0,0.9212313,-0.4481418,1.1536534,0,0,0.6926762,0,0,-0.22208956,0,0,0,-0.8234845,0,-1.1904379,0,1.1159515,-0.5266312,1.1067042,2.4646757,0,0.42083246,0.4173017,-0.73466396,-0.7775591,-0.30402306,0.054240614,-0.13939852,-0.07919744,-0.6005532
"(113.79736131602444, 22.672106361667964)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
