coords,"(113.8217538301683, 22.695054564128984)","(113.83905075110482, 22.730816919442955)","(113.8459909539568, 22.689497398249955)","(113.85418693317412, 22.721476129853944)","(113.81881523600764, 22.75144080468773)","(113.83835039645068, 22.707972199031104)","(113.80358238132692, 22.739170813741627)","(113.82100038874977, 22.740267612530623)","(113.85420966157784, 22.721756320117827)","(113.8261265859758, 22.741630755564017)","(113.82097160130566, 22.739409765832928)","(113.83870410437312, 22.70824089416124)","(113.83894509218725, 22.70832643578929)","(113.8029947451216, 22.73963526627557)","(113.8255877501778, 22.740467189229683)","(114.1837141008218, 22.66024665154704)","(113.79903465356554, 22.732266721797096)","(113.82280721993736, 22.738282221397373)","(113.81863889729132, 22.73721560270781)","(113.82547043203664, 22.732072572369457)","(113.82220467282325, 22.739224404005306)","(113.851816448767, 22.72177247312277)","(113.81898810539418, 22.745659923583755)","(113.85745294867267, 22.71310471792549)","(113.83890370760425, 22.73001989242725)","(113.8838172397166, 22.662505211818544)","(113.8528141635792, 22.72113514742812)","(113.85058656048749, 22.72283290030872)","(113.79424661745055, 22.72316396036463)","(113.8524580863241, 22.73201123763933)","(113.82230477836409, 22.73771273680605)","(113.85749152080878, 22.710729530328926)","(113.8394620811632, 22.730274593961543)","(113.83320035508328, 22.710288669248776)","(114.14517823399432, 22.616764652588543)","(113.84108354467917, 22.728718442519604)","(113.84911633552213, 22.77376297981668)","(113.7996173603976, 22.69845713462011)","(113.8124756211018, 22.73911401553136)","(113.82033985085772, 22.75034048564345)","(113.84029561028052, 22.71432752106541)","(113.84947740757984, 22.718596762893288)","(113.85226804355432, 22.72204484887792)","(113.82669465097948, 22.74182474386325)","(113.85404967402069, 22.721980682017072)","(113.83768968199222, 22.70836520891622)","(113.81900272893492, 22.751327231587776)","(113.8203581120728, 22.73916049552549)","(113.84030171372964, 22.728874432606496)","(113.81579179111068, 22.721538459635905)","(113.83611068481646, 22.706393785175827)","(113.8517227144006, 22.722070198258628)","(113.80031180705096, 22.76262130078557)","(113.78336406757376, 22.73969414081475)","(114.08051194846888, 22.53316040238564)","(113.85762261990378, 22.710948677728616)","(113.8216525636664, 22.75958277862884)","(113.8237435977103, 22.740701224434723)","(113.81732938826264, 22.736630019963336)","(113.81941817365755, 22.737761119629813)","(113.81420263992884, 22.746863912810795)","(113.8411236937814, 22.72991862960373)","(113.8299294673386, 22.701542714887747)","(113.83767636678552, 22.729246298982783)","(113.83995382601772, 22.730455134940343)","(113.82319826296768, 22.73999319176838)","(113.8405404496809, 22.72906866121977)","(113.85010216984654, 22.718924927090395)","(113.79122886797629, 22.732434904147123)","(113.81639144939597, 22.76952145347482)","(113.8142912476205, 22.73297791594709)","(113.80172946787565, 22.731842459450743)","(113.80909905139586, 22.716522988011764)","(113.81990470576372, 22.740949654796253)","(113.85174112803664, 22.7221156818462)","(113.85407745160286, 22.722006394622472)","(114.12305939681768, 22.547141131075225)","(113.85831990618252, 22.72794848568245)","(113.83986511037672, 22.730093065006383)","(113.84778332221902, 22.717390210040808)","(113.80530165534152, 22.74054075708143)","(113.85687029937056, 22.728804330172714)","(113.81575315058524, 22.733103969816504)","(113.82925756712037, 22.7273109606338)","(113.85713487648223, 22.72829516006561)","(113.84253291323068, 22.71178183772002)","(113.7921152074802, 22.68317386986728)","(113.84009559121066, 22.72979014450255)","(113.83917493399537, 22.73007038142492)","(113.91943272122889, 22.54585818718256)",no action
"(113.78336406757376, 22.73969414081475)",-0.066260286,0.29370588,0.38236994,0,0.6373973,1.1694752,0.8421994,0.5953791,0,0.99628514,0,0.14674214,0.74002856,0,-0.45073152,0,-0.5942437,0.067717485,-0.32252163,0,0,0.027114095,0,-0.34863892,0,0,1.6897445,0,0,-0.47046852,1.0817506,0,-0.11988318,0,-0.55858696,-0.39923787,-0.74327,0.06073463,0.7391032,0,-0.41778517,0.39716822,0.21495092,-0.5496481,0,1.4012737,0.24879254,0,0.07130428,-2.5556433,0.51503426,-0.1783843,-0.10738804,-0.40660775,-0.34143782,-0.8667285,0,0,0.95506185,0,-0.47218335,0.73558617,0,0,0,0,-1.1588898,0,0.8221188,0.9401084,-1.053647,-0.5463508,-0.970819,-0.14246936,1.492212,0,-1.1708915,-0.53452224,-0.6549322,-0.14545584,-0.21294834,-0.5601127,0,0.55426854,0,0,0,0,0,0,-0.11220762
"(113.79122886797629, 22.732434904147123)",-0.6017077,-0.42072245,-0.09034009,0,0.7209317,0.30733037,1.2413843,0.16709556,0,1.0815611,0,-0.14705639,0.51465046,0,-0.11455694,0,-0.5712591,-0.25240853,-0.13787821,0,0,0.028541503,0,0.0035422482,0,0,1.0699036,0,0,-0.13991486,0.4251041,0,-0.2657198,0,-0.21771684,-0.5308366,-0.95782083,-0.52185524,-0.09294093,0,-0.49856424,0.89198315,0.66924417,-0.52761304,0,0.61134946,0.22454287,0,-0.25542346,-1.5689641,0.06926606,-0.19630954,-0.3326894,-0.32748866,-0.8286731,-0.80910826,0,0,0.46604294,0,-0.09233644,0.9188401,0,0,0,0,-0.8250632,0,0.81449735,0.72911096,-1.2507386,-0.4245937,-0.23158734,-0.4772962,0.7071211,0,-1.4991391,-0.8610079,-0.20210515,-0.42913145,-0.35134628,-0.72620964,0,0.10316947,0,0,0,0,0,0,0.02986084
"(113.7921152074802, 22.68317386986728)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.79424661745055, 22.72316396036463)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.79903465356554, 22.732266721797096)",-0.6018849,-0.4495612,-0.09652454,0,0.73112184,0.16552259,1.1603081,0.08935918,0,0.9811103,0,-0.19438438,0.63413227,0,0.071033046,0,-0.73208886,-0.38548458,-0.20468234,0,0,0.06946823,0,0.097553104,0,0,0.80526555,0,0,-0.14650945,0.2133548,0,-0.3627243,0,-0.30611837,-0.4859114,-0.94469,-0.50638545,-0.32493755,0,-0.44962364,1.0616205,0.5290484,-0.6952598,0,0.40962526,0.123446405,0,-0.13209687,-1.0617335,-0.105698206,-0.24852136,-0.3560302,-0.4055811,-0.8637503,-0.7606619,0,0,0.34951517,0,-0.13852903,0.87881815,0,0,0,0,-0.821446,0,0.64107597,0.79605764,-1.458454,-0.4333655,0.002432745,-0.45603526,0.5556121,0,-1.6259812,-1.0848511,0.15422319,-0.33070827,-0.4784661,-0.7534307,0,-0.16775149,0,0,0,0,0,0,0.02475357
"(113.7996173603976, 22.69845713462011)",-0.31085336,-0.042799454,0.022049444,0,0.64313525,0.68149513,1.1217142,0.3153975,0,0.99554914,0,-0.103122376,0.8945123,0,0.10773328,0,-0.94219154,-0.32072327,-0.25778803,0,0,0.12246204,0,-0.1294142,0,0,1.047716,0,0,-0.4377293,0.42803448,0,-0.44012204,0,-0.43613565,-0.3258688,-0.6038043,-0.27352923,0.09080056,0,-0.43715227,0.7946748,0.27823955,-0.6388704,0,0.8988904,0.3737141,0,-0.029785952,-1.7442147,0.16537353,-0.15731317,-0.37781414,-0.28928018,-0.7651671,-0.7527768,0,0,0.5933593,0,-0.37546244,0.80525595,0,0,0,0,-0.86294824,0,0.84656847,0.96387607,-1.2629561,-0.46832108,-0.44355762,-0.55161345,1.0741973,0,-1.4420084,-0.8595878,-0.10017773,-0.30392593,-0.500681,-0.5518345,0,-0.014508225,0,0,0,0,0,0,0.011550367
"(113.80031180705096, 22.76262130078557)",-0.7912331,-0.8302296,-0.47894,0,0.7134491,-0.3059445,1.2895191,-0.10634343,0,0.93841064,0,-0.30760005,0.28365585,0,0.2244554,0,-0.56384116,-0.5606738,0.016940285,0,0,0.07984335,0,0.15550129,0,0,0.55301183,0,0,0.023569059,-0.13586746,0,-0.44798583,0,0.16272381,-0.52425396,-0.8689477,-0.9327776,-0.57022536,0,-0.39654028,1.100066,0.9164574,-0.45295683,0,0.041886654,0.15631461,0,-0.39114168,-0.76810527,-0.26777324,-0.07372391,-0.4860066,-0.18923941,-1.1111765,-0.7794475,0,0,0.15418307,0,0.15443012,0.93317056,0,0,0,0,-0.45345423,0,0.5881624,0.6142049,-1.1580087,-0.24371818,0.33222654,-0.6357279,0.090553656,0,-1.550412,-1.028372,0.26493773,-0.62266517,-0.46334282,-0.6664771,0,-0.22227755,0,0,0,0,0,0,0.14568311
"(113.80172946787565, 22.731842459450743)",-0.5653143,-0.40125722,0.06584573,0,0.6113407,0.33666718,1.1302621,0.24497394,0,0.9333258,0,-0.1040302,0.5969548,0,-0.026218371,0,-0.6045516,-0.23239776,-0.29048318,0,0,0.03044224,0,0.1978014,0,0,0.88252217,0,0,-0.21624035,0.3928779,0,-0.35375315,0,-0.45413005,-0.50920117,-1.0253688,-0.2154453,-0.30465257,0,-0.45953858,0.8360226,0.620898,-0.61183614,0,0.51204115,0.28318107,0,-0.028117454,-1.1706207,-0.055276804,-0.3071322,-0.28005672,-0.4108059,-0.7339511,-0.69366294,0,0,0.330649,0,-0.04402288,0.8379659,0,0,0,0,-0.84382755,0,0.6902647,0.57779163,-1.346852,-0.49427146,-0.11466245,-0.27577993,0.5181143,0,-1.4724547,-0.9757854,0.093907036,-0.31877762,-0.36878106,-0.77240276,0,-0.03247218,0,0,0,0,0,0,0.047877163
"(113.8029947451216, 22.73963526627557)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.80358238132692, 22.739170813741627)",-0.5461664,-0.45939133,-0.12492077,0,0.7050022,0.14989711,1.0969644,0.042186096,0,0.85624635,0,-0.18424168,0.7082145,0,0.26715755,0,-0.8206837,-0.48423532,-0.16750412,0,0,0.13104586,0,0.19606633,0,0,0.6492033,0,0,-0.22254576,0.11236861,0,-0.4139138,0,-0.4257801,-0.41427237,-0.86902624,-0.46878237,-0.46532574,0,-0.43908578,1.1217262,0.423309,-0.72808796,0,0.28400603,0.090416625,0,-0.009099117,-0.77584386,-0.20352498,-0.25704938,-0.36672688,-0.34700912,-0.8878005,-0.735817,0,0,0.31830224,0,-0.1703754,0.78753656,0,0,0,0,-0.7693097,0,0.56247437,0.8117623,-1.500159,-0.43386477,0.110155016,-0.47478464,0.44276556,0,-1.5911773,-1.1632371,0.29320303,-0.24551456,-0.48955837,-0.71604776,0,-0.3279243,0,0,0,0,0,0,0.01973012
"(113.80530165534152, 22.74054075708143)",-0.45002007,-0.37238106,-0.13133067,0,0.7454624,0.2740017,1.1051484,0.04161431,0,0.83816063,0,-0.17466083,0.7954861,0,0.3677485,0,-0.89915067,-0.5576034,-0.10106884,0,0,0.1948077,0,0.11338015,0,0,0.7594655,0,0,-0.32043925,0.16382903,0,-0.39797506,0,-0.48101297,-0.37094334,-0.78749317,-0.49493778,-0.3717849,0,-0.4196995,1.1028658,0.3852133,-0.7264895,0,0.39320022,0.09846163,0,0.028680334,-0.9170623,-0.15711126,-0.20539069,-0.37126097,-0.29182124,-0.92867476,-0.80975884,0,0,0.43497655,0,-0.22189826,0.79251677,0,0,0,0,-0.7680957,0,0.55898744,0.9061309,-1.4712502,-0.4501633,0.035896134,-0.5034662,0.58019704,0,-1.5941991,-1.18947,0.22941105,-0.19894096,-0.4662671,-0.70734537,0,-0.2922176,0,0,0,0,0,0,0.011578083
"(113.80909905139586, 22.716522988011764)",-0.39734188,-0.09506567,-0.02983032,0,0.5370658,0.32181466,1.0219417,0.33175492,0,0.9626978,0,-0.07189995,0.81656384,0,0.048971236,0,-0.8297393,-0.35623196,-0.34557003,0,0,0.15275595,0,-0.044400495,0,0,0.83277696,0,0,-0.36136752,0.30381915,0,-0.62465394,0,-0.4090446,-0.3821772,-0.836122,-0.32844037,-0.19072537,0,-0.4252022,0.88320386,0.5274954,-0.78139883,0,0.7069541,0.19542497,0,0.16136998,-1.3036056,-0.14859217,-0.102905676,-0.3509709,-0.48518842,-0.842328,-0.8231515,0,0,0.34480983,0,-0.23739627,0.89206904,0,0,0,0,-0.91474783,0,0.70711106,0.90021986,-1.3861122,-0.4064445,-0.13916089,-0.47122493,0.68733543,0,-1.6458244,-0.97298706,0.32458782,-0.47770298,-0.4876308,-0.5771012,0,-0.10928657,0,0,0,0,0,0,0.072318226
