coords,"(113.8217538301683, 22.695054564128984)","(113.83905075110482, 22.730816919442955)","(113.8459909539568, 22.689497398249955)","(113.85418693317412, 22.721476129853944)","(113.81881523600764, 22.75144080468773)","(113.83835039645068, 22.707972199031104)","(113.80358238132692, 22.739170813741627)","(113.82100038874977, 22.740267612530623)","(113.85420966157784, 22.721756320117827)","(113.8261265859758, 22.741630755564017)","(113.82097160130566, 22.739409765832928)","(113.83870410437312, 22.70824089416124)","(113.83894509218725, 22.70832643578929)","(113.8029947451216, 22.73963526627557)","(113.8255877501778, 22.740467189229683)","(114.1837141008218, 22.66024665154704)","(113.79903465356554, 22.732266721797096)","(113.82280721993736, 22.738282221397373)","(113.81863889729132, 22.73721560270781)","(113.82547043203664, 22.732072572369457)","(113.82220467282325, 22.739224404005306)","(113.851816448767, 22.72177247312277)","(113.81898810539418, 22.745659923583755)","(113.85745294867267, 22.71310471792549)","(113.83890370760425, 22.73001989242725)","(113.8838172397166, 22.662505211818544)","(113.8528141635792, 22.72113514742812)","(113.85058656048749, 22.72283290030872)","(113.79424661745055, 22.72316396036463)","(113.8524580863241, 22.73201123763933)","(113.82230477836409, 22.73771273680605)","(113.85749152080878, 22.710729530328926)","(113.8394620811632, 22.730274593961543)","(113.83320035508328, 22.710288669248776)","(114.14517823399432, 22.616764652588543)","(113.84108354467917, 22.728718442519604)","(113.84911633552213, 22.77376297981668)","(113.7996173603976, 22.69845713462011)","(113.8124756211018, 22.73911401553136)","(113.82033985085772, 22.75034048564345)","(113.84029561028052, 22.71432752106541)","(113.84947740757984, 22.718596762893288)","(113.85226804355432, 22.72204484887792)","(113.82669465097948, 22.74182474386325)","(113.85404967402069, 22.721980682017072)","(113.83768968199222, 22.70836520891622)","(113.81900272893492, 22.751327231587776)","(113.8203581120728, 22.73916049552549)","(113.84030171372964, 22.728874432606496)","(113.81579179111068, 22.721538459635905)","(113.83611068481646, 22.706393785175827)","(113.8517227144006, 22.722070198258628)","(113.80031180705096, 22.76262130078557)","(113.78336406757376, 22.73969414081475)","(114.08051194846888, 22.53316040238564)","(113.85762261990378, 22.710948677728616)","(113.8216525636664, 22.75958277862884)","(113.8237435977103, 22.740701224434723)","(113.81732938826264, 22.736630019963336)","(113.81941817365755, 22.737761119629813)","(113.81420263992884, 22.746863912810795)","(113.8411236937814, 22.72991862960373)","(113.8299294673386, 22.701542714887747)","(113.83767636678552, 22.729246298982783)","(113.83995382601772, 22.730455134940343)","(113.82319826296768, 22.73999319176838)","(113.8405404496809, 22.72906866121977)","(113.85010216984654, 22.718924927090395)","(113.79122886797629, 22.732434904147123)","(113.81639144939597, 22.76952145347482)","(113.8142912476205, 22.73297791594709)","(113.80172946787565, 22.731842459450743)","(113.80909905139586, 22.716522988011764)","(113.81990470576372, 22.740949654796253)","(113.85174112803664, 22.7221156818462)","(113.85407745160286, 22.722006394622472)","(114.12305939681768, 22.547141131075225)","(113.85831990618252, 22.72794848568245)","(113.83986511037672, 22.730093065006383)","(113.84778332221902, 22.717390210040808)","(113.80530165534152, 22.74054075708143)","(113.85687029937056, 22.728804330172714)","(113.81575315058524, 22.733103969816504)","(113.82925756712037, 22.7273109606338)","(113.85713487648223, 22.72829516006561)","(113.84253291323068, 22.71178183772002)","(113.7921152074802, 22.68317386986728)","(113.84009559121066, 22.72979014450255)","(113.83917493399537, 22.73007038142492)","(113.91943272122889, 22.54585818718256)",no action
"(113.78336406757376, 22.73969414081475)",-0.15200968,0.2942615,0.4328155,0,0.47396323,1.2041872,0.7222635,0.6670588,0,0.8455374,0,0.13103186,0.54715055,0,-0.56087804,0,-0.46506333,0.079564914,-0.33537373,0,0,0.03665232,0,-0.23691404,0.51142645,0,1.5324807,0,0,-0.51163167,1.0882039,0,-0.014441556,0,-0.59891945,-0.31203198,-0.71010995,0.14504066,0.70878714,0,-0.26475224,0.35267484,0.2387398,-0.43814537,0,1.2805845,0.29979095,0,0.28586215,-2.2548163,0.52905333,-0.4469384,-0.121056795,-0.44093865,-0.21770705,-0.7184318,0,-0.94000477,0.8264546,0,-0.36019686,0.5800157,0,0,0,0,-1.0876994,0.09973985,0.7474272,0.7720658,-1.0279161,-0.5027313,-0.91545135,0.026881743,1.2994493,0,-0.9591817,-0.4437374,-0.62143725,-0.20234585,-0.14282504,-0.7231044,0,0.45471615,0,0.6412067,0.37953445,0,0,0.06359686,-0.120675385
"(113.79122886797629, 22.732434904147123)",-0.6705652,-0.403242,0.011142924,0,0.5368624,0.4817774,1.0371472,0.26481098,0,0.8580972,0,-0.14362903,0.29375485,0,-0.31633142,0,-0.38205218,-0.16654953,-0.19197258,0,0,-0.03260337,0,0.16595879,-0.05601104,0,0.9215137,0,0,-0.19323495,0.4804414,0,-0.11880933,0,-0.25255957,-0.40052772,-0.9029837,-0.28024846,-0.019149806,0,-0.32259247,0.8052261,0.5575384,-0.41465157,0,0.4715762,0.24133646,0,-0.060362037,-1.2584834,0.12584372,-0.5976717,-0.38288456,-0.35849395,-0.5958732,-0.5526971,0,-0.6463355,0.37562332,0,0.024584116,0.65117,0,0,0,0,-0.7472924,-0.07001279,0.74600816,0.5051912,-1.1880813,-0.37015587,-0.21577138,-0.23852453,0.5759777,0,-1.1817232,-0.70251507,-0.26549625,-0.41557598,-0.30591202,-0.8422575,0,-0.062481403,0,0.25038996,0.13241057,0,0,-0.10066038,0.016022218
"(113.7921152074802, 22.68317386986728)",-0.508906,-0.1980607,0.05598554,0,0.38836184,0.86252,0.8630598,0.5440042,0,0.73279846,0,-0.04407738,0.49838376,0,-0.3034083,0,-0.67927164,-0.14786832,-0.47003824,0,0,-0.07184077,0,0.24804538,0.2288435,0,0.7114789,0,0,-0.50701755,0.44650555,0,-0.4281372,0,-0.34429643,-0.16408455,-0.45669731,0.12422276,0.15106098,0,-0.3001728,0.73405695,0.09184463,-0.4242907,0,0.5716376,0.4814186,0,0.14701188,-1.4422334,0.2044951,-0.7624988,-0.51800257,-0.24703425,-0.3628733,-0.39371613,0,-0.629636,0.44576496,0,-0.3138555,0.37804645,0,0,0,0,-0.7594028,-0.034891605,0.8740616,0.6463267,-1.2039915,-0.38022116,-0.43651447,-0.36707276,0.7881523,0,-0.87008464,-0.52306885,-0.19578964,-0.39942837,-0.60206765,-0.543947,0,-0.3190298,0,0.2295077,0.09516762,0,0,0.22680542,0.002525745
"(113.79424661745055, 22.72316396036463)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.79903465356554, 22.732266721797096)",-0.68703794,-0.45550236,-0.001990825,0,0.6139571,0.3933275,0.97800535,0.19739367,0,0.78794646,0,-0.17884977,0.36381823,0,-0.20649387,0,-0.52836925,-0.3059146,-0.23844908,0,0,-0.009629109,0,0.2281422,-0.17100254,0,0.761697,0,0,-0.2022412,0.3414318,0,-0.14235017,0,-0.33335385,-0.36384314,-0.87501395,-0.31474668,-0.16510577,0,-0.2801896,0.9953544,0.40889952,-0.5261113,0,0.29411158,0.13634081,0,0.031775508,-0.9240865,0.02797905,-0.6912579,-0.38816124,-0.4118219,-0.5777089,-0.58090764,0,-0.42267302,0.3661925,0,-0.09090713,0.608696,0,0,0,0,-0.7802764,-0.11287756,0.5709442,0.627842,-1.4293425,-0.40175134,-0.061115086,-0.22451824,0.5035734,0,-1.2589319,-0.9019484,-0.041257594,-0.31968802,-0.42285323,-0.91521543,0,-0.26011094,0,0.3118763,0.13805853,0,0,-0.15685391,-0.03533435
"(113.7996173603976, 22.69845713462011)",-0.41660506,-0.098823644,0.10900217,0,0.50890833,0.8768059,0.899482,0.4540898,0,0.77942145,0,-0.06572333,0.59184694,0,-0.18335775,0,-0.72863615,-0.23008125,-0.3351466,0,0,0.032122146,0,0.07387584,0.17556952,0,0.9527795,0,0,-0.49762502,0.5321587,0,-0.2881912,0,-0.4383053,-0.22372264,-0.5633307,-0.04118266,0.20493892,0,-0.27001578,0.7549758,0.16602708,-0.49931207,0,0.73243284,0.36630192,0,0.17364447,-1.5248699,0.23969172,-0.6135155,-0.42274746,-0.30598688,-0.47986564,-0.5606699,0,-0.5689656,0.5663776,0,-0.3072254,0.5150664,0,0,0,0,-0.8360869,0.07913255,0.7616805,0.7773316,-1.253152,-0.42745012,-0.45709136,-0.2934879,0.9264039,0,-1.0801687,-0.6949611,-0.21090972,-0.29945606,-0.47678638,-0.68385017,0,-0.1604146,0,0.3696918,0.17579207,0,0,0.081605725,-0.03221205
"(113.80031180705096, 22.76262130078557)",-0.87845767,-0.828362,-0.3321284,0,0.5883776,-0.014035684,1.1026253,0.04202281,0,0.7765769,0,-0.25656816,-0.0021361038,0,-0.091563165,0,-0.34712812,-0.41966447,-0.037409667,0,0,-0.00039512012,0,0.29951242,-0.3546353,0,0.60921437,0,0,-0.035155352,0.05505555,0,-0.2350938,0,0.13454083,-0.45350415,-0.87485224,-0.7066858,-0.3775265,0,-0.23707396,1.0226827,0.8336674,-0.31415975,0,0.01306588,0.1692054,0,-0.18658808,-0.7193551,-0.10602331,-0.502133,-0.5005112,-0.2155724,-0.8455265,-0.60728747,0,-0.3699182,0.19068906,0,0.2385247,0.68551123,0,0,0,0,-0.4745799,-0.054549918,0.5543326,0.44879082,-1.1268344,-0.2210622,0.22673765,-0.3540985,0.058029305,0,-1.2329319,-0.85069793,0.06292793,-0.61673003,-0.3838636,-0.83797735,0,-0.27520198,0,-0.024106123,-0.041014075,0,0,-0.23768413,0.09369312
"(113.80172946787565, 22.731842459450743)",-0.59758735,-0.38681886,0.1568098,0,0.45651218,0.58102673,0.9002385,0.3512656,0,0.69372,0,-0.07160582,0.3358421,0,-0.28728625,0,-0.3556657,-0.12037322,-0.3096134,0,0,-0.05083666,0,0.34649926,0.024071079,0,0.83270437,0,0,-0.2771889,0.52929693,0,-0.16254582,0,-0.46992257,-0.37654477,-0.96639824,0.045184232,-0.12712482,0,-0.2949318,0.7156628,0.4849622,-0.4655299,0,0.39879373,0.2585238,0,0.12462598,-0.9943495,0.03926419,-0.71314347,-0.32942972,-0.4076691,-0.4575161,-0.46726555,0,-0.51291907,0.32626918,0,0.061919257,0.5386304,0,0,0,0,-0.7741945,-0.25288907,0.6292602,0.35726,-1.2321886,-0.4363441,-0.15770653,-0.020193432,0.44589046,0,-1.0923009,-0.7639052,-0.10537091,-0.27528375,-0.29369316,-0.8494222,0,-0.14233658,0,0.35182863,0.2212427,0,0,-0.07677492,0.024397014
"(113.8029947451216, 22.73963526627557)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.80358238132692, 22.739170813741627)",-0.6577919,-0.48076817,-0.019248396,0,0.5854878,0.38912272,0.8977287,0.16793926,0,0.66065645,0,-0.16804291,0.4082943,0,-0.04757927,0,-0.59306043,-0.3832188,-0.21599813,0,0,0.031748693,0,0.35326487,-0.21029286,0,0.6064126,0,0,-0.2723951,0.25417218,0,-0.18230301,0,-0.44963852,-0.30294925,-0.8192651,-0.2564021,-0.30183473,0,-0.26574048,1.0631627,0.30324268,-0.5523567,0,0.15853149,0.0964265,0,0.16061842,-0.6206728,-0.06160457,-0.7373831,-0.39727375,-0.36170515,-0.58166784,-0.54127455,0,-0.21895187,0.33477184,0,-0.11784601,0.5047177,0,0,0,0,-0.7433418,-0.14828566,0.49078718,0.62750965,-1.4837382,-0.40385148,0.04211533,-0.2158927,0.38214478,0,-1.2089434,-0.9731117,0.09216356,-0.2309687,-0.43309647,-0.8962063,0,-0.42589575,0,0.3394979,0.12496303,0,0,-0.16148528,-0.048276663
