coords,"(113.8217538301683, 22.695054564128984)","(113.83905075110482, 22.730816919442955)","(113.8459909539568, 22.689497398249955)","(113.85418693317412, 22.721476129853944)","(113.81881523600764, 22.75144080468773)","(113.83835039645068, 22.707972199031104)","(113.80358238132692, 22.739170813741627)","(113.82100038874977, 22.740267612530623)","(113.85420966157784, 22.721756320117827)","(113.8261265859758, 22.741630755564017)","(113.82097160130566, 22.739409765832928)","(113.83870410437312, 22.70824089416124)","(113.83894509218725, 22.70832643578929)","(113.8029947451216, 22.73963526627557)","(113.8255877501778, 22.740467189229683)","(114.1837141008218, 22.66024665154704)","(113.79903465356554, 22.732266721797096)","(113.82280721993736, 22.738282221397373)","(113.81863889729132, 22.73721560270781)","(113.82547043203664, 22.732072572369457)","(113.82220467282325, 22.739224404005306)","(113.851816448767, 22.72177247312277)","(113.81898810539418, 22.745659923583755)","(113.85745294867267, 22.71310471792549)","(113.83890370760425, 22.73001989242725)","(113.8838172397166, 22.662505211818544)","(113.8528141635792, 22.72113514742812)","(113.85058656048749, 22.72283290030872)","(113.79424661745055, 22.72316396036463)","(113.8524580863241, 22.73201123763933)","(113.82230477836409, 22.73771273680605)","(113.85749152080878, 22.710729530328926)","(113.8394620811632, 22.730274593961543)","(113.83320035508328, 22.710288669248776)","(114.14517823399432, 22.616764652588543)","(113.84108354467917, 22.728718442519604)","(113.84911633552213, 22.77376297981668)","(113.7996173603976, 22.69845713462011)","(113.8124756211018, 22.73911401553136)","(113.82033985085772, 22.75034048564345)","(113.84029561028052, 22.71432752106541)","(113.84947740757984, 22.718596762893288)","(113.85226804355432, 22.72204484887792)","(113.82669465097948, 22.74182474386325)","(113.85404967402069, 22.721980682017072)","(113.83768968199222, 22.70836520891622)","(113.81900272893492, 22.751327231587776)","(113.8203581120728, 22.73916049552549)","(113.84030171372964, 22.728874432606496)","(113.81579179111068, 22.721538459635905)","(113.83611068481646, 22.706393785175827)","(113.8517227144006, 22.722070198258628)","(113.80031180705096, 22.76262130078557)","(113.78336406757376, 22.73969414081475)","(114.08051194846888, 22.53316040238564)","(113.85762261990378, 22.710948677728616)","(113.8216525636664, 22.75958277862884)","(113.8237435977103, 22.740701224434723)","(113.81732938826264, 22.736630019963336)","(113.81941817365755, 22.737761119629813)","(113.81420263992884, 22.746863912810795)","(113.8411236937814, 22.72991862960373)","(113.8299294673386, 22.701542714887747)","(113.83767636678552, 22.729246298982783)","(113.83995382601772, 22.730455134940343)","(113.82319826296768, 22.73999319176838)","(113.8405404496809, 22.72906866121977)","(113.85010216984654, 22.718924927090395)","(113.79122886797629, 22.732434904147123)","(113.81639144939597, 22.76952145347482)","(113.8142912476205, 22.73297791594709)","(113.80172946787565, 22.731842459450743)","(113.80909905139586, 22.716522988011764)","(113.81990470576372, 22.740949654796253)","(113.85174112803664, 22.7221156818462)","(113.85407745160286, 22.722006394622472)","(114.12305939681768, 22.547141131075225)","(113.85831990618252, 22.72794848568245)","(113.83986511037672, 22.730093065006383)","(113.84778332221902, 22.717390210040808)","(113.80530165534152, 22.74054075708143)","(113.85687029937056, 22.728804330172714)","(113.81575315058524, 22.733103969816504)","(113.82925756712037, 22.7273109606338)","(113.85713487648223, 22.72829516006561)","(113.84253291323068, 22.71178183772002)","(113.7921152074802, 22.68317386986728)","(113.84009559121066, 22.72979014450255)","(113.83917493399537, 22.73007038142492)","(113.91943272122889, 22.54585818718256)",no action
"(113.78336406757376, 22.73969414081475)",-0.04359124,0.3847464,0.26888198,0,0.010437831,0.50237185,0.02653043,0.18847992,0.027279668,0.2788064,0.13583852,-0.021434149,0.20344912,0.25550532,-0.4051706,0,0.07859996,0.24058795,-0.12727425,-0.29275572,-0.64066344,-0.046532854,0.25801384,-0.23109588,0.3510335,-0.22525457,0.6785082,0.19242424,-0.078755945,-0.12786983,0.43391263,-0.18867278,0.02085185,-0.28785348,-0.09159583,-0.13538036,-0.35401174,0.24497803,0.5356108,0,0.06193322,-0.100519195,0.18725659,-0.23029977,0.5171183,0.6661759,-0.05208593,-0.36428708,0.0083443355,-0.6670307,0.15788707,-0.11794703,-0.09185445,-0.27442402,-0.15540631,0.04099557,-0.8912603,-0.37097326,0.07777096,-0.14476307,0.22868821,0.2578191,-0.4319001,-0.0892068,0,0,-0.3116005,0.0077380296,0.29926252,0.01191465,-0.030994102,-0.027911343,-0.32610074,0.23588906,0.5795285,0.13268387,-0.4128633,-0.04547645,-0.2986142,-0.010896957,0.06863444,-0.20027584,0,0.18224406,0.3306442,0.15744817,0.15818615,-0.28698272,-0.25332838,0.078043714,0.12187061
"(113.79122886797629, 22.732434904147123)",-0.0773098,0.020634444,0.025741003,0,0.16907224,0.18458836,0.15350175,-0.12503277,0.19796279,0.11647961,0.14618412,-0.06076759,0.10303725,0.043334093,-0.23819107,0,0.17642522,0.009615025,0.026709346,-0.19766013,-0.298185,-0.0536467,0.3388073,-0.11455646,0.10364989,-0.20290837,0.51056415,0.016375922,-0.07309686,-0.011266217,0.2397058,-0.20633058,0.052683935,0.10279162,0.011650562,-0.08771915,-0.29875192,0.0632347,0.27399588,0,0.005934812,0.023486633,0.2502692,-0.16026542,0.45384064,0.14191191,-0.17313044,0.071765594,-0.26719046,-0.3466194,-0.07362978,-0.13214143,-0.17342934,-0.13151059,-0.19282949,-0.06935722,-0.4458267,-0.039601676,0.084965944,-0.085033596,0.32004482,0.23493865,-0.17806,-0.008156404,0,0,-0.060293123,-0.011769557,0.15662633,-0.11955009,0.005879827,-0.009542048,0.0074007586,0.07475446,0.26501682,0.09576444,-0.31433076,-0.14596851,-0.379572,0.033339873,0.024285233,-0.102391966,0,0.04159963,0.25516677,0.09824823,-0.038952272,-0.32465953,-0.24627319,-0.03081213,0.20321512
"(113.7921152074802, 22.68317386986728)",-0.08157264,0.16546288,0.07586072,0,0.027607448,0.35054722,0.0704412,-0.049566105,-0.01162836,0.1102596,0.11457761,-0.10084331,0.27064455,0.12033491,-0.049242355,0,-0.3564576,-0.017829798,-0.14677188,-0.23192355,-0.29385096,-0.0022042207,0.15806636,-0.094933785,0.2304348,-0.13716452,0.23059654,-0.017689086,-0.091772154,-0.17169781,-0.027039673,-0.22940055,-0.09544796,0.12668872,-0.031430066,0.05018265,0.14924757,0.09078027,0.20264989,0,0.076778464,0.1501158,-0.14242823,-0.17919569,0.32375428,0.23405468,0.14065397,-0.30605835,-0.01945285,-0.22944912,0.082884304,-0.24762775,-0.24396476,-0.059769534,-0.12176002,0.13914026,-0.413832,0.10586501,0.025479095,-0.12517224,0.0134840235,0.052241474,-0.3034449,-0.13411237,0,0,-0.06083084,0.04995378,0.2252538,0.1650839,-0.17167419,-0.025300026,-0.11312043,-0.106060475,0.41759005,0.023765475,-0.15450141,-0.10252699,-0.1465087,0.036269628,-0.22579658,-0.08761575,0,-0.26238537,-0.0339631,0.017020326,0.0009555556,-0.013781864,0.07743825,0.075477935,0.14281529
"(113.79424661745055, 22.72316396036463)",-0.14222251,-0.13645363,-0.09643569,0,0.22018118,0.096789435,0.17293629,-0.2899567,0.20404185,0.058649316,0.10257943,-0.11215265,0.054420546,-0.014751408,-0.07031713,0,0.10190903,-0.07831856,0.1493955,-0.17570402,-0.10283007,-0.039181653,0.41983917,-0.018759571,-0.0021055266,-0.16815019,0.36661604,-0.11481116,-0.096900046,0.038415074,0.06754956,-0.15254952,0.10775811,0.33563477,0.0824644,-0.05324987,-0.15957582,-0.0968961,0.15019928,0,-0.012583457,0.19895507,0.1289865,-0.10807857,0.4136679,-0.07108339,-0.20529595,0.14813986,-0.35219473,-0.09313597,-0.07799925,-0.17070876,-0.23311219,0.014094926,-0.26312533,-0.010913156,-0.2162699,0.14831272,0.08581545,-0.07576677,0.29384974,0.15421253,-0.0999704,0.07811801,0,0,0.051816717,-0.0033561084,0.15605052,-0.08159385,0.0040718466,0.023143336,0.1113063,-0.07412428,0.1645951,0.06644845,-0.22594456,-0.16577661,-0.42650118,0.09846574,-0.011620602,-0.07426835,0,-0.12896676,0.20075427,0.070773676,-0.11442387,-0.25211772,-0.1865227,-0.11242945,0.1931772
"(113.79903465356554, 22.732266721797096)",-0.11691442,-0.040652394,0.038589366,0,0.254924,0.22365741,0.15733212,-0.1768311,0.13088624,0.10367683,0.10517676,-0.09969628,0.123548076,0.042010125,-0.11732779,0,-0.10114646,-0.11850277,-0.006079467,-0.25380623,-0.27225137,-0.0026532337,0.39697462,-0.10014211,0.124359556,-0.054342303,0.4974405,-0.15277967,-0.06651488,-0.063274056,0.12462771,-0.34461015,0.073728465,0.24245527,-0.008747339,-0.089807995,-0.18180168,-0.055905506,0.20081747,0,0.07143209,0.211325,0.12658802,-0.19005528,0.3604659,0.10435993,-0.12015376,0.050641946,-0.1539212,-0.26323953,-0.020167414,-0.23307116,-0.17742652,-0.112403296,-0.19215176,-0.11613667,-0.33319414,0.13383502,0.14620075,-0.021392733,0.18118179,0.18574688,-0.17442186,0.056366727,0,0,-0.09545426,-0.035688348,0.02970986,0.094777346,-0.22842479,-0.07154885,0.03041435,0.06616753,0.30619657,0.06383191,-0.3337729,-0.3101443,-0.2602143,0.102181286,-0.08812883,-0.25584805,0,-0.08954929,0.18809472,0.15638086,0.010680813,-0.1528693,-0.2680991,-0.13677979,0.14408083
"(113.7996173603976, 22.69845713462011)",-0.028544486,0.19408068,0.10847869,0,0.11296296,0.42175612,0.09283973,-0.039675727,-0.01043801,0.13157359,0.081121504,-0.08322474,0.27836448,0.15540463,-0.03874705,0,-0.28809386,-0.039145477,-0.06841559,-0.35583708,-0.39407462,0.03440617,0.25250715,-0.15399244,0.25305894,-0.1287142,0.44638714,-0.03435298,-0.11329821,-0.19025493,0.11895682,-0.2751255,-0.012752101,0.059026584,-0.100319415,-0.006101375,0.017559212,0.056714937,0.300031,0,0.08221575,0.1271897,-0.060424995,-0.19082478,0.38630587,0.35156405,0.051556207,-0.2573015,-0.0047972146,-0.38932267,0.11519718,-0.18473983,-0.18264434,-0.07604967,-0.1714064,0.016894128,-0.53351814,0.06182804,0.13173343,-0.15788893,0.043991648,0.114079416,-0.31940392,-0.051809594,0,0,-0.12729356,0.07232783,0.16777252,0.19706397,-0.17121643,-0.056572437,-0.16379309,-0.010483429,0.49900624,0.070376545,-0.25703022,-0.17781112,-0.22466993,0.09114341,-0.11770657,-0.1602079,0,-0.116635665,0.09909001,0.12832335,0.053123575,-0.063123435,-0.13272639,0.0023763103,0.11101863
"(113.80031180705096, 22.76262130078557)",-0.20576027,-0.27241167,-0.15519807,0,0.2428722,-0.13587172,0.23053479,-0.26623148,0.39560682,0.06267325,0.16269979,-0.1337355,-0.11395852,-0.1575254,-0.09188754,0,0.17465737,-0.17277345,0.097945176,-0.217351,-0.10897435,-0.0331534,0.2819761,-0.06497199,-0.02804669,-0.08662063,0.35070598,-0.037818678,0.008105695,0.09845043,-0.013710603,-0.1839976,0.015988864,0.34598884,0.3077122,-0.14484088,-0.2845566,-0.23274072,0.045047596,0,0.09349092,0.14341415,0.47379196,-0.07521056,0.21486455,-0.14522372,-0.16567007,0.50347453,-0.3637374,-0.04916419,-0.1868392,-0.071586505,-0.20695403,-0.05650223,-0.3512555,-0.14069928,0.09096056,0.13574135,0.00847299,0.10438709,0.44493717,0.28671616,0.12292124,0.10850386,0,0,0.12861302,-0.03497619,-0.029382125,-0.15121135,0.042306185,0.026235685,0.28553858,0.038371965,-0.057672758,-0.04975812,-0.35329667,-0.28178886,-0.1628406,-0.07701509,-0.03651134,-0.15936014,0,-0.03022027,0.12595627,-0.06151481,-0.10258646,-0.26901844,-0.10267213,-0.1667487,0.2648974
"(113.80172946787565, 22.731842459450743)",-0.055015884,0.023898395,0.07352162,0,0.18958367,0.27391565,0.12573653,-0.13643388,0.11545772,0.0794443,0.09180367,-0.07869786,0.1605009,0.066442996,-0.11660778,0,-0.024912909,-0.03125891,-0.008999923,-0.23576343,-0.26985866,-0.031899422,0.3512728,-0.0831769,0.14463001,-0.13226849,0.4702214,-0.039349116,-0.113875195,-0.060114227,0.16668619,-0.24594432,0.0680308,0.16128233,-0.06391087,-0.06349196,-0.17104734,0.082025364,0.23850657,0,0.043729104,0.08580352,0.0821414,-0.17116073,0.4180645,0.15160742,-0.088201314,-0.032902755,-0.18974069,-0.26956633,0.0010989578,-0.1898762,-0.16750398,-0.09472554,-0.1489745,-0.024181306,-0.43320364,0.0816408,0.119761445,-0.08634636,0.20847312,0.163921,-0.20775677,-0.0028427392,0,0,-0.069455676,-0.032674886,0.09669684,-0.0144607965,-0.09602894,-0.048261702,-0.02096624,0.08656643,0.3221924,0.059941635,-0.26260874,-0.21355325,-0.30898756,0.12916078,-0.05312203,-0.15162945,0,-0.048706204,0.1955415,0.15099618,0.018624086,-0.17120685,-0.26160356,-0.07271807,0.15544225
"(113.8029947451216, 22.73963526627557)",-0.09360439,-0.047402024,0.035251282,0,0.28695285,0.23974021,0.14230451,-0.19443212,0.09344275,0.08021023,0.04350329,-0.1189806,0.16134726,0.025353935,0.040528856,0,-0.27439314,-0.1959385,0.005203346,-0.3296049,-0.26493388,0.042934477,0.3884695,-0.092102185,0.11116386,0.031574678,0.45617214,-0.22935113,-0.07458654,-0.09967488,0.040875018,-0.37138206,0.07116082,0.3153912,-0.044101685,-0.082240604,-0.10020946,-0.12839049,0.14814499,0,0.107971005,0.2946678,0.029280532,-0.20014147,0.28180853,0.111400165,-0.08898514,0.0699706,-0.06984436,-0.17964348,0.018692877,-0.21591108,-0.15808862,-0.07277997,-0.2248015,-0.1265774,-0.23103152,0.24241114,0.17463905,-0.007738814,0.08350306,0.14609978,-0.14815702,0.09205426,0,0,-0.09699311,-0.009005481,-0.057251617,0.22795227,-0.3170273,-0.09434037,0.041051827,0.052645415,0.32074806,0.037234664,-0.35219064,-0.4005622,-0.14630127,0.15409783,-0.1304304,-0.29876322,0,-0.14969358,0.13405594,0.18134204,0.04947253,-0.015524898,-0.29747018,-0.18801223,0.09468342
"(113.80358238132692, 22.739170813741627)",-0.08919459,-0.050948203,0.033785693,0,0.2893343,0.23976497,0.14181462,-0.19788848,0.092920646,0.07520317,0.040562678,-0.11850424,0.16371877,0.02183063,0.049430184,0,-0.27841628,-0.19936007,0.00690146,-0.32996595,-0.2591141,0.043496266,0.38987258,-0.08873669,0.10796837,0.03444196,0.4533086,-0.23225504,-0.07618144,-0.10034923,0.037473656,-0.371147,0.07073902,0.32181698,-0.047801226,-0.0804655,-0.09615791,-0.12677293,0.14433107,0,0.107192926,0.29523325,0.022760514,-0.20005515,0.28097612,0.10614277,-0.08893497,0.072893925,-0.07106929,-0.17409584,0.017340641,-0.21427365,-0.1580114,-0.06862622,-0.22357656,-0.12661092,-0.22656716,0.25076082,0.17678915,-0.009010732,0.0807777,0.14254013,-0.14625776,0.093053326,0,0,-0.0938148,-0.008436764,-0.061542884,0.22856686,-0.31697252,-0.09506109,0.043973632,0.05188133,0.3182983,0.037157133,-0.34899622,-0.4035069,-0.14493175,0.15953368,-0.13224688,-0.29455525,0,-0.15278725,0.13120008,0.18349361,0.04911447,-0.010537032,-0.30099604,-0.18947989,0.094050646
