coords,"(113.8217538301683, 22.695054564128984)","(113.83905075110482, 22.730816919442955)","(113.8459909539568, 22.689497398249955)","(113.85418693317412, 22.721476129853944)","(113.81881523600764, 22.75144080468773)","(113.83835039645068, 22.707972199031104)","(113.80358238132692, 22.739170813741627)","(113.82100038874977, 22.740267612530623)","(113.85420966157784, 22.721756320117827)","(113.8261265859758, 22.741630755564017)","(113.82097160130566, 22.739409765832928)","(113.83870410437312, 22.70824089416124)","(113.83894509218725, 22.70832643578929)","(113.8029947451216, 22.73963526627557)","(113.8255877501778, 22.740467189229683)","(114.1837141008218, 22.66024665154704)","(113.79903465356554, 22.732266721797096)","(113.82280721993736, 22.738282221397373)","(113.81863889729132, 22.73721560270781)","(113.82547043203664, 22.732072572369457)","(113.82220467282325, 22.739224404005306)","(113.851816448767, 22.72177247312277)","(113.81898810539418, 22.745659923583755)","(113.85745294867267, 22.71310471792549)","(113.83890370760425, 22.73001989242725)","(113.8838172397166, 22.662505211818544)","(113.8528141635792, 22.72113514742812)","(113.85058656048749, 22.72283290030872)","(113.79424661745055, 22.72316396036463)","(113.8524580863241, 22.73201123763933)","(113.82230477836409, 22.73771273680605)","(113.85749152080878, 22.710729530328926)","(113.8394620811632, 22.730274593961543)","(113.83320035508328, 22.710288669248776)","(114.14517823399432, 22.616764652588543)","(113.84108354467917, 22.728718442519604)","(113.84911633552213, 22.77376297981668)","(113.7996173603976, 22.69845713462011)","(113.8124756211018, 22.73911401553136)","(113.82033985085772, 22.75034048564345)","(113.84029561028052, 22.71432752106541)","(113.84947740757984, 22.718596762893288)","(113.85226804355432, 22.72204484887792)","(113.82669465097948, 22.74182474386325)","(113.85404967402069, 22.721980682017072)","(113.83768968199222, 22.70836520891622)","(113.81900272893492, 22.751327231587776)","(113.8203581120728, 22.73916049552549)","(113.84030171372964, 22.728874432606496)","(113.81579179111068, 22.721538459635905)","(113.83611068481646, 22.706393785175827)","(113.8517227144006, 22.722070198258628)","(113.80031180705096, 22.76262130078557)","(113.78336406757376, 22.73969414081475)","(114.08051194846888, 22.53316040238564)","(113.85762261990378, 22.710948677728616)","(113.8216525636664, 22.75958277862884)","(113.8237435977103, 22.740701224434723)","(113.81732938826264, 22.736630019963336)","(113.81941817365755, 22.737761119629813)","(113.81420263992884, 22.746863912810795)","(113.8411236937814, 22.72991862960373)","(113.8299294673386, 22.701542714887747)","(113.83767636678552, 22.729246298982783)","(113.83995382601772, 22.730455134940343)","(113.82319826296768, 22.73999319176838)","(113.8405404496809, 22.72906866121977)","(113.85010216984654, 22.718924927090395)","(113.79122886797629, 22.732434904147123)","(113.81639144939597, 22.76952145347482)","(113.8142912476205, 22.73297791594709)","(113.80172946787565, 22.731842459450743)","(113.80909905139586, 22.716522988011764)","(113.81990470576372, 22.740949654796253)","(113.85174112803664, 22.7221156818462)","(113.85407745160286, 22.722006394622472)","(114.12305939681768, 22.547141131075225)","(113.85831990618252, 22.72794848568245)","(113.83986511037672, 22.730093065006383)","(113.84778332221902, 22.717390210040808)","(113.80530165534152, 22.74054075708143)","(113.85687029937056, 22.728804330172714)","(113.81575315058524, 22.733103969816504)","(113.82925756712037, 22.7273109606338)","(113.85713487648223, 22.72829516006561)","(113.84253291323068, 22.71178183772002)","(113.7921152074802, 22.68317386986728)","(113.84009559121066, 22.72979014450255)","(113.83917493399537, 22.73007038142492)","(113.91943272122889, 22.54585818718256)",no action
"(113.78336406757376, 22.73969414081475)",-0.020476475,0.5442667,0.4029739,0,-0.15189475,0.5442762,-0.082491964,0.35734972,-0.006368205,0.39725512,0.1237342,0.047432423,0.21618699,0.3385541,-0.5196467,0.31455827,0.027161228,0.4366167,-0.14655496,-0.2666065,-0.6055731,-0.0019668862,0.19331254,-0.32173687,0.35055482,-0.20856518,0.6629626,0.21419181,-0.060635097,-0.1204152,0.49940243,-0.085962385,-0.005898718,-0.52199686,-0.07867043,-0.14960767,-0.35423237,0.2588122,0.6038424,-0.26106212,0.006328538,-0.18128599,0.12786125,-0.25061193,0.48989397,0.84925383,-0.015343495,-0.4884521,0.14667235,-0.7663037,0.27084422,-0.023690712,-8.9067966e-05,-0.37372386,-0.10731146,0.10526715,-1.0709391,-0.5605083,0.020243997,-0.20191035,0.16891785,0.2446479,-0.5958949,-0.101364,0,0,-0.47221735,0.07462779,0.40547624,0.08614682,-0.0025072321,0.012091875,-0.49466553,0.25383687,0.66699415,0.15437764,-0.45842856,0.10547021,-0.20659654,-0.07030965,0.16468883,-0.1815781,0,0.2694899,0.36894798,0.15852481,0.24434125,-0.35050395,-0.18779306,0.16989543,0.090759724
"(113.79122886797629, 22.732434904147123)",-0.011828668,0.13957767,0.14935064,0,0.039770816,0.19598782,0.06937003,-0.019110866,0.21037431,0.20143718,0.13473123,0.005582786,0.1503268,0.08801023,-0.2756138,0.3121719,0.11245572,0.15589298,0.04341636,-0.22744678,-0.22993353,0.020589765,0.29539603,-0.22071609,0.062701225,-0.18469507,0.52618665,0.011101231,-0.08243067,0.0006593261,0.286481,-0.106096625,0.027698264,-0.06265983,0.01101324,-0.09629205,-0.29369417,0.05466921,0.3009093,-0.07020452,-0.046594672,-0.07173891,0.21673657,-0.19575782,0.43860865,0.26520234,-0.14089246,0.056114685,-0.16352764,-0.41398847,-0.008177783,0.0023037605,-0.07495841,-0.22217228,-0.17014375,-0.045342814,-0.58145136,-0.13477686,0.04187583,-0.16621864,0.29381388,0.2472729,-0.31116718,-0.003978014,0,0,-0.18110979,0.08010878,0.21483567,-0.064856745,0.054125354,0.011759706,-0.098084874,0.09668897,0.3237965,0.12025163,-0.38298482,-0.0427449,-0.28005773,0.011625655,0.13403949,-0.071993835,0,0.13815668,0.29590857,0.12797445,0.042297825,-0.38527498,-0.22851337,0.03484533,0.20972328
"(113.7921152074802, 22.68317386986728)",0.006277874,0.30400217,0.24826577,0,-0.14658548,0.40094018,-0.06107983,0.093678676,0.0028758347,0.15252942,0.13194612,0.0019867485,0.30679417,0.16296613,-0.10691883,0.043024443,-0.45383778,0.15034707,-0.17941467,-0.25611642,-0.17204049,0.07623905,0.12543355,-0.16232389,0.23739235,-0.052591585,0.25213215,0.018008456,-0.06703708,-0.19684742,0.027903114,-0.11389331,-0.14988345,-0.048555642,-0.0795632,0.055996843,0.17452398,0.1717045,0.20176286,-0.032349486,0.038924575,0.015776288,-0.1682528,-0.21345522,0.30781996,0.3796031,0.2192888,-0.40005285,0.18502377,-0.26644826,0.13645981,-0.14240244,-0.13345376,-0.16373597,-0.030599056,0.17083722,-0.55988485,0.06794163,-0.024749288,-0.16446818,0.000112114474,0.044486936,-0.4473225,-0.16246888,0,0,-0.195218,0.105875395,0.2570034,0.20224857,-0.13081664,-0.0065975264,-0.22113618,-0.016723946,0.43569085,0.037677407,-0.16172995,0.00459918,0.015095711,0.019194067,-0.13331473,-0.05625307,0,-0.17663465,-0.028177466,0.061274193,0.10538989,0.002668023,0.11414283,0.16323723,0.16075584
"(113.79424661745055, 22.72316396036463)",-0.08739952,-0.09556948,-0.0039465525,0,0.12659599,0.02385742,0.08821745,-0.2281354,0.2809903,0.08747043,0.086600564,-0.04178221,0.061432943,0.0022186562,-0.085162245,0.33477274,0.086277224,-0.0039567575,0.19507548,-0.19098853,0.047867358,0.04919922,0.3883655,-0.09113997,-0.08149257,-0.09909982,0.34366935,-0.15269388,-0.08103181,0.061472304,0.10100916,-0.060385477,0.11242137,0.2570433,0.051645845,-0.05710143,-0.18399498,-0.14339864,0.09441557,-0.002600764,-0.054586254,0.13425261,0.15417063,-0.12796351,0.3518176,-0.08145495,-0.22134651,0.2527468,-0.2340868,-0.036639515,-0.08178502,-0.064725086,-0.10984114,-0.075417206,-0.23176335,-0.04994053,-0.2077358,0.14398876,0.04500687,-0.08259545,0.28123987,0.17008793,-0.13221294,0.091180176,0,0,-0.040801078,0.04419905,0.12297972,-0.058108218,0.016798548,0.029160619,0.09887206,-0.026129723,0.11368093,0.073741324,-0.2764302,-0.1146539,-0.29439962,0.089394756,0.11737146,-0.09352455,0,-0.03718147,0.24638331,0.118636034,-0.05305317,-0.28470376,-0.21404551,-0.08987292,0.19960867
"(113.79903465356554, 22.732266721797096)",-0.046290822,0.060453936,0.18030275,0,0.13368952,0.2653781,0.039562866,-0.053924255,0.1492061,0.16036847,0.09854334,-0.012022001,0.16024615,0.07253864,-0.16426253,0.16517618,-0.17327183,0.029590402,-0.0049526,-0.2565204,-0.1667985,0.0644106,0.40845013,-0.15688127,0.09279132,0.036624566,0.52782625,-0.1730413,-0.049998544,-0.07181818,0.18988894,-0.25957298,0.042545572,0.12123868,-0.040253818,-0.102563486,-0.20099199,-0.015743041,0.21730211,-0.0851778,0.017559566,0.13509855,0.07682789,-0.23873386,0.36219835,0.21795063,-0.11106257,0.0033851676,0.0011036638,-0.29545665,0.026865523,-0.13629358,-0.074732654,-0.2064195,-0.14547683,-0.099635065,-0.47460595,0.0779145,0.117333025,-0.055987418,0.15702985,0.17839551,-0.3152114,0.068479836,0,0,-0.24235564,0.01920992,0.06171035,0.15530881,-0.21772441,-0.05413954,-0.06402104,0.13518052,0.33947694,0.11512076,-0.39040703,-0.23646674,-0.13648872,0.10954175,0.010926537,-0.23278725,0,-0.014978509,0.23117657,0.21964309,0.10393141,-0.15979691,-0.295258,-0.07367831,0.14511003
"(113.7996173603976, 22.69845713462011)",0.054446973,0.34841526,0.26775184,0,-0.04526427,0.47830117,-0.032535203,0.11016374,-0.008229315,0.19764805,0.081367455,0.011546454,0.32701653,0.20468876,-0.09942537,0.09973224,-0.36835137,0.1338007,-0.08405261,-0.37504166,-0.3166821,0.10495122,0.22904858,-0.23028266,0.2423349,-0.060399093,0.47454917,-0.018728957,-0.09528781,-0.20854022,0.19239984,-0.16856286,-0.057286203,-0.122258425,-0.14671281,-0.009441486,0.0140054,0.11976097,0.33031532,-0.07905296,0.027841732,0.015260447,-0.10638955,-0.23402244,0.38662142,0.5218419,0.08948443,-0.34804875,0.17883861,-0.45216066,0.17884876,-0.0687307,-0.07459965,-0.17931674,-0.108603925,0.048063986,-0.7067953,-0.020390563,0.09020265,-0.21209604,0.015777973,0.10834159,-0.47803006,-0.06782174,0,0,-0.28012168,0.1446784,0.21962374,0.25667852,-0.138901,-0.030300349,-0.291228,0.057602987,0.5521739,0.11018159,-0.3008079,-0.07249771,-0.09120582,0.076664895,-0.012681669,-0.123264976,0,-0.024855908,0.13226844,0.17374521,0.15175077,-0.07171191,-0.12788895,0.09178389,0.11024236
"(113.80031180705096, 22.76262130078557)",-0.13615566,-0.2264957,-0.031647276,0,0.13469987,-0.168924,0.13813353,-0.19690064,0.45978612,0.0987072,0.16531327,-0.054495078,-0.11768715,-0.15774757,-0.0965457,0.16139978,0.117974386,-0.069251895,0.13102098,-0.27028754,0.05056387,0.064168826,0.28248322,-0.14333889,-0.079028845,0.011411503,0.3963193,-0.05699034,0.028029986,0.11623708,0.018151853,-0.07675888,0.00065894425,0.24813515,0.30746922,-0.17100817,-0.30261496,-0.2652077,0.0066815913,0.120057754,0.0721362,0.052638937,0.5141058,-0.10178952,0.16574983,-0.09310098,-0.13915688,0.5814764,-0.22455429,-0.03980132,-0.1689715,0.066998735,-0.08321148,-0.14426608,-0.32521734,-0.17151287,0.059158318,0.14321116,-0.024709178,0.08314264,0.46672615,0.3121475,0.056749556,0.15075919,0,0,0.028711721,0.02484162,-0.058779426,-0.12175984,0.08510745,0.029780418,0.25796,0.1276717,-0.09953542,-0.05110421,-0.4132203,-0.23562416,-0.006276682,-0.081853606,0.08936989,-0.1686615,0,0.077068225,0.16076332,-0.0032463223,-0.0077619087,-0.27463168,-0.1196892,-0.1521988,0.29370302
"(113.80172946787565, 22.731842459450743)",0.021027401,0.14438398,0.2141901,0,0.055929948,0.31096205,0.016533092,-0.018504001,0.12742572,0.14596705,0.08149663,0.0006721532,0.21438394,0.102732845,-0.14772558,0.20416135,-0.11478051,0.119832605,-0.0071337465,-0.25581136,-0.18286091,0.04143847,0.33478278,-0.16151173,0.10974607,-0.071010426,0.48706406,-0.05249934,-0.11156478,-0.06434557,0.21445255,-0.1494211,0.031129085,0.021302342,-0.08853787,-0.06944433,-0.16440015,0.11011926,0.2556605,-0.053328965,-0.009872861,-0.0012451969,0.022753403,-0.2192334,0.41278237,0.27940765,-0.05758076,-0.0796044,-0.04762263,-0.31088322,0.060477655,-0.07295948,-0.06841619,-0.18641189,-0.10963747,0.0064268894,-0.5770774,0.017732732,0.08132865,-0.14745222,0.17657304,0.1593751,-0.3539128,-0.0022104383,0,0,-0.20531157,0.044310912,0.14203566,0.050656397,-0.069993,-0.028131217,-0.12501377,0.13246982,0.37316012,0.09904658,-0.32156348,-0.12591308,-0.18343602,0.12785923,0.04349643,-0.11751268,0,0.025823217,0.2275154,0.19886452,0.110807955,-0.19125018,-0.26253283,-0.003324234,0.16044904
"(113.8029947451216, 22.73963526627557)",-0.019980557,0.043203607,0.17984766,0,0.169367,0.29421148,0.0092279315,-0.06828966,0.11185984,0.11825153,0.0350141,-0.023971952,0.19143708,0.049032815,0.005878754,0.05772101,-0.36141515,-0.055083815,0.0052421372,-0.3291308,-0.13518131,0.110775486,0.42249125,-0.12432285,0.084117144,0.15870288,0.48591644,-0.2581026,-0.04747612,-0.11988006,0.10421169,-0.28847572,0.039145194,0.21950683,-0.08987853,-0.09362359,-0.11569482,-0.075181805,0.15426219,-0.046039138,0.056680642,0.23248912,-0.03454852,-0.24736135,0.28438514,0.21803007,-0.08473994,0.008148503,0.11329699,-0.18551181,0.061384838,-0.13389811,-0.053336814,-0.15694532,-0.1696114,-0.11229974,-0.36039242,0.21781269,0.15483356,-0.02252239,0.054914936,0.123819456,-0.28554282,0.11161786,0,0,-0.24788493,0.03283094,-0.042711176,0.29763103,-0.3209334,-0.07701321,-0.04688806,0.13711208,0.3388818,0.09468324,-0.3933931,-0.342077,-0.007877395,0.17739868,-0.037538156,-0.2785702,0,-0.090852186,0.17118919,0.25740218,0.14657299,0.013198152,-0.33908337,-0.13077484,0.09025704
"(113.80358238132692, 22.739170813741627)",-0.015690915,0.037241414,0.1779351,0,0.17278796,0.29314178,0.0087376535,-0.07290972,0.11200085,0.11187318,0.031559072,-0.023676053,0.19310676,0.04461529,0.015556581,0.054028355,-0.36500236,-0.05935767,0.0071522985,-0.32795233,-0.12698239,0.11078377,0.42450315,-0.11944719,0.079873696,0.16244121,0.48162365,-0.26189625,-0.04932844,-0.119828336,0.09986995,-0.28852114,0.039383717,0.22840008,-0.09376234,-0.09173508,-0.11148465,-0.073238276,0.1488973,-0.041826848,0.05575379,0.2336617,-0.041927114,-0.24694814,0.282961,0.20949566,-0.08519381,0.012497004,0.11087168,-0.17714621,0.05926994,-0.1333387,-0.0531852,-0.15217923,-0.1674602,-0.112211466,-0.35364488,0.22813386,0.15708317,-0.022863328,0.052090704,0.11957434,-0.28226528,0.11300704,0,0,-0.24372211,0.031971723,-0.04856003,0.29725623,-0.32136223,-0.077925935,-0.042317502,0.1367305,0.3346068,0.094229825,-0.38895094,-0.34593776,-0.0063935965,0.18409836,-0.040013105,-0.274333,0,-0.09487644,0.16810487,0.25999284,0.14597353,0.018923119,-0.34337527,-0.13317776,0.08956567
