coords,"(113.8217538301683, 22.695054564128984)","(113.83905075110482, 22.730816919442955)","(113.8459909539568, 22.689497398249955)","(113.85418693317412, 22.721476129853944)","(113.81881523600764, 22.75144080468773)","(113.83835039645068, 22.707972199031104)","(113.80358238132692, 22.739170813741627)","(113.82100038874977, 22.740267612530623)","(113.85420966157784, 22.721756320117827)","(113.8261265859758, 22.741630755564017)","(113.82097160130566, 22.739409765832928)","(113.83870410437312, 22.70824089416124)","(113.83894509218725, 22.70832643578929)","(113.8029947451216, 22.73963526627557)","(113.8255877501778, 22.740467189229683)","(114.1837141008218, 22.66024665154704)","(113.79903465356554, 22.732266721797096)","(113.82280721993736, 22.738282221397373)","(113.81863889729132, 22.73721560270781)","(113.82547043203664, 22.732072572369457)","(113.82220467282325, 22.739224404005306)","(113.851816448767, 22.72177247312277)","(113.81898810539418, 22.745659923583755)","(113.85745294867267, 22.71310471792549)","(113.83890370760425, 22.73001989242725)","(113.8838172397166, 22.662505211818544)","(113.8528141635792, 22.72113514742812)","(113.85058656048749, 22.72283290030872)","(113.79424661745055, 22.72316396036463)","(113.8524580863241, 22.73201123763933)","(113.82230477836409, 22.73771273680605)","(113.85749152080878, 22.710729530328926)","(113.8394620811632, 22.730274593961543)","(113.83320035508328, 22.710288669248776)","(114.14517823399432, 22.616764652588543)","(113.84108354467917, 22.728718442519604)","(113.84911633552213, 22.77376297981668)","(113.7996173603976, 22.69845713462011)","(113.8124756211018, 22.73911401553136)","(113.82033985085772, 22.75034048564345)","(113.84029561028052, 22.71432752106541)","(113.84947740757984, 22.718596762893288)","(113.85226804355432, 22.72204484887792)","(113.82669465097948, 22.74182474386325)","(113.85404967402069, 22.721980682017072)","(113.83768968199222, 22.70836520891622)","(113.81900272893492, 22.751327231587776)","(113.8203581120728, 22.73916049552549)","(113.84030171372964, 22.728874432606496)","(113.81579179111068, 22.721538459635905)","(113.83611068481646, 22.706393785175827)","(113.8517227144006, 22.722070198258628)","(113.80031180705096, 22.76262130078557)","(113.78336406757376, 22.73969414081475)","(114.08051194846888, 22.53316040238564)","(113.85762261990378, 22.710948677728616)","(113.8216525636664, 22.75958277862884)","(113.8237435977103, 22.740701224434723)","(113.81732938826264, 22.736630019963336)","(113.81941817365755, 22.737761119629813)","(113.81420263992884, 22.746863912810795)","(113.8411236937814, 22.72991862960373)","(113.8299294673386, 22.701542714887747)","(113.83767636678552, 22.729246298982783)","(113.83995382601772, 22.730455134940343)","(113.82319826296768, 22.73999319176838)","(113.8405404496809, 22.72906866121977)","(113.85010216984654, 22.718924927090395)","(113.79122886797629, 22.732434904147123)","(113.81639144939597, 22.76952145347482)","(113.8142912476205, 22.73297791594709)","(113.80172946787565, 22.731842459450743)","(113.80909905139586, 22.716522988011764)","(113.81990470576372, 22.740949654796253)","(113.85174112803664, 22.7221156818462)","(113.85407745160286, 22.722006394622472)","(114.12305939681768, 22.547141131075225)","(113.85831990618252, 22.72794848568245)","(113.83986511037672, 22.730093065006383)","(113.84778332221902, 22.717390210040808)","(113.80530165534152, 22.74054075708143)","(113.85687029937056, 22.728804330172714)","(113.81575315058524, 22.733103969816504)","(113.82925756712037, 22.7273109606338)","(113.85713487648223, 22.72829516006561)","(113.84253291323068, 22.71178183772002)","(113.7921152074802, 22.68317386986728)","(113.84009559121066, 22.72979014450255)","(113.83917493399537, 22.73007038142492)","(113.91943272122889, 22.54585818718256)",no action
"(113.78336406757376, 22.73969414081475)",-0.06740494,0.29115754,0.35880676,0,0.6383181,1.1443701,0.85639006,0.5782579,0,0.9939861,0,0.13303567,0.75118315,0,-0.41584635,0,-0.61115223,0.033860467,-0.3042304,0,0,0.038178034,0,-0.3569462,0,0,1.6618118,0,0,-0.47274745,1.0552224,0,-0.12515311,0,-0.5573913,-0.38600495,-0.7321741,0.026658133,0.718801,0,-0.41260448,0.4124304,0.21682948,-0.54834193,0,1.3886473,0.2486164,0,0.07214437,-2.5259452,0.5030473,-0.17190346,-0.118754625,-0.40060845,-0.3656246,-0.8715649,0,0,0.944864,0,-0.47398037,0.7398528,0,0,0,0,-1.1402951,0,0.8160198,0.95146406,-1.0596317,-0.538916,-0.9485362,-0.16664225,1.481604,0,-1.1860809,-0.5487606,-0.6364651,-0.15609936,-0.2156074,-0.5699276,0,0.53395116,0,0,0,0,0,0,-0.11304331
"(113.79122886797629, 22.732434904147123)",-0.58836347,-0.388603,-0.10710235,0,0.7126379,0.29797626,1.2331215,0.16053018,0,1.0780966,0,-0.16135162,0.5410798,0,-0.0778843,0,-0.60763973,-0.28236735,-0.12631749,0,0,0.04072205,0,-0.023297839,0,0,1.0310895,0,0,-0.14888288,0.39350224,0,-0.27370808,0,-0.2171526,-0.5038037,-0.9223625,-0.5534012,-0.08924276,0,-0.48486355,0.9079908,0.63008106,-0.53504837,0,0.62354183,0.21746579,0,-0.23911953,-1.5415981,0.07392453,-0.1861774,-0.34336323,-0.32614312,-0.845511,-0.8004018,0,0,0.46030396,0,-0.1235183,0.91051346,0,0,0,0,-0.8144024,0,0.80727994,0.767802,-1.2574838,-0.40986907,-0.2268979,-0.50809616,0.7268261,0,-1.5122645,-0.8641777,-0.17538813,-0.4347204,-0.36303145,-0.72583944,0,0.07332602,0,0,0,0,0,0,0.017060883
"(113.7921152074802, 22.68317386986728)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.79424661745055, 22.72316396036463)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.79903465356554, 22.732266721797096)",-0.58625394,-0.4188419,-0.11043048,0,0.7294254,0.16960971,1.1527318,0.08317545,0,0.981985,0,-0.20374493,0.65174615,0,0.09236668,0,-0.7584579,-0.40553606,-0.18704772,0,0,0.07677699,0,0.06630996,0,0,0.79063004,0,0,-0.15222989,0.19919759,0,-0.35710448,0,-0.3022712,-0.46301898,-0.91213673,-0.5383879,-0.30177203,0,-0.44049346,1.071895,0.48765117,-0.69470906,0,0.43197405,0.11318484,0,-0.12658249,-1.068052,-0.08775069,-0.2389831,-0.36318493,-0.39954266,-0.87199765,-0.7573727,0,0,0.35982594,0,-0.17227583,0.8685904,0,0,0,0,-0.8159823,0,0.63968766,0.83545583,-1.4581258,-0.42034346,-0.008960314,-0.4840007,0.58937067,0,-1.6296524,-1.0768002,0.15023378,-0.33205038,-0.48231757,-0.75165486,0,-0.1813116,0,0,0,0,0,0,0.008076422
"(113.7996173603976, 22.69845713462011)",-0.30872512,-0.034415815,0.008088563,0,0.641174,0.6713926,1.1151646,0.30390227,0,0.9889158,0,-0.11153959,0.89629877,0,0.12500629,0,-0.94915444,-0.33951122,-0.23841166,0,0,0.12683551,0,-0.1393535,0,0,1.0266476,0,0,-0.4368987,0.41398606,0,-0.43032077,0,-0.4343661,-0.31117892,-0.5919015,-0.3000598,0.09255402,0,-0.4292923,0.80800146,0.25778392,-0.6357886,0,0.89623487,0.3582966,0,-0.023563132,-1.7185912,0.16808023,-0.1590855,-0.3831501,-0.28480595,-0.7739867,-0.7479192,0,0,0.5920747,0,-0.38706937,0.7949943,0,0,0,0,-0.8535017,0,0.8382086,0.9798831,-1.2645706,-0.45717624,-0.4358602,-0.5653537,1.0759448,0,-1.4436501,-0.85898125,-0.098430365,-0.3031391,-0.49616376,-0.56087536,0,-0.032389298,0,0,0,0,0,0,-0.0001879856
"(113.80031180705096, 22.76262130078557)",-0.78315437,-0.8004609,-0.47767505,0,0.7074323,-0.29483554,1.2779876,-0.10342714,0,0.9395024,0,-0.31291944,0.2976033,0,0.23363304,0,-0.58121806,-0.5686919,0.024361828,0,0,0.08295582,0,0.13705811,0,0,0.5412703,0,0,0.018073414,-0.13887677,0,-0.438794,0,0.15441608,-0.50838417,-0.8549147,-0.94629693,-0.55233365,0,-0.38826832,1.1092693,0.88051105,-0.4568055,0,0.066076145,0.14658675,0,-0.3736212,-0.7648622,-0.24965924,-0.07756729,-0.4870106,-0.19302751,-1.1130059,-0.77015746,0,0,0.15926996,0,0.128049,0.9225646,0,0,0,0,-0.45909733,0,0.5875307,0.6422487,-1.1664426,-0.23638839,0.31954014,-0.6465475,0.11772187,0,-1.556058,-1.0231895,0.2654554,-0.61978513,-0.46204007,-0.67732126,0,-0.2347935,0,0,0,0,0,0,0.12783948
"(113.80172946787565, 22.731842459450743)",-0.56382495,-0.36714813,0.046084214,0,0.6077207,0.32137215,1.1252193,0.23937604,0,0.9422879,0,-0.12686536,0.6202455,0,0.002449941,0,-0.6558869,-0.26634565,-0.28419128,0,0,0.042202495,0,0.15945607,0,0,0.83617604,0,0,-0.21970393,0.35206243,0,-0.355071,0,-0.44474968,-0.48045653,-0.9754812,-0.26883996,-0.29563338,0,-0.44042942,0.86770856,0.5705091,-0.61659896,0,0.5278975,0.2814937,0,-0.012052535,-1.1492465,-0.034437094,-0.30486268,-0.2901988,-0.41351935,-0.7466826,-0.68528914,0,0,0.327514,0,-0.0962957,0.83156884,0,0,0,0,-0.8390132,0,0.6832446,0.6380249,-1.370034,-0.4787786,-0.11779467,-0.31796926,0.55192363,0,-1.4859501,-0.9774145,0.12261748,-0.33189002,-0.39321563,-0.78567046,0,-0.065040424,0,0,0,0,0,0,0.024505667
"(113.8029947451216, 22.73963526627557)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.80358238132692, 22.739170813741627)",-0.5373237,-0.43438983,-0.14047088,0,0.7047967,0.14921026,1.0913502,0.034391973,0,0.860904,0,-0.19635528,0.719198,0,0.28327346,0,-0.84247416,-0.5010076,-0.14901589,0,0,0.13468286,0,0.16613755,0,0,0.6342006,0,0,-0.2216918,0.096832015,0,-0.40486938,0,-0.4147786,-0.39532232,-0.8408931,-0.50562054,-0.44233647,0,-0.43052292,1.1347378,0.38466287,-0.7255759,0,0.30387434,0.07858583,0,-0.010466515,-0.78088015,-0.18349046,-0.24909937,-0.3743305,-0.3416581,-0.89718586,-0.7297761,0,0,0.32648945,0,-0.20127963,0.778705,0,0,0,0,-0.7637585,0,0.562757,0.84881514,-1.499649,-0.41927522,0.099793084,-0.50265676,0.47451246,0,-1.5962541,-1.1537402,0.2865465,-0.24889344,-0.49337515,-0.71689993,0,-0.34061995,0,0,0,0,0,0,0.0023104027
