coords,"(113.8217538301683, 22.695054564128984)","(113.83905075110482, 22.730816919442955)","(113.8459909539568, 22.689497398249955)","(113.85418693317412, 22.721476129853944)","(113.81881523600764, 22.75144080468773)","(113.83835039645068, 22.707972199031104)","(113.80358238132692, 22.739170813741627)","(113.82100038874977, 22.740267612530623)","(113.85420966157784, 22.721756320117827)","(113.8261265859758, 22.741630755564017)","(113.82097160130566, 22.739409765832928)","(113.83870410437312, 22.70824089416124)","(113.83894509218725, 22.70832643578929)","(113.8029947451216, 22.73963526627557)","(113.8255877501778, 22.740467189229683)","(114.1837141008218, 22.66024665154704)","(113.79903465356554, 22.732266721797096)","(113.82280721993736, 22.738282221397373)","(113.81863889729132, 22.73721560270781)","(113.82547043203664, 22.732072572369457)","(113.82220467282325, 22.739224404005306)","(113.851816448767, 22.72177247312277)","(113.81898810539418, 22.745659923583755)","(113.85745294867267, 22.71310471792549)","(113.83890370760425, 22.73001989242725)","(113.8838172397166, 22.662505211818544)","(113.8528141635792, 22.72113514742812)","(113.85058656048749, 22.72283290030872)","(113.79424661745055, 22.72316396036463)","(113.8524580863241, 22.73201123763933)","(113.82230477836409, 22.73771273680605)","(113.85749152080878, 22.710729530328926)","(113.8394620811632, 22.730274593961543)","(113.83320035508328, 22.710288669248776)","(114.14517823399432, 22.616764652588543)","(113.84108354467917, 22.728718442519604)","(113.84911633552213, 22.77376297981668)","(113.7996173603976, 22.69845713462011)","(113.8124756211018, 22.73911401553136)","(113.82033985085772, 22.75034048564345)","(113.84029561028052, 22.71432752106541)","(113.84947740757984, 22.718596762893288)","(113.85226804355432, 22.72204484887792)","(113.82669465097948, 22.74182474386325)","(113.85404967402069, 22.721980682017072)","(113.83768968199222, 22.70836520891622)","(113.81900272893492, 22.751327231587776)","(113.8203581120728, 22.73916049552549)","(113.84030171372964, 22.728874432606496)","(113.81579179111068, 22.721538459635905)","(113.83611068481646, 22.706393785175827)","(113.8517227144006, 22.722070198258628)","(113.80031180705096, 22.76262130078557)","(113.78336406757376, 22.73969414081475)","(114.08051194846888, 22.53316040238564)","(113.85762261990378, 22.710948677728616)","(113.8216525636664, 22.75958277862884)","(113.8237435977103, 22.740701224434723)","(113.81732938826264, 22.736630019963336)","(113.81941817365755, 22.737761119629813)","(113.81420263992884, 22.746863912810795)","(113.8411236937814, 22.72991862960373)","(113.8299294673386, 22.701542714887747)","(113.83767636678552, 22.729246298982783)","(113.83995382601772, 22.730455134940343)","(113.82319826296768, 22.73999319176838)","(113.8405404496809, 22.72906866121977)","(113.85010216984654, 22.718924927090395)","(113.79122886797629, 22.732434904147123)","(113.81639144939597, 22.76952145347482)","(113.8142912476205, 22.73297791594709)","(113.80172946787565, 22.731842459450743)","(113.80909905139586, 22.716522988011764)","(113.81990470576372, 22.740949654796253)","(113.85174112803664, 22.7221156818462)","(113.85407745160286, 22.722006394622472)","(114.12305939681768, 22.547141131075225)","(113.85831990618252, 22.72794848568245)","(113.83986511037672, 22.730093065006383)","(113.84778332221902, 22.717390210040808)","(113.80530165534152, 22.74054075708143)","(113.85687029937056, 22.728804330172714)","(113.81575315058524, 22.733103969816504)","(113.82925756712037, 22.7273109606338)","(113.85713487648223, 22.72829516006561)","(113.84253291323068, 22.71178183772002)","(113.7921152074802, 22.68317386986728)","(113.84009559121066, 22.72979014450255)","(113.83917493399537, 22.73007038142492)","(113.91943272122889, 22.54585818718256)",no action
"(113.78336406757376, 22.73969414081475)",-0.17053978,0.3151939,0.31092346,0,-0.00036535785,0.34700978,0.3029846,0.15565054,0,0.38074574,0.11287053,-0.02365654,0.08622789,0.22741014,-0.5360566,0,-0.2503309,0.1663929,-0.28447726,-0.24163735,0,-0.026884675,0.10389434,-0.39231256,0.2477288,0,0.6498869,-0.16128889,-0.071060844,-0.06392497,0.30925605,-0.38652295,0.017498018,-0.487852,-0.04466053,-0.23770007,-0.33216426,-0.07221818,0.4173485,0,0.026059527,0.04959207,0.08643846,-0.32325214,0.26606172,0.647475,-0.02754838,-0.26899907,0.10096058,-0.8703786,0.21810974,-0.18123987,-0.029101139,-0.45018768,-0.07444915,-0.14892986,-0.89649403,-0.48742127,0.091955885,0,-0.026042383,0.23864692,-0.5076254,-0.02842474,0,0,-0.5198538,-0.028118446,0.18578531,0.26706958,-0.41748834,-0.14627266,-0.4162728,0.1951638,0.5589168,0.03956163,-0.50972235,-0.12766023,-0.15010625,-0.11007468,-0.060860824,-0.44076192,0,0.1532489,0.28688303,0.17809077,0.21738811,0,-0.1840181,-0.08101901,0.08013114
"(113.79122886797629, 22.732434904147123)",-0.2536879,0.044667702,0.070935436,0,0.06101795,-0.0039189737,0.41643736,-0.099181965,0,0.2928503,0.08506341,-0.120295346,-0.010481037,0.014301069,-0.32342136,0,-0.17677568,-5.914271e-05,-0.12484318,-0.20089215,0,-0.037957735,0.066758215,-0.30629885,-0.02222722,0,0.39212734,-0.2606429,-0.09437398,0.07601894,0.04546554,-0.29013532,0.009564053,-0.15929917,0.13938263,-0.2315435,-0.3149596,-0.3035626,0.15631117,0,-0.0050127357,0.15853068,0.17345305,-0.2775461,0.16218427,0.25479925,-0.13451168,0.18703902,-0.14782389,-0.4520182,0.019829579,-0.10928158,-0.117985666,-0.33013165,-0.24049187,-0.12444324,-0.4243679,-0.28257418,-0.02758927,0,0.11093339,0.24374121,-0.2472986,0.023125857,0,0,-0.27218005,-0.0049526766,0.110398695,0.14170004,-0.31196404,-0.07402948,-0.10554315,0.021879934,0.25380322,-0.03388483,-0.525833,-0.2038237,-0.101328745,-0.1308441,-0.08218849,-0.3497563,0,-0.0017832145,0.19464378,0.02277989,0.050932825,0,-0.107438534,-0.16046922,0.16095528
"(113.7921152074802, 22.68317386986728)",-0.21564245,0.2559208,0.14488862,0,-0.12610652,0.21749654,0.285242,0.047789305,0,0.24966446,0.078932405,-0.121520445,0.19670016,0.13449451,-0.25359905,0,-0.48360804,0.06706478,-0.3092197,-0.13827327,0,-0.0512716,-0.105424225,-0.24399827,0.13591263,0,0.1041898,-0.16984847,-0.12039957,-0.090535745,-0.08614534,-0.25942725,-0.15289211,-0.1706047,0.020683922,-0.055126943,0.038493045,-0.05751841,0.16509244,0,0.011163779,0.16202193,-0.21343024,-0.3042781,0.18472923,0.34239963,0.110600315,-0.27507645,0.039676577,-0.34606594,0.122989565,-0.25339335,-0.19904111,-0.29352465,-0.11060228,0.14142515,-0.54695004,-0.24054638,-0.10842115,0,-0.123142526,0.058481097,-0.40446803,-0.20406285,0,0,-0.27806816,0.014246274,0.26630145,0.25043517,-0.3772866,-0.06414778,-0.2514767,-0.11349579,0.41401902,0.0007532984,-0.32235843,-0.057455704,0.021634504,-0.10779009,-0.2745951,-0.22834912,0,-0.2645975,-0.02742013,-0.04076307,0.056586184,0,0.15144098,0.05429843,0.13320826
"(113.79424661745055, 22.72316396036463)",-0.3042831,-0.10119845,-0.036536105,0,0.10649173,-0.07416056,0.4122056,-0.23621932,0,0.17910334,0.03507635,-0.14883353,-0.08418242,-0.0087267235,-0.20455247,0,-0.093342766,-0.09038444,0.029562656,-0.180092,0,-0.024651192,0.16780123,-0.17516692,-0.0959749,0,0.28095227,-0.31600145,-0.11657623,0.09510687,-0.012889411,-0.20503114,0.1051758,0.040908314,0.1031645,-0.19879878,-0.2839479,-0.37490165,0.034942225,0,-0.029754356,0.2644291,0.14008138,-0.21521066,0.18429202,0.015952252,-0.2446545,0.275734,-0.19729145,-0.15496036,-0.045915954,-0.18258074,-0.14776182,-0.20267797,-0.28487384,-0.10050004,-0.24067213,-0.111257374,-0.02242242,0,0.15642388,0.16520101,-0.12663718,0.06650463,0,0,-0.16741489,-0.058201753,0.07992573,0.06558475,-0.27167773,-0.04840211,0.0148380585,-0.035663284,0.09905535,-0.030752502,-0.41661656,-0.2250335,-0.2003985,-0.041115217,-0.024368437,-0.35609767,0,-0.117792614,0.21153049,0.04198833,-0.034330428,0,-0.1611176,-0.23787545,0.15825854
"(113.79903465356554, 22.732266721797096)",-0.27948642,0.009597342,0.09385987,0,0.13165188,0.022022532,0.39591977,-0.1574372,0,0.24952558,0.05670929,-0.15167388,0.055092327,0.033429913,-0.24235854,0,-0.35061368,-0.100403085,-0.16247828,-0.19045639,0,-0.017847225,0.13110459,-0.2630104,-0.018315203,0,0.323097,-0.39897224,-0.10329493,0.03927663,-0.033409856,-0.39544243,0.03891615,0.022835083,0.05745039,-0.19523434,-0.23390932,-0.31453928,0.07676692,0,0.029650956,0.30988514,0.03577735,-0.32600245,0.14149016,0.15505236,-0.13166755,0.16009966,-0.07731746,-0.2780391,0.016690306,-0.24598318,-0.1284063,-0.34360254,-0.19210503,-0.13053867,-0.33083546,-0.10447495,0.006651612,0,0.0044019707,0.19586265,-0.23735103,0.02579096,0,0,-0.2965134,-0.059083916,0.01307191,0.25925267,-0.52087474,-0.12513807,-0.050707262,0.021631636,0.27939826,-0.028000884,-0.5172721,-0.3333376,-0.018314078,-0.03169336,-0.1749483,-0.45931035,0,-0.14978671,0.1623609,0.09152873,0.06795858,0,-0.16471367,-0.22032374,0.11619249
"(113.7996173603976, 22.69845713462011)",-0.17636612,0.25027367,0.1692927,0,-0.012395527,0.23877282,0.32630104,0.012979105,0,0.29062447,0.043797478,-0.11970545,0.20615113,0.13772157,-0.20901781,0,-0.5074628,0.009089971,-0.2446043,-0.25717017,0,-0.0012251921,-0.010693878,-0.32118478,0.1166879,0,0.29630703,-0.26610044,-0.13368464,-0.08541006,-0.008797236,-0.3426097,-0.06813049,-0.18880999,-0.014830731,-0.1178494,-0.056923185,-0.1712836,0.2165402,0,0.026164092,0.20320258,-0.15355432,-0.32919788,0.1811052,0.42793325,0.03719411,-0.1744316,0.052349806,-0.48192197,0.15926556,-0.18594189,-0.13768098,-0.315201,-0.16004422,-0.004823737,-0.58073044,-0.22969274,0.0025160555,0,-0.1379778,0.12827043,-0.40869457,-0.08653888,0,0,-0.34495315,0.05074445,0.17211477,0.35346755,-0.45043564,-0.10734194,-0.27278566,-0.04910841,0.4887928,0.0063503683,-0.446236,-0.17834426,-0.0026806146,-0.057492565,-0.2135039,-0.32990754,0,-0.15001762,0.074917,0.062065158,0.11440505,0,-0.02848367,-0.056473076,0.08645202
"(113.80031180705096, 22.76262130078557)",-0.36593318,-0.21975286,-0.08804504,0,0.11086832,-0.301111,0.45745197,-0.23620239,0,0.18299264,0.08393638,-0.18299904,-0.22609082,-0.14150453,-0.18453786,0,-0.048439834,-0.16398062,-0.007889572,-0.22733867,0,-0.022034619,0.036807448,-0.21429208,-0.1353581,0,0.23212822,-0.24216309,-0.04350937,0.17106439,-0.1346372,-0.19657479,0.025982792,0.07533101,0.32825482,-0.27921423,-0.36470234,-0.50474113,-0.07745999,0,0.07321952,0.21299493,0.43241218,-0.18304537,-0.0005691536,-0.054419287,-0.18895686,0.60656536,-0.23199306,-0.04991822,-0.13266215,-0.073813476,-0.13394561,-0.25659508,-0.373968,-0.16884267,0.070955604,-0.09875244,-0.11789854,0,0.31082907,0.28597867,0.08079411,0.097423315,0,0,-0.074853465,-0.07817329,-0.07670136,-0.006790793,-0.20652954,-0.02683466,0.18614529,0.054964043,-0.10551678,-0.15987986,-0.5243925,-0.3203841,0.05922179,-0.19065234,-0.05310897,-0.41357994,0,-0.05194723,0.13006055,-0.09636532,-0.022212682,0,-0.0557569,-0.29062563,0.22406419
"(113.80172946787565, 22.731842459450743)",-0.24001044,0.057170402,0.12361624,0,0.07304233,0.06717397,0.3787715,-0.09811376,0,0.2606649,0.046528056,-0.1289325,0.058598064,0.045186974,-0.2687671,0,-0.3268466,-0.015888136,-0.1901038,-0.16517752,0,-0.044049703,0.074008584,-0.26276284,0.0056480393,0,0.3192892,-0.31981316,-0.12115053,0.0421838,-0.0056487434,-0.3412844,0.015334712,-0.094077595,0.047600932,-0.19362277,-0.2169811,-0.23380312,0.12466271,0,0.009844422,0.21627307,-0.006483678,-0.30498585,0.14551194,0.23056543,-0.077313274,0.070898116,-0.088865474,-0.36659664,0.06540781,-0.20075998,-0.11413383,-0.33069378,-0.15609127,-0.07027606,-0.42926913,-0.19302666,-0.010240512,0,-0.009428065,0.1720507,-0.28699204,-0.006952524,0,0,-0.29920268,-0.047672875,0.070990786,0.21808258,-0.4370817,-0.11255924,-0.12626734,0.027048461,0.30723327,-0.04216457,-0.4697761,-0.24629308,-0.04630989,-0.044198386,-0.16811171,-0.3809089,0,-0.10051325,0.14833678,0.07240899,0.09150561,0,-0.123127535,-0.167785,0.11425868
"(113.8029947451216, 22.73963526627557)",-0.27492812,0.0033121817,0.089716546,0,0.14307368,0.03361574,0.36742905,-0.17622039,0,0.20313439,0.017688528,-0.1645356,0.090983726,0.044643216,-0.15220726,0,-0.43719396,-0.15487644,-0.15993018,-0.19561943,0,-0.00011294335,0.12952772,-0.22165637,-0.021607824,0,0.23717634,-0.44397977,-0.112152405,0.0073233675,-0.08845751,-0.4035552,0.04839413,0.10938089,-0.008605294,-0.15842043,-0.16343044,-0.31425843,0.020357385,0,0.043624967,0.3744782,-0.062167127,-0.32937458,0.11255577,0.09853839,-0.12430699,0.1392343,-0.020134106,-0.14275362,0.02009637,-0.29326016,-0.1260041,-0.31646076,-0.17591411,-0.109866686,-0.25237632,-0.003835155,0.013035942,0,-0.067907736,0.14323652,-0.20964862,0.011364251,0,0,-0.28723952,-0.07524479,-0.03406845,0.31151864,-0.59146726,-0.13812086,-0.027377244,0.0035590157,0.27037743,-0.033362225,-0.47867095,-0.37566406,0.035746947,0.02352324,-0.20719762,-0.48506176,0,-0.23328662,0.1249388,0.113355845,0.07067722,0,-0.18177539,-0.23609948,0.08133994
"(113.80358238132692, 22.739170813741627)",-0.27203563,0.00082335994,0.08979776,0,0.14424884,0.034865633,0.3653722,-0.17802086,0,0.19742897,0.015605539,-0.16328104,0.093246214,0.043735392,-0.14831504,0,-0.43887767,-0.15720779,-0.16054496,-0.19209713,0,-0.0006964728,0.13119712,-0.21648408,-0.022769652,0,0.23257092,-0.44625816,-0.11284346,0.005618101,-0.08946811,-0.4042853,0.048573613,0.11520613,-0.015835278,-0.15557185,-0.16047682,-0.3084424,0.0163849,0,0.042360246,0.37526202,-0.06951085,-0.3297063,0.113170505,0.09144331,-0.12511148,0.13770984,-0.019024178,-0.13538222,0.01766441,-0.29707342,-0.1257669,-0.3143842,-0.17094216,-0.109228574,-0.25036842,0.003523709,0.014433401,0,-0.07157399,0.13832255,-0.20860161,0.009114116,0,0,-0.28601456,-0.078101896,-0.03757353,0.31046894,-0.5943915,-0.13964024,-0.024970304,0.0039801374,0.26772493,-0.032152593,-0.4731819,-0.377371,0.035760805,0.029116226,-0.2090745,-0.4829334,0,-0.23781782,0.122968346,0.11656049,0.069902204,0,-0.18558176,-0.23602706,0.08030631
