coords,"(113.8217538301683, 22.695054564128984)","(113.83905075110482, 22.730816919442955)","(113.8459909539568, 22.689497398249955)","(113.85418693317412, 22.721476129853944)","(113.81881523600764, 22.75144080468773)","(113.83835039645068, 22.707972199031104)","(113.80358238132692, 22.739170813741627)","(113.82100038874977, 22.740267612530623)","(113.85420966157784, 22.721756320117827)","(113.8261265859758, 22.741630755564017)","(113.82097160130566, 22.739409765832928)","(113.83870410437312, 22.70824089416124)","(113.83894509218725, 22.70832643578929)","(113.8029947451216, 22.73963526627557)","(113.8255877501778, 22.740467189229683)","(114.1837141008218, 22.66024665154704)","(113.79903465356554, 22.732266721797096)","(113.82280721993736, 22.738282221397373)","(113.81863889729132, 22.73721560270781)","(113.82547043203664, 22.732072572369457)","(113.82220467282325, 22.739224404005306)","(113.851816448767, 22.72177247312277)","(113.81898810539418, 22.745659923583755)","(113.85745294867267, 22.71310471792549)","(113.83890370760425, 22.73001989242725)","(113.8838172397166, 22.662505211818544)","(113.8528141635792, 22.72113514742812)","(113.85058656048749, 22.72283290030872)","(113.79424661745055, 22.72316396036463)","(113.8524580863241, 22.73201123763933)","(113.82230477836409, 22.73771273680605)","(113.85749152080878, 22.710729530328926)","(113.8394620811632, 22.730274593961543)","(113.83320035508328, 22.710288669248776)","(114.14517823399432, 22.616764652588543)","(113.84108354467917, 22.728718442519604)","(113.84911633552213, 22.77376297981668)","(113.7996173603976, 22.69845713462011)","(113.8124756211018, 22.73911401553136)","(113.82033985085772, 22.75034048564345)","(113.84029561028052, 22.71432752106541)","(113.84947740757984, 22.718596762893288)","(113.85226804355432, 22.72204484887792)","(113.82669465097948, 22.74182474386325)","(113.85404967402069, 22.721980682017072)","(113.83768968199222, 22.70836520891622)","(113.81900272893492, 22.751327231587776)","(113.8203581120728, 22.73916049552549)","(113.84030171372964, 22.728874432606496)","(113.81579179111068, 22.721538459635905)","(113.83611068481646, 22.706393785175827)","(113.8517227144006, 22.722070198258628)","(113.80031180705096, 22.76262130078557)","(113.78336406757376, 22.73969414081475)","(114.08051194846888, 22.53316040238564)","(113.85762261990378, 22.710948677728616)","(113.8216525636664, 22.75958277862884)","(113.8237435977103, 22.740701224434723)","(113.81732938826264, 22.736630019963336)","(113.81941817365755, 22.737761119629813)","(113.81420263992884, 22.746863912810795)","(113.8411236937814, 22.72991862960373)","(113.8299294673386, 22.701542714887747)","(113.83767636678552, 22.729246298982783)","(113.83995382601772, 22.730455134940343)","(113.82319826296768, 22.73999319176838)","(113.8405404496809, 22.72906866121977)","(113.85010216984654, 22.718924927090395)","(113.79122886797629, 22.732434904147123)","(113.81639144939597, 22.76952145347482)","(113.8142912476205, 22.73297791594709)","(113.80172946787565, 22.731842459450743)","(113.80909905139586, 22.716522988011764)","(113.81990470576372, 22.740949654796253)","(113.85174112803664, 22.7221156818462)","(113.85407745160286, 22.722006394622472)","(114.12305939681768, 22.547141131075225)","(113.85831990618252, 22.72794848568245)","(113.83986511037672, 22.730093065006383)","(113.84778332221902, 22.717390210040808)","(113.80530165534152, 22.74054075708143)","(113.85687029937056, 22.728804330172714)","(113.81575315058524, 22.733103969816504)","(113.82925756712037, 22.7273109606338)","(113.85713487648223, 22.72829516006561)","(113.84253291323068, 22.71178183772002)","(113.7921152074802, 22.68317386986728)","(113.84009559121066, 22.72979014450255)","(113.83917493399537, 22.73007038142492)","(113.91943272122889, 22.54585818718256)",no action
"(113.78336406757376, 22.73969414081475)",-0.15474045,0.42804742,0.34303004,0,0.11178255,0.580976,0.5603393,0.20564514,0,0.5506258,0.13890573,-0.058089096,0.34240726,0,-0.5444142,0,-0.40632045,0.095373474,-0.26736483,-0.35821596,0,0.047392055,0.21546198,-0.53777087,0.2865233,0,0.84853965,-0.2984283,0,-0.22516607,0.40793514,0,0.03671982,0,-0.36682993,-0.22958454,-0.25423825,-0.17243768,0.517934,0,0.07192175,0.18216999,0.026249286,-0.36772358,0.38426495,0.8260413,0.15559725,0,0.11672363,-1.1945355,0.3235343,-0.24494377,-0.08661269,-0.42678538,-0.1292367,-0.32566985,0,-0.6445427,0.3151616,0,-0.16689505,0.33545595,-0.6221975,0,0,0,-0.64204174,-0.031729005,0.47419593,0.4818411,-0.74526155,-0.20557964,-0.58153933,0.062348686,0.88108385,0,-0.6776726,-0.24054328,-0.29663867,-0.10026,-0.13041946,-0.65809256,0,0.20402032,0.3164689,0.27432662,0.2369444,0,-0.30481222,-0.10041857,-0.013980196
"(113.79122886797629, 22.732434904147123)",-0.34689647,0.09794444,0.08536438,0,0.13841122,0.13742694,0.6814981,-0.057699483,0,0.4430419,0.15527433,-0.16812886,0.20334041,0,-0.42629012,0,-0.29728687,-0.076816484,-0.16762404,-0.19334725,0,0.008773705,0.17511444,-0.377913,-0.01362193,0,0.4655334,-0.41158235,0,-0.073688745,0.07805961,0,-0.022125218,0,-0.19555423,-0.21875797,-0.26658213,-0.38748097,0.13839594,0,0.05328317,0.35142925,0.16212006,-0.3424273,0.23338063,0.29527032,0.047750875,0,-0.09463914,-0.5894914,0.032781146,-0.29559854,-0.22155704,-0.35425037,-0.26431993,-0.2727701,0,-0.41068822,0.09275006,0,0.018907595,0.31955266,-0.30246994,0,0,0,-0.40082908,-0.12164022,0.41601178,0.29737067,-0.7490756,-0.104768865,-0.17560142,-0.10688314,0.45214763,0,-0.6781037,-0.32439953,-0.15769602,-0.17764983,-0.19967887,-0.6269978,0,-0.07114136,0.15985695,0.045811497,0.029349402,0,-0.15238729,-0.16263846,0.091693275
"(113.7921152074802, 22.68317386986728)",-0.33717218,0.2712161,0.112658665,0,-0.057105053,0.287337,0.5413477,0.10395938,0,0.41165844,0.17013854,-0.17658576,0.38175428,0,-0.3604279,0,-0.62609947,-0.024947202,-0.39743623,-0.061495706,0,-0.022299847,-0.059539363,-0.29944545,0.100815475,0,0.09427286,-0.35225493,0,-0.22702067,-0.12835199,0,-0.26439467,0,-0.21226591,-0.042238068,0.11448614,-0.17793506,0.121812105,0,0.073095515,0.39671838,-0.23134865,-0.38245636,0.19128098,0.33165875,0.28305423,0,0.077372104,-0.46154952,0.09933949,-0.42405334,-0.3385983,-0.32811558,-0.14872982,-0.0019312613,0,-0.37779483,-0.030648725,0,-0.24366508,0.13113868,-0.4320971,0,0,0,-0.3928625,-0.07437879,0.56011355,0.439733,-0.8258601,-0.07395246,-0.27571616,-0.29790097,0.560901,0,-0.49641177,-0.1777901,0.051461082,-0.22036752,-0.46510273,-0.4430342,0,-0.38975084,-0.13458489,-0.085666284,0.0024576858,0,0.1906113,0.086091444,0.07395212
"(113.79424661745055, 22.72316396036463)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.79903465356554, 22.732266721797096)",-0.37141746,0.049589157,0.081357144,0,0.2160048,0.12295583,0.6634853,-0.1287895,0,0.40296236,0.11210977,-0.21733594,0.27499565,0,-0.29410198,0,-0.49789688,-0.20212737,-0.20312215,-0.18462688,0,0.034717567,0.20794602,-0.33454084,-0.05180047,0,0.35508177,-0.57706106,0,-0.103860185,-0.053812,0,-0.024476863,0,-0.23881587,-0.18285172,-0.16958436,-0.43419188,0.037027705,0,0.09855516,0.5267421,0.009800177,-0.40884688,0.1820644,0.17725042,0.037979394,0,-0.034756143,-0.3715642,0.0138183255,-0.3945683,-0.2472489,-0.365353,-0.2549309,-0.272083,0,-0.21437317,0.107809715,0,-0.09744421,0.28029802,-0.26917318,0,0,0,-0.40668255,-0.1405176,0.3000052,0.43800652,-0.9514709,-0.14456123,-0.08734915,-0.13602424,0.45573202,0,-0.7045262,-0.48093954,-0.013778064,-0.08973512,-0.32190967,-0.7059387,0,-0.24907565,0.095026754,0.08782649,0.037940323,0,-0.19229493,-0.22298469,0.050985046
"(113.7996173603976, 22.69845713462011)",-0.24310988,0.29832536,0.15756457,0,0.07848011,0.37161997,0.5874498,0.05880532,0,0.44225928,0.12447425,-0.16206698,0.43151608,0,-0.29301387,0,-0.6340687,-0.087218635,-0.29701033,-0.24111652,0,0.04339222,0.07808578,-0.40012246,0.1025195,0,0.37150696,-0.43834746,0,-0.24492203,0.014153779,0,-0.14733386,0,-0.30274263,-0.101201415,0.0010104626,-0.25539428,0.21868771,0,0.07782794,0.3987264,-0.17339103,-0.41571054,0.26044402,0.4635687,0.19359235,0,0.08072452,-0.662039,0.14475472,-0.33332056,-0.26272613,-0.3407601,-0.20504516,-0.17548564,0,-0.35826284,0.13514966,0,-0.24475689,0.21705595,-0.47078326,0,0,0,-0.46466184,-0.01260558,0.46797296,0.5304538,-0.86475146,-0.1380345,-0.3277106,-0.20840043,0.6891281,0,-0.6286851,-0.31239083,-0.041094285,-0.12054924,-0.36289054,-0.5420279,0,-0.225209,0.019128397,0.07753765,0.07236573,0,-0.06921225,-0.034139235,0.03543964
"(113.80031180705096, 22.76262130078557)",-0.5117394,-0.18011379,-0.1253136,0,0.187288,-0.23309417,0.7612143,-0.20928252,0,0.38669935,0.14833435,-0.27537602,-0.0019445047,0,-0.23759614,0,-0.29010254,-0.28445697,-0.069525436,-0.21123767,0,0.03419754,0.07397677,-0.3143763,-0.18032438,0,0.21108842,-0.45847493,0,0.032316588,-0.23405725,0,-0.07483695,0,0.074789114,-0.26280394,-0.23958103,-0.7087919,-0.13687277,0,0.15234448,0.49404177,0.38611856,-0.25945038,-0.042965684,-0.025387082,0.037183873,0,-0.17551729,-0.15953505,-0.10607957,-0.23507884,-0.28131616,-0.2732734,-0.45156115,-0.3009045,0,-0.22364254,-0.049677253,0,0.16068043,0.3660757,0.04412123,0,0,0,-0.19371128,-0.14311682,0.247424,0.2534027,-0.7157188,-0.016886376,0.13723336,-0.17895806,0.097011015,0,-0.7230283,-0.46074256,0.11781579,-0.3129197,-0.25557533,-0.68935543,0,-0.20084864,-0.0036846623,-0.17280214,-0.06505048,0,0.03293749,-0.28526974,0.14252958
"(113.80172946787565, 22.731842459450743)",-0.317643,0.10342412,0.13238363,0,0.14989705,0.1872695,0.63441026,-0.0543694,0,0.3908255,0.10937134,-0.17654002,0.2788871,0,-0.353182,0,-0.420322,-0.097433716,-0.23786348,-0.14749613,0,-0.0029865336,0.1681606,-0.31853956,-0.007987026,0,0.36968213,-0.46122974,0,-0.1054056,0.021949068,0,-0.03463684,0,-0.28813568,-0.18226938,-0.19443065,-0.2941106,0.08888599,0,0.06992717,0.3939948,-0.010097746,-0.38501966,0.22256477,0.2495257,0.07934217,0,-0.043763634,-0.45713076,0.044308096,-0.37065485,-0.2184958,-0.36440402,-0.19003792,-0.21415624,0,-0.3120633,0.09406165,0,-0.08227117,0.25010607,-0.31806138,0,0,0,-0.41590923,-0.16745895,0.35308245,0.34571254,-0.85594076,-0.14398164,-0.16415477,-0.0844942,0.4732303,0,-0.6404208,-0.3851404,-0.06810209,-0.082156196,-0.28646377,-0.6329201,0,-0.17686072,0.10881153,0.09348496,0.06692068,0,-0.19575533,-0.16367833,0.0554279
"(113.8029947451216, 22.73963526627557)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.80358238132692, 22.739170813741627)",-0.36777857,0.03331119,0.066391475,0,0.22295652,0.116682634,0.6244398,-0.15928875,0,0.3388802,0.06641542,-0.23711409,0.31535652,0,-0.17946218,0,-0.5762793,-0.2619114,-0.19388562,-0.18151322,0,0.05135636,0.20977546,-0.27135926,-0.079297155,0,0.23892322,-0.62507373,0,-0.13450713,-0.13095902,0,-0.029136734,0,-0.3018451,-0.14520893,-0.108418405,-0.42671454,-0.045328714,0,0.113980874,0.59982175,-0.093839884,-0.42725322,0.15979445,0.094264045,0.022250824,0,0.020410847,-0.16959195,-0.010628885,-0.43732658,-0.25704128,-0.3368474,-0.25854307,-0.23368931,0,-0.0898374,0.09294581,0,-0.15070748,0.2203638,-0.22501358,0,0,0,-0.38555604,-0.15949072,0.24539736,0.4743917,-1.0141534,-0.14908266,-0.032529473,-0.15333036,0.4162263,0,-0.677235,-0.5376411,0.06907463,-0.024185576,-0.35662973,-0.7145681,0,-0.36518976,0.046814024,0.10177647,0.033113107,0,-0.22063506,-0.23850504,0.026294224
