coords,"(113.8217538301683, 22.695054564128984)","(113.83905075110482, 22.730816919442955)","(113.8459909539568, 22.689497398249955)","(113.85418693317412, 22.721476129853944)","(113.81881523600764, 22.75144080468773)","(113.83835039645068, 22.707972199031104)","(113.80358238132692, 22.739170813741627)","(113.82100038874977, 22.740267612530623)","(113.85420966157784, 22.721756320117827)","(113.8261265859758, 22.741630755564017)","(113.82097160130566, 22.739409765832928)","(113.83870410437312, 22.70824089416124)","(113.83894509218725, 22.70832643578929)","(113.8029947451216, 22.73963526627557)","(113.8255877501778, 22.740467189229683)","(114.1837141008218, 22.66024665154704)","(113.79903465356554, 22.732266721797096)","(113.82280721993736, 22.738282221397373)","(113.81863889729132, 22.73721560270781)","(113.82547043203664, 22.732072572369457)","(113.82220467282325, 22.739224404005306)","(113.851816448767, 22.72177247312277)","(113.81898810539418, 22.745659923583755)","(113.85745294867267, 22.71310471792549)","(113.83890370760425, 22.73001989242725)","(113.8838172397166, 22.662505211818544)","(113.8528141635792, 22.72113514742812)","(113.85058656048749, 22.72283290030872)","(113.79424661745055, 22.72316396036463)","(113.8524580863241, 22.73201123763933)","(113.82230477836409, 22.73771273680605)","(113.85749152080878, 22.710729530328926)","(113.8394620811632, 22.730274593961543)","(113.83320035508328, 22.710288669248776)","(114.14517823399432, 22.616764652588543)","(113.84108354467917, 22.728718442519604)","(113.84911633552213, 22.77376297981668)","(113.7996173603976, 22.69845713462011)","(113.8124756211018, 22.73911401553136)","(113.82033985085772, 22.75034048564345)","(113.84029561028052, 22.71432752106541)","(113.84947740757984, 22.718596762893288)","(113.85226804355432, 22.72204484887792)","(113.82669465097948, 22.74182474386325)","(113.85404967402069, 22.721980682017072)","(113.83768968199222, 22.70836520891622)","(113.81900272893492, 22.751327231587776)","(113.8203581120728, 22.73916049552549)","(113.84030171372964, 22.728874432606496)","(113.81579179111068, 22.721538459635905)","(113.83611068481646, 22.706393785175827)","(113.8517227144006, 22.722070198258628)","(113.80031180705096, 22.76262130078557)","(113.78336406757376, 22.73969414081475)","(114.08051194846888, 22.53316040238564)","(113.85762261990378, 22.710948677728616)","(113.8216525636664, 22.75958277862884)","(113.8237435977103, 22.740701224434723)","(113.81732938826264, 22.736630019963336)","(113.81941817365755, 22.737761119629813)","(113.81420263992884, 22.746863912810795)","(113.8411236937814, 22.72991862960373)","(113.8299294673386, 22.701542714887747)","(113.83767636678552, 22.729246298982783)","(113.83995382601772, 22.730455134940343)","(113.82319826296768, 22.73999319176838)","(113.8405404496809, 22.72906866121977)","(113.85010216984654, 22.718924927090395)","(113.79122886797629, 22.732434904147123)","(113.81639144939597, 22.76952145347482)","(113.8142912476205, 22.73297791594709)","(113.80172946787565, 22.731842459450743)","(113.80909905139586, 22.716522988011764)","(113.81990470576372, 22.740949654796253)","(113.85174112803664, 22.7221156818462)","(113.85407745160286, 22.722006394622472)","(114.12305939681768, 22.547141131075225)","(113.85831990618252, 22.72794848568245)","(113.83986511037672, 22.730093065006383)","(113.84778332221902, 22.717390210040808)","(113.80530165534152, 22.74054075708143)","(113.85687029937056, 22.728804330172714)","(113.81575315058524, 22.733103969816504)","(113.82925756712037, 22.7273109606338)","(113.85713487648223, 22.72829516006561)","(113.84253291323068, 22.71178183772002)","(113.7921152074802, 22.68317386986728)","(113.84009559121066, 22.72979014450255)","(113.83917493399537, 22.73007038142492)","(113.91943272122889, 22.54585818718256)",no action
"(113.78336406757376, 22.73969414081475)",-0.08439945,0.41275945,0.20232455,0,0.042912025,0.3749086,0.45677182,0.19637397,0,0.43439847,0.17931053,-0.06845102,0.30089462,0,-0.47230068,0,-0.37631023,0.03506259,-0.2909128,-0.3227458,0,-0.014557501,0.0749187,-0.5007185,0.2639295,0,0.57537174,-0.15201005,0,-0.17590278,0.2569191,0,-0.10179861,-0.5056429,-0.23448038,-0.13356782,-0.17860961,-0.10246289,0.4547965,0,0.03818508,0.039133713,0.049228538,-0.30162427,0.33171096,0.667357,0.13100451,0,0.050939813,-1.0434926,0.16362536,-0.16127776,-0.09802066,-0.36458236,-0.13625559,-0.24999774,0,-0.5065236,0.15151249,0,-0.14031075,0.2608736,-0.49798042,0,0,0,-0.4449244,0.080280066,0.43099964,0.3552066,-0.5789874,-0.13989478,-0.4146643,0.007348947,0.7279768,0,-0.5610338,-0.16006945,-0.18455277,-0.14082931,-0.16727178,-0.4773079,0,0.13417986,0.16691238,0.10581897,0.102447964,0,-0.06437549,0.030021153,0.10257355
"(113.79122886797629, 22.732434904147123)",-0.19746079,0.1356417,-0.032289837,0,0.10327618,0.026257727,0.5902362,-0.06698648,0,0.36384416,0.14939117,-0.18479905,0.20239925,0,-0.2655529,0,-0.34390804,-0.124695055,-0.14069185,-0.28303832,0,-0.030179989,0.043700356,-0.41648543,-0.00048782304,0,0.30605426,-0.25599173,0,-0.028929243,-0.040645704,0,-0.11012513,-0.1821343,-0.04774531,-0.134244,-0.1387529,-0.35653156,0.1866492,0,0.018340558,0.16491349,0.12006886,-0.2539648,0.21169707,0.28343606,0.061462328,0,-0.20183146,-0.6231252,-0.008899884,-0.10939248,-0.20286947,-0.23869303,-0.30558005,-0.20240328,0,-0.30234545,0.014909741,0,-0.0070175566,0.25718814,-0.24989784,0,0,0,-0.19724977,0.08841649,0.38511413,0.24373089,-0.50660104,-0.060759597,-0.11165822,-0.17678842,0.43979797,0,-0.57458705,-0.23735002,-0.12661636,-0.16558678,-0.21356805,-0.41894582,0,-0.047935423,0.051475514,-0.067508176,-0.05638013,0,0.053703662,-0.06196591,0.17941688
"(113.7921152074802, 22.68317386986728)",-0.18875599,0.29276845,-0.002558696,0,-0.066554695,0.18711454,0.45509365,0.08774031,0,0.32751766,0.14661741,-0.19029677,0.37534016,0,-0.20103687,0,-0.6618658,-0.082061395,-0.35186425,-0.1484058,0,-0.06373685,-0.1612622,-0.3301802,0.11923893,0,-0.045297213,-0.21128502,0,-0.18027861,-0.22365764,0,-0.31471825,-0.13856462,-0.08874603,0.03978615,0.22607869,-0.1492527,0.17615405,0,0.034798242,0.22434635,-0.27900857,-0.28420034,0.17496543,0.30766404,0.2841421,0,-0.034078285,-0.4956263,0.06979883,-0.2585363,-0.3041199,-0.20249063,-0.17645992,0.052911468,0,-0.2672757,-0.080086656,0,-0.2788547,0.06280558,-0.37252206,0,0,0,-0.19671981,0.11146264,0.5123586,0.39073914,-0.60605204,-0.038713492,-0.21917799,-0.3519526,0.55729985,0,-0.38347825,-0.102690935,0.055308152,-0.18191129,-0.46262795,-0.26409855,0,-0.35333675,-0.21330684,-0.17237106,-0.07663679,0,0.35240746,0.16357106,0.14170921
"(113.79424661745055, 22.72316396036463)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.79903465356554, 22.732266721797096)",-0.2044557,0.08594379,-0.023851205,0,0.19439751,0.029960606,0.58317995,-0.13347416,0,0.32737648,0.10481063,-0.22132204,0.27210104,0,-0.15580933,0,-0.505988,-0.23262078,-0.16552988,-0.27993107,0,-0.012549516,0.10067876,-0.38095257,-0.03072359,0,0.24906546,-0.40824738,0,-0.05110929,-0.12369226,0,-0.09019886,0.012689635,-0.10586011,-0.11262488,-0.084468514,-0.38284552,0.111857556,0,0.051531434,0.31044686,-0.007842425,-0.31491324,0.18784456,0.18696268,0.038811088,0,-0.16559991,-0.46137503,-0.023411097,-0.19996102,-0.21305832,-0.25089136,-0.28666052,-0.22127387,0,-0.1345305,0.054015115,0,-0.102839276,0.2279318,-0.22754595,0,0,0,-0.21310072,0.056076273,0.26768866,0.36237234,-0.69516855,-0.109100945,-0.040531747,-0.17574352,0.45987844,0,-0.6081207,-0.3914432,-0.026592162,-0.062461294,-0.3067206,-0.50122255,0,-0.17752118,0.024066012,-0.0010185488,-0.03809326,0,-0.03470609,-0.13078332,0.13948222
"(113.7996173603976, 22.69845713462011)",-0.11039363,0.32716674,0.0271932,0,0.032202084,0.25016794,0.49786904,0.043087192,0,0.36571962,0.1173215,-0.18006179,0.41981965,0,-0.14020635,0,-0.6637807,-0.12202696,-0.253717,-0.31476146,0,0.00095964223,-0.044400048,-0.42727,0.106426656,0,0.1979397,-0.28086135,0,-0.18923168,-0.10960856,0,-0.22801423,-0.17955744,-0.1461946,-0.015452708,0.12636726,-0.23465,0.25698167,0,0.033433616,0.22348006,-0.2117726,-0.31655064,0.2380763,0.4388857,0.20318407,0,-0.03457194,-0.6735338,0.101754725,-0.15393032,-0.25014415,-0.21073604,-0.2514679,-0.08754264,0,-0.26088652,0.044980716,0,-0.2575396,0.14553496,-0.41269258,0,0,0,-0.2564075,0.18516839,0.45762748,0.46711168,-0.61461014,-0.07760539,-0.26338464,-0.2932442,0.6631832,0,-0.5131778,-0.20206267,-0.026358958,-0.115259595,-0.36280492,-0.32764015,0,-0.21282394,-0.085805446,-0.052261643,-0.025015026,0,0.14851917,0.06874915,0.121596836
"(113.80031180705096, 22.76262130078557)",-0.32414484,-0.16681315,-0.2191872,0,0.17402726,-0.32409522,0.66951346,-0.22247706,0,0.26270062,0.14040464,-0.26508537,-0.021181345,0,-0.10621141,0,-0.2285937,-0.31533986,-0.024732668,-0.30665618,0,-0.022190735,-0.006207239,-0.3306837,-0.15038483,0,0.122491665,-0.25404158,0,0.08568274,-0.26247504,0,-0.11625119,0.07504544,0.17163816,-0.19515145,-0.19995323,-0.6018818,-0.072993204,0,0.10163097,0.23000734,0.39977866,-0.16141538,0.008440334,-0.05379806,0.008286513,0,-0.32133803,-0.21025257,-0.17751552,-0.053924114,-0.23205885,-0.16239077,-0.46306032,-0.26087263,0,-0.11457349,-0.09532827,0,0.20301498,0.31083667,0.10945183,0,0,0,0.020961609,0.017938614,0.18427724,0.09939786,-0.41806203,-0.0021216348,0.2163634,-0.16022247,0.057503298,0,-0.60532147,-0.38280824,0.07583779,-0.247215,-0.20905928,-0.4848974,0,-0.107146025,-0.042542573,-0.22014153,-0.14013183,0,0.12600179,-0.20496091,0.24720487
"(113.80172946787565, 22.731842459450743)",-0.16857274,0.14950612,0.018768515,0,0.12380113,0.09241657,0.5521045,-0.06217719,0,0.33167273,0.09750081,-0.19605362,0.27792895,0,-0.190393,0,-0.48424566,-0.1426616,-0.19890824,-0.25753444,0,-0.03622842,0.04352339,-0.37599143,0.014718454,0,0.2387662,-0.31385902,0,-0.05945438,-0.08816947,0,-0.10607117,-0.11254695,-0.13455984,-0.104321525,-0.060397174,-0.2867965,0.16043016,0,0.036300845,0.21464862,-0.055733193,-0.2889995,0.19651787,0.2699446,0.10265349,0,-0.15256575,-0.5358727,0.033020012,-0.17474596,-0.19296306,-0.24093756,-0.23871468,-0.15147865,0,-0.2209291,0.035016377,0,-0.12190214,0.19414946,-0.2801487,0,0,0,-0.22260918,0.05448191,0.3293794,0.31854704,-0.6183772,-0.10056009,-0.1272501,-0.15989432,0.4927366,0,-0.54364616,-0.2959675,-0.055584785,-0.06957856,-0.2939697,-0.43961838,0,-0.13332,0.012754619,-0.014024423,-0.008624181,0,0.009296287,-0.07422741,0.13165659
"(113.8029947451216, 22.73963526627557)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(113.80358238132692, 22.739170813741627)",-0.17941661,0.07992166,-0.032771047,0,0.21758944,0.06127808,0.5564954,-0.16072226,0,0.27116442,0.058895536,-0.232981,0.3291875,0,-0.040964153,0,-0.5983922,-0.2944735,-0.15106574,-0.29721832,0,0.008568704,0.1158181,-0.33587757,-0.039613564,0,0.17818657,-0.46151242,0,-0.09571263,-0.17288032,0,-0.08553759,0.11762584,-0.18146756,-0.07172188,-0.012548633,-0.37163496,0.06441316,0,0.05999069,0.37519586,-0.124519736,-0.32974193,0.18604705,0.13450888,0.0320504,0,-0.1187627,-0.33549294,-0.026678706,-0.23807597,-0.22077839,-0.21145612,-0.28212523,-0.20368014,0,-0.020573732,0.07602198,0,-0.17386848,0.16955286,-0.2114129,0,0,0,-0.20064606,0.051885538,0.2211721,0.41836065,-0.75812227,-0.124673985,-0.017503731,-0.19848138,0.4643015,0,-0.5765778,-0.4456163,0.0146438815,0.015061246,-0.3392369,-0.5059376,0,-0.269719,-0.011147853,0.03516969,-0.039852716,0,-0.07888742,-0.14643833,0.10948274
